variant,problem,engine,n_evals,seed,evals,runtime_seconds,hypervolume
baseline,zdt1,numba,100000,0,5000,1.5964612050011056,0.7724761042958134
baseline,zdt1,numba,100000,0,10000,1.682599603998824,0.9681663379268712
baseline,zdt1,numba,100000,0,20000,1.8570038730031229,0.9872598922420304
baseline,zdt1,numba,100000,0,50000,2.3843398060053005,0.9902156338926672
baseline,zdt1,numba,100000,0,100000,3.263564161999966,0.9901596357926103
baseline,zdt1,numba,100000,1,5000,1.5918395659973612,0.7011704670600734
baseline,zdt1,numba,100000,1,10000,1.6737029520008946,0.9514386458921285
baseline,zdt1,numba,100000,1,20000,1.8464292159987965,0.9865240100419036
baseline,zdt1,numba,100000,1,50000,2.36579985699791,0.990443855931995
baseline,zdt1,numba,100000,1,100000,3.232497160999628,0.9908473886674324
baseline,zdt1,numba,100000,2,5000,1.5897994830011155,0.6915812263264632
baseline,zdt1,numba,100000,2,10000,1.67550559600204,0.9592642532087844
baseline,zdt1,numba,100000,2,20000,1.852104686004168,0.9873728061050748
baseline,zdt1,numba,100000,2,50000,2.38502929200331,0.9908972576599612
baseline,zdt1,numba,100000,2,100000,3.275307003001217,0.991138336314021
baseline,zdt1,numba,100000,3,5000,1.5908439029954025,0.7434747042297511
baseline,zdt1,numba,100000,3,10000,1.6752160469986848,0.9692694716287072
baseline,zdt1,numba,100000,3,20000,1.8469828389934264,0.9879441563402562
baseline,zdt1,numba,100000,3,50000,2.367013044997293,0.9907278038873226
baseline,zdt1,numba,100000,3,100000,3.2341592049997416,0.9911315330209084
baseline,zdt1,numba,100000,4,5000,1.5894493850064464,0.8009223658761253
baseline,zdt1,numba,100000,4,10000,1.6750102400037576,0.96503767553011
baseline,zdt1,numba,100000,4,20000,1.8493630890006896,0.9873981242809856
baseline,zdt1,numba,100000,4,50000,2.3760521780059207,0.9903675370352976
baseline,zdt1,numba,100000,4,100000,3.254311363001761,0.990020164269797
baseline,zdt1,numba,100000,5,5000,1.5891237579999142,0.7372161511931575
baseline,zdt1,numba,100000,5,10000,1.6736895110007026,0.966981291802952
baseline,zdt1,numba,100000,5,20000,1.847920551997959,0.9876846519301756
baseline,zdt1,numba,100000,5,50000,2.3735285799994017,0.991400064425592
baseline,zdt1,numba,100000,5,100000,3.25214601100015,0.9908605186594602
