framework,problem,median_delta_percent,ci_low_percent,ci_high_percent,equivalent,non_inferior
pymoo,dtlz1,0.42541867922226584,-0.31371697695908574,0.7599816526671388,True,True
pymoo,dtlz2,7.590489525587996,7.083351758661044,8.877330204723762,False,True
pymoo,dtlz3,0.0,0.0,0.0,True,True
pymoo,dtlz4,2.184430230424881,-1.8927216501909192,6.865394239661354,False,False
pymoo,dtlz5,0.18154755989094598,0.04688366174653161,0.28787577407375464,True,True
pymoo,dtlz6,0.6139814019695531,0.4291321133302948,0.7114862933908488,True,True
pymoo,dtlz7,3.2634975243144058,0.5929115686971584,5.830276463647168,False,True
pymoo,wfg1,2.590096648419261,1.7341427838681853,2.988091841741646,False,True
pymoo,wfg2,2.1081503389982235,0.9171656166790325,3.2082187180020405,False,True
pymoo,wfg3,1.344336684994319,1.15509918660428,1.5145244821791455,False,True
pymoo,wfg4,2.2453571302625512,1.6367496022340784,3.4650348746590414,False,True
pymoo,wfg5,2.2121762364604267,1.0874759613675695,2.84584427097049,False,True
pymoo,wfg6,1.1557746250975647,0.6359924401514364,2.5951509096234116,False,True
pymoo,wfg7,4.471750832219916,3.5032316640545687,4.903445456830611,False,True
pymoo,wfg8,1.0526272431179964,-1.3589984704485332,3.2092024876627336,False,False
pymoo,wfg9,-11.788991113509939,-15.802734810023367,1.144919422508789,False,False
pymoo,zdt1,2.1481786181273645,1.8846699491841097,2.602952251897887,False,True
pymoo,zdt2,3.0763330526775996,2.3185612995043074,4.786587126752621,False,True
pymoo,zdt3,2.411082099368377,1.9450510427056145,2.8305684524474413,False,True
pymoo,zdt4,0.18624749924715683,0.09635220125283492,0.3914383239616513,True,True
pymoo,zdt6,4.86974023694385,4.509232833328308,6.249241232230936,False,True
jMetalPy,dtlz1,0.17694089635986263,-0.8349174582585325,1.2542237559778817,False,True
jMetalPy,dtlz2,0.9822485936098388,0.12381943385294274,1.532303412245872,False,True
jMetalPy,dtlz3,0.0,0.0,0.0,True,True
jMetalPy,dtlz4,-0.0033742750347772457,-3.026185793359116,2.621783588365303,False,False
jMetalPy,dtlz5,0.016257901811357063,-0.09839586776686728,0.10095897504501103,True,True
jMetalPy,dtlz6,0.012779293089097433,-0.04820216065873116,0.09915576852840816,True,True
jMetalPy,dtlz7,1.3214058228534618,-0.19178179581974764,4.537219635600589,False,True
jMetalPy,wfg1,-0.5255910197659425,-1.0962118169392945,0.017744372290246228,False,False
jMetalPy,wfg2,1.7800746113090258,-1.762204274913516,2.3445785145017473,False,False
jMetalPy,wfg3,0.3768947205936279,0.12650163858546462,0.5754059228523195,True,True
jMetalPy,wfg4,0.3550001713660625,-0.18276992447317028,1.781900483129339,False,True
jMetalPy,wfg5,0.06630077161076235,-0.31466729610777644,0.5557587280425227,True,True
jMetalPy,wfg6,-1.0129474633937725,-2.76150139592948,-0.05018361021392318,False,False
jMetalPy,wfg7,-0.758000495094944,-1.2762171720346225,0.02368450483494876,False,False
jMetalPy,wfg8,2.575905868915774,0.18370505393442785,4.01503836822406,False,True
jMetalPy,wfg9,0.48379293689360425,-0.020277823850273474,1.32823860199456,False,True
jMetalPy,zdt1,0.04615099023490433,-0.19505546589364456,0.26108680959572017,True,True
jMetalPy,zdt2,-0.13686265370887307,-0.49324750650888427,0.24491231353352458,True,True
jMetalPy,zdt3,-0.1664171065066325,-0.5037045025017004,0.09708700342173501,True,True
jMetalPy,zdt4,0.12697049828942708,-0.07923585072209802,0.195020362366801,True,True
jMetalPy,zdt6,7.264664481853538e-06,-1.1455795095215676e-05,2.1415962372273226e-05,True,True
