framework,problem,seed,n_evals,hypervolume
VAMOS (numba),zdt1,0,1000,0.0
VAMOS (numba),zdt1,0,2000,0.21783886954457274
VAMOS (numba),zdt1,0,3000,0.4697114220389669
VAMOS (numba),zdt1,0,4000,0.6301080114585121
VAMOS (numba),zdt1,0,5000,0.7726112418946293
VAMOS (numba),zdt1,0,6000,0.8520431478285162
VAMOS (numba),zdt1,0,7000,0.9024412350164653
VAMOS (numba),zdt1,0,8000,0.9397203401138262
VAMOS (numba),zdt1,0,9000,0.9583632978391835
VAMOS (numba),zdt1,0,10000,0.9683357097191188
VAMOS (numba),zdt1,0,11000,0.9739826449261999
VAMOS (numba),zdt1,0,12000,0.9779154864304559
VAMOS (numba),zdt1,0,13000,0.980136975011647
VAMOS (numba),zdt1,0,14000,0.9827070856585254
VAMOS (numba),zdt1,0,15000,0.9843453127145165
VAMOS (numba),zdt1,0,16000,0.9858915131190196
VAMOS (numba),zdt1,0,17000,0.9872275556212746
VAMOS (numba),zdt1,0,18000,0.9869512237575879
VAMOS (numba),zdt1,0,19000,0.9872252946489866
VAMOS (numba),zdt1,0,20000,0.9874326042743737
VAMOS (numba),zdt1,0,21000,0.9886088287849022
VAMOS (numba),zdt1,0,22000,0.9890372777751137
VAMOS (numba),zdt1,0,23000,0.9894462784348431
VAMOS (numba),zdt1,0,24000,0.9898330067951525
VAMOS (numba),zdt1,0,25000,0.9888646777676733
VAMOS (numba),zdt1,0,26000,0.9899639924949171
VAMOS (numba),zdt1,0,27000,0.989725794979692
VAMOS (numba),zdt1,0,28000,0.9904008349605871
VAMOS (numba),zdt1,0,29000,0.9900310748664136
VAMOS (numba),zdt1,0,30000,0.9894483830571588
VAMOS (numba),zdt1,0,31000,0.989975657559264
VAMOS (numba),zdt1,0,32000,0.9899613512943062
VAMOS (numba),zdt1,0,33000,0.989913982838557
VAMOS (numba),zdt1,0,34000,0.9911163725002724
VAMOS (numba),zdt1,0,35000,0.9905075540701722
VAMOS (numba),zdt1,0,36000,0.990161665386554
VAMOS (numba),zdt1,0,37000,0.990257896937603
VAMOS (numba),zdt1,0,38000,0.9906625931962943
VAMOS (numba),zdt1,0,39000,0.9900998297528103
VAMOS (numba),zdt1,0,40000,0.9906570084146925
VAMOS (numba),zdt1,0,41000,0.9908689303921581
VAMOS (numba),zdt1,0,42000,0.9905506017298492
VAMOS (numba),zdt1,0,43000,0.9898759571752905
VAMOS (numba),zdt1,0,44000,0.9906125371477623
VAMOS (numba),zdt1,0,45000,0.9907829708656404
VAMOS (numba),zdt1,0,46000,0.991530615492256
VAMOS (numba),zdt1,0,47000,0.9909311872929255
VAMOS (numba),zdt1,0,48000,0.9904494161201642
VAMOS (numba),zdt1,0,49000,0.9904276840098517
VAMOS (numba),zdt1,0,50000,0.9903888630045525
pymoo,zdt1,0,1000,0.0
pymoo,zdt1,0,2000,0.1547678545247041
pymoo,zdt1,0,3000,0.3620120276277551
pymoo,zdt1,0,4000,0.4857225753224954
pymoo,zdt1,0,5000,0.5515642081968545
pymoo,zdt1,0,6000,0.5891010038874707
pymoo,zdt1,0,7000,0.6173886361290184
pymoo,zdt1,0,8000,0.6439215835912829
pymoo,zdt1,0,9000,0.661586857440662
pymoo,zdt1,0,10000,0.6728872547857845
pymoo,zdt1,0,11000,0.6963517831753196
pymoo,zdt1,0,12000,0.7168390640376752
pymoo,zdt1,0,13000,0.7430698321302399
pymoo,zdt1,0,14000,0.764079765298684
pymoo,zdt1,0,15000,0.7787913106675189
pymoo,zdt1,0,16000,0.7941897566997757
pymoo,zdt1,0,17000,0.8149926533086429
pymoo,zdt1,0,18000,0.8252151375964565
pymoo,zdt1,0,19000,0.8368294580692807
pymoo,zdt1,0,20000,0.8499209906575864
pymoo,zdt1,0,21000,0.870157113368939
pymoo,zdt1,0,22000,0.875405552593848
pymoo,zdt1,0,23000,0.878381341025064
pymoo,zdt1,0,24000,0.9072715221539895
pymoo,zdt1,0,25000,0.9182678394546291
pymoo,zdt1,0,26000,0.9316725006198834
pymoo,zdt1,0,27000,0.9362330495959051
pymoo,zdt1,0,28000,0.9420710667312354
pymoo,zdt1,0,29000,0.9508913605364455
pymoo,zdt1,0,30000,0.9551360386885847
pymoo,zdt1,0,31000,0.9568131111084283
pymoo,zdt1,0,32000,0.957796277561791
pymoo,zdt1,0,33000,0.9602161575252528
pymoo,zdt1,0,34000,0.960918979495453
pymoo,zdt1,0,35000,0.9630243271238965
pymoo,zdt1,0,36000,0.9644106156695084
pymoo,zdt1,0,37000,0.9648647727098757
pymoo,zdt1,0,38000,0.9662747301428994
pymoo,zdt1,0,39000,0.9669316604289206
pymoo,zdt1,0,40000,0.9679026176547391
pymoo,zdt1,0,41000,0.9704190365084744
pymoo,zdt1,0,42000,0.9722329422085304
pymoo,zdt1,0,43000,0.9732877248474625
pymoo,zdt1,0,44000,0.9744666882758145
pymoo,zdt1,0,45000,0.976950751116495
pymoo,zdt1,0,46000,0.9784182797575367
pymoo,zdt1,0,47000,0.9794156759156772
pymoo,zdt1,0,48000,0.9795858161831675
pymoo,zdt1,0,49000,0.9796861588618899
pymoo,zdt1,0,50000,0.9803465008152327
jMetalPy,zdt1,0,1000,0.0
jMetalPy,zdt1,0,2000,0.17393432348859877
jMetalPy,zdt1,0,3000,0.3887295049815778
jMetalPy,zdt1,0,4000,0.5471608353803977
jMetalPy,zdt1,0,5000,0.7193718415162266
jMetalPy,zdt1,0,6000,0.8307877175670777
jMetalPy,zdt1,0,7000,0.9026457872320626
jMetalPy,zdt1,0,8000,0.9314945150815008
jMetalPy,zdt1,0,9000,0.9505329630526467
jMetalPy,zdt1,0,10000,0.962951825569755
jMetalPy,zdt1,0,11000,0.9706751251947094
jMetalPy,zdt1,0,12000,0.9750037770642954
jMetalPy,zdt1,0,13000,0.9783143257826149
jMetalPy,zdt1,0,14000,0.9797267321317363
jMetalPy,zdt1,0,15000,0.9821909049077243
jMetalPy,zdt1,0,16000,0.9845929816212448
jMetalPy,zdt1,0,17000,0.9855554635870943
jMetalPy,zdt1,0,18000,0.9867765415533752
jMetalPy,zdt1,0,19000,0.9863035493862704
jMetalPy,zdt1,0,20000,0.9874373024555487
jMetalPy,zdt1,0,21000,0.9883718773444352
jMetalPy,zdt1,0,22000,0.9886489617189075
jMetalPy,zdt1,0,23000,0.9890794060529483
jMetalPy,zdt1,0,24000,0.9899132525169652
jMetalPy,zdt1,0,25000,0.9900938072948507
jMetalPy,zdt1,0,26000,0.9897002870996509
jMetalPy,zdt1,0,27000,0.9894455749628884
jMetalPy,zdt1,0,28000,0.9900522107345319
jMetalPy,zdt1,0,29000,0.9901011409620547
jMetalPy,zdt1,0,30000,0.9901529685824462
jMetalPy,zdt1,0,31000,0.9905129529302061
jMetalPy,zdt1,0,32000,0.9905737665845932
jMetalPy,zdt1,0,33000,0.989686706718777
jMetalPy,zdt1,0,34000,0.9909069995573884
jMetalPy,zdt1,0,35000,0.9906066435368167
jMetalPy,zdt1,0,36000,0.9910058607858794
jMetalPy,zdt1,0,37000,0.9906447582449578
jMetalPy,zdt1,0,38000,0.9906413386214045
jMetalPy,zdt1,0,39000,0.9908933852124805
jMetalPy,zdt1,0,40000,0.9903616252874242
jMetalPy,zdt1,0,41000,0.9911255720852145
jMetalPy,zdt1,0,42000,0.9905242202689603
jMetalPy,zdt1,0,43000,0.9906291553718054
jMetalPy,zdt1,0,44000,0.9903957639807449
jMetalPy,zdt1,0,45000,0.9905797065028038
jMetalPy,zdt1,0,46000,0.9911702744400218
jMetalPy,zdt1,0,47000,0.990935828864177
jMetalPy,zdt1,0,48000,0.9904815095278297
jMetalPy,zdt1,0,49000,0.9910645298238653
jMetalPy,zdt1,0,50000,0.990764433227918
VAMOS (numba),zdt1,1,1000,0.0
VAMOS (numba),zdt1,1,2000,0.11699073677127828
VAMOS (numba),zdt1,1,3000,0.37137824399132546
VAMOS (numba),zdt1,1,4000,0.5509577303626906
VAMOS (numba),zdt1,1,5000,0.7012931303979213
VAMOS (numba),zdt1,1,6000,0.8087305106270956
VAMOS (numba),zdt1,1,7000,0.8825784935672428
VAMOS (numba),zdt1,1,8000,0.9148757557884855
VAMOS (numba),zdt1,1,9000,0.9372285281923737
VAMOS (numba),zdt1,1,10000,0.9516050913298044
VAMOS (numba),zdt1,1,11000,0.9624787809769098
VAMOS (numba),zdt1,1,12000,0.9678289707430312
VAMOS (numba),zdt1,1,13000,0.9725442766229082
VAMOS (numba),zdt1,1,14000,0.977158251893669
VAMOS (numba),zdt1,1,15000,0.9797707038930731
VAMOS (numba),zdt1,1,16000,0.981881719003878
VAMOS (numba),zdt1,1,17000,0.9836120078515901
VAMOS (numba),zdt1,1,18000,0.9856442470212975
VAMOS (numba),zdt1,1,19000,0.9867703428289251
VAMOS (numba),zdt1,1,20000,0.9866965933384965
VAMOS (numba),zdt1,1,21000,0.9879497653703376
