algorithm,variant,engine,pop_size,max_evaluations,seed,runtime_seconds,ok,n_solutions,error
spea2,zdt1,numba,50,5000,42,2.7485138999909395,True,50,
spea2,zdt1,cpp,50,5000,42,0.0371805000031599,True,50,
spea2,zdt1,numba,100,5000,42,5.209519900003215,True,100,
spea2,zdt1,cpp,100,5000,42,0.0422700000053737,True,100,
spea2,zdt1,numba,200,5000,42,10.489981399994576,True,200,
spea2,zdt1,cpp,200,5000,42,0.0652725000109057,True,200,
spea2,dtlz2_m3,numba,50,5000,42,2.773024199996144,True,50,
spea2,dtlz2_m3,cpp,50,5000,42,0.1358251999918138,True,50,
spea2,dtlz2_m3,numba,100,5000,42,5.446934399995371,True,100,
spea2,dtlz2_m3,cpp,100,5000,42,0.2858323999971617,True,100,
spea2,dtlz2_m3,numba,200,5000,42,10.49069690000033,True,200,
spea2,dtlz2_m3,cpp,200,5000,42,0.4264144000044325,True,200,
spea2,dtlz2_m5,numba,50,5000,42,2.8482131000055237,True,50,
spea2,dtlz2_m5,cpp,50,5000,42,0.1845988999994006,True,50,
spea2,dtlz2_m5,numba,100,5000,42,5.563196300005075,True,100,
spea2,dtlz2_m5,cpp,100,5000,42,0.4502314999990631,True,100,
spea2,dtlz2_m5,numba,200,5000,42,11.013563100001193,True,200,
spea2,dtlz2_m5,cpp,200,5000,42,1.4683915000059642,True,200,
ibea,zdt1,numba,50,5000,42,0.1899891000066418,True,32,
ibea,zdt1,cpp,50,5000,42,0.0431193000113125,True,33,
ibea,zdt1,numba,100,5000,42,0.2508797999907983,True,50,
ibea,zdt1,cpp,100,5000,42,0.046006499993382,True,48,
ibea,zdt1,numba,200,5000,42,1.3875288999988695,True,37,
ibea,zdt1,cpp,200,5000,42,0.0710858999955235,True,31,
ibea,dtlz2_m3,numba,50,5000,42,0.2235368999972706,True,23,
ibea,dtlz2_m3,cpp,50,5000,42,0.0390836999868042,True,16,
ibea,dtlz2_m3,numba,100,5000,42,0.2431397999898763,True,46,
ibea,dtlz2_m3,cpp,100,5000,42,0.0391215999989071,True,29,
ibea,dtlz2_m3,numba,200,5000,42,1.0780951999913668,True,41,
ibea,dtlz2_m3,cpp,200,5000,42,0.064646900005755,True,34,
nsgaii,zdt1,numba,50,5000,42,0.1305310999887297,True,50,
nsgaii,zdt1,cpp,50,5000,42,0.0454370999941602,True,50,
nsgaii,zdt1,numba,100,5000,42,0.0974605999945197,True,100,
nsgaii,zdt1,cpp,100,5000,42,0.0345240000024205,True,100,
nsgaii,zdt1,numba,200,5000,42,0.0822789000085322,True,200,
nsgaii,zdt1,cpp,200,5000,42,0.0396754000103101,True,200,
nsgaii,zdt2,numba,50,5000,42,0.0928743000113172,True,50,
nsgaii,zdt2,cpp,50,5000,42,0.0344200000108685,True,50,
nsgaii,zdt2,numba,100,5000,42,0.0875164999888511,True,100,
nsgaii,zdt2,cpp,100,5000,42,0.0357050000020535,True,100,
nsgaii,zdt2,numba,200,5000,42,0.0859775999997509,True,200,
nsgaii,zdt2,cpp,200,5000,42,0.0451039999898057,True,200,
nsgaii,dtlz2_m3,numba,50,5000,42,0.1184058999933768,True,50,
nsgaii,dtlz2_m3,cpp,50,5000,42,0.0284596999990753,True,50,
nsgaii,dtlz2_m3,numba,100,5000,42,0.1142860999971162,True,100,
nsgaii,dtlz2_m3,cpp,100,5000,42,0.0324440999975195,True,100,
nsgaii,dtlz2_m3,numba,200,5000,42,0.1175217999989399,True,200,
nsgaii,dtlz2_m3,cpp,200,5000,42,0.042643400011002,True,200,
nsgaii,dtlz2_m5,numba,50,5000,42,0.137421199993696,True,50,
nsgaii,dtlz2_m5,cpp,50,5000,42,0.0333672999986447,True,50,
nsgaii,dtlz2_m5,numba,100,5000,42,0.117496699996991,True,100,
nsgaii,dtlz2_m5,cpp,100,5000,42,0.0347678999969502,True,100,
nsgaii,dtlz2_m5,numba,200,5000,42,0.1218430000008083,True,200,
nsgaii,dtlz2_m5,cpp,200,5000,42,0.0473105999990366,True,200,
nsgaii,dtlz2_m10,numba,50,5000,42,0.1428697000083048,True,50,
nsgaii,dtlz2_m10,cpp,50,5000,42,0.0498816999897826,True,50,
nsgaii,dtlz2_m10,numba,100,5000,42,0.1321193000039784,True,100,
nsgaii,dtlz2_m10,cpp,100,5000,42,0.0526167000061832,True,100,
nsgaii,dtlz2_m10,numba,200,5000,42,0.1382327000028453,True,200,
nsgaii,dtlz2_m10,cpp,200,5000,42,0.0646757999929832,True,200,
smsemoa,zdt1,numba,50,5000,42,0.7122827999992296,True,50,
smsemoa,zdt1,cpp,50,5000,42,0.2139549999992596,True,50,
smsemoa,zdt1,numba,100,5000,42,0.9561656000005314,True,100,
smsemoa,zdt1,cpp,100,5000,42,0.3294624999980442,True,100,
smsemoa,zdt1,numba,200,5000,42,1.396929900001851,True,200,
smsemoa,zdt1,cpp,200,5000,42,0.761788699994213,True,200,
smsemoa,dtlz2_m3,numba,50,5000,42,0.8402995000069495,True,50,
smsemoa,dtlz2_m3,cpp,50,5000,42,0.4375170999992406,True,50,
smsemoa,dtlz2_m3,numba,100,5000,42,1.227249399991706,True,100,
smsemoa,dtlz2_m3,cpp,100,5000,42,0.7698240000026999,True,100,
smsemoa,dtlz2_m3,numba,200,5000,42,1.977492699996219,True,200,
smsemoa,dtlz2_m3,cpp,200,5000,42,5.42917230000603,True,200,
