algorithm,variant,engine,pop_size,max_evaluations,seed,runtime_seconds,ok,n_solutions,error
nsgaii,zdt1,numba,100,5000,0,0.0874035000015283,True,100,
nsgaii,zdt1,cpp,100,5000,0,0.0314823999942746,True,100,
nsgaii,zdt1,numba,100,5000,1,0.0869896000076551,True,100,
nsgaii,zdt1,cpp,100,5000,1,0.0315254000015556,True,100,
nsgaii,zdt1,numba,100,5000,2,0.0881229000078747,True,100,
nsgaii,zdt1,cpp,100,5000,2,0.0318399999960092,True,100,
nsgaii,zdt1,numba,200,5000,0,0.0833814999932656,True,200,
nsgaii,zdt1,cpp,200,5000,0,0.0409367000102065,True,200,
nsgaii,zdt1,numba,200,5000,1,0.0863910000043688,True,200,
nsgaii,zdt1,cpp,200,5000,1,0.0425539000134449,True,200,
nsgaii,zdt1,numba,200,5000,2,0.0800714000070001,True,200,
nsgaii,zdt1,cpp,200,5000,2,0.0386370000051101,True,200,
nsgaii,zdt1,numba,500,5000,0,0.1023254000028828,True,500,
nsgaii,zdt1,cpp,500,5000,0,0.0850977999944007,True,500,
nsgaii,zdt1,numba,500,5000,1,0.1588760999875376,True,500,
nsgaii,zdt1,cpp,500,5000,1,0.0847535999928368,True,500,
nsgaii,zdt1,numba,500,5000,2,0.1092043000098783,True,500,
nsgaii,zdt1,cpp,500,5000,2,0.0697003999957814,True,500,
nsgaii,dtlz2_m5,numba,100,5000,0,0.1131984000094235,True,100,
nsgaii,dtlz2_m5,cpp,100,5000,0,0.0344348999933572,True,100,
nsgaii,dtlz2_m5,numba,100,5000,1,0.1105380999943008,True,100,
nsgaii,dtlz2_m5,cpp,100,5000,1,0.0379554999963147,True,100,
nsgaii,dtlz2_m5,numba,100,5000,2,0.1253309000021545,True,100,
nsgaii,dtlz2_m5,cpp,100,5000,2,0.0374088999960804,True,100,
nsgaii,dtlz2_m5,numba,200,5000,0,0.2534238000080222,True,200,
nsgaii,dtlz2_m5,cpp,200,5000,0,0.2366027999960351,True,200,
nsgaii,dtlz2_m5,numba,200,5000,1,0.5476606999873184,True,200,
nsgaii,dtlz2_m5,cpp,200,5000,1,0.3427437000063946,True,200,
nsgaii,dtlz2_m5,numba,200,5000,2,0.8698602000076789,True,200,
nsgaii,dtlz2_m5,cpp,200,5000,2,0.166522100000293,True,200,
nsgaii,dtlz2_m5,numba,500,5000,0,0.7545543000014732,True,500,
nsgaii,dtlz2_m5,cpp,500,5000,0,0.1510554999986197,True,500,
nsgaii,dtlz2_m5,numba,500,5000,1,0.585454000000027,True,500,
nsgaii,dtlz2_m5,cpp,500,5000,1,0.3765937999996822,True,500,
nsgaii,dtlz2_m5,numba,500,5000,2,0.7401508999901125,True,500,
nsgaii,dtlz2_m5,cpp,500,5000,2,0.5505409000033978,True,500,
smsemoa,zdt1,numba,100,5000,0,0.9585119999974268,True,100,
smsemoa,zdt1,cpp,100,5000,0,0.3178559999942081,True,100,
smsemoa,zdt1,numba,100,5000,1,0.8712189999932889,True,100,
smsemoa,zdt1,cpp,100,5000,1,0.3249131999909878,True,100,
smsemoa,zdt1,numba,100,5000,2,0.8804878000082681,True,100,
smsemoa,zdt1,cpp,100,5000,2,0.3241261999937705,True,100,
smsemoa,zdt1,numba,200,5000,0,1.416290499997558,True,200,
smsemoa,zdt1,cpp,200,5000,0,0.7659763999981806,True,200,
smsemoa,zdt1,numba,200,5000,1,1.3944550000014715,True,200,
smsemoa,zdt1,cpp,200,5000,1,0.8094901000004029,True,200,
smsemoa,zdt1,numba,200,5000,2,1.5249131999880774,True,200,
smsemoa,zdt1,cpp,200,5000,2,0.8123873000004096,True,200,
smsemoa,zdt1,numba,500,5000,0,4.598550500013516,True,500,
smsemoa,zdt1,cpp,500,5000,0,4.347895200000494,True,500,
smsemoa,zdt1,numba,500,5000,1,4.573272099994938,True,500,
smsemoa,zdt1,cpp,500,5000,1,4.072289299991098,True,500,
smsemoa,zdt1,numba,500,5000,2,4.56347170000663,True,500,
smsemoa,zdt1,cpp,500,5000,2,4.148425400009728,True,500,
smsemoa,dtlz2_m3,numba,100,5000,0,1.0650070999981835,True,100,
smsemoa,dtlz2_m3,cpp,100,5000,0,0.6623216000007233,True,100,
smsemoa,dtlz2_m3,numba,100,5000,1,1.0718092000024626,True,100,
smsemoa,dtlz2_m3,cpp,100,5000,1,0.6667613000026904,True,100,
smsemoa,dtlz2_m3,numba,100,5000,2,1.071969500000705,True,100,
smsemoa,dtlz2_m3,cpp,100,5000,2,0.6581286000000546,True,100,
smsemoa,dtlz2_m3,numba,200,5000,0,1.6923538000119152,True,200,
smsemoa,dtlz2_m3,cpp,200,5000,0,1.351323399998364,True,200,
smsemoa,dtlz2_m3,numba,200,5000,1,1.7060943999968003,True,200,
smsemoa,dtlz2_m3,cpp,200,5000,1,1.3237841000081971,True,200,
smsemoa,dtlz2_m3,numba,200,5000,2,1.7166873999958625,True,200,
smsemoa,dtlz2_m3,cpp,200,5000,2,1.3301853999873856,True,200,
smsemoa,dtlz2_m3,numba,500,5000,0,5.349983599997358,True,500,
smsemoa,dtlz2_m3,cpp,500,5000,0,5.45527759999095,True,500,
smsemoa,dtlz2_m3,numba,500,5000,1,5.327254400006495,True,500,
smsemoa,dtlz2_m3,cpp,500,5000,1,5.251648299992667,True,500,
smsemoa,dtlz2_m3,numba,500,5000,2,5.568455500004347,True,500,
smsemoa,dtlz2_m3,cpp,500,5000,2,8.834104599998682,True,500,
spea2,zdt1,numba,100,5000,0,5.232938899993314,True,100,
spea2,zdt1,cpp,100,5000,0,0.0411408999934792,True,100,
spea2,zdt1,numba,100,5000,1,5.25698759999068,True,100,
spea2,zdt1,cpp,100,5000,1,0.0478232000023126,True,100,
spea2,zdt1,numba,100,5000,2,5.2011866999964695,True,100,
spea2,zdt1,cpp,100,5000,2,0.0409854000026825,True,100,
spea2,zdt1,numba,200,5000,0,10.336150000002815,True,200,
spea2,zdt1,cpp,200,5000,0,0.0636775000020861,True,200,
spea2,zdt1,numba,200,5000,1,10.372362900001464,True,200,
spea2,zdt1,cpp,200,5000,1,0.0624175999982981,True,200,
spea2,zdt1,numba,200,5000,2,10.347409699999844,True,200,
spea2,zdt1,cpp,200,5000,2,0.0631411999929696,True,200,
spea2,zdt1,numba,500,5000,0,24.510155299998587,True,500,
spea2,zdt1,cpp,500,5000,0,0.1411436000053072,True,500,
spea2,zdt1,numba,500,5000,1,24.25484600001073,True,500,
spea2,zdt1,cpp,500,5000,1,0.1507774999918183,True,500,
spea2,zdt1,numba,500,5000,2,24.355709399998887,True,500,
spea2,zdt1,cpp,500,5000,2,0.1372620000038296,True,500,
spea2,dtlz2_m3,numba,100,5000,0,5.31842680000409,True,100,
spea2,dtlz2_m3,cpp,100,5000,0,0.2868222999968566,True,100,
spea2,dtlz2_m3,numba,100,5000,1,5.276155299987295,True,100,
spea2,dtlz2_m3,cpp,100,5000,1,0.306351999999606,True,100,
spea2,dtlz2_m3,numba,100,5000,2,5.256164599995827,True,100,
spea2,dtlz2_m3,cpp,100,5000,2,0.2891054999927291,True,100,
spea2,dtlz2_m3,numba,200,5000,0,10.17724879999878,True,200,
spea2,dtlz2_m3,cpp,200,5000,0,0.4039455000020098,True,200,
spea2,dtlz2_m3,numba,200,5000,1,10.20637220000208,True,200,
spea2,dtlz2_m3,cpp,200,5000,1,0.5649168000090867,True,200,
spea2,dtlz2_m3,numba,200,5000,2,10.191839699997216,True,200,
spea2,dtlz2_m3,cpp,200,5000,2,0.4295385000004899,True,200,
spea2,dtlz2_m3,numba,500,5000,0,23.13997770000424,True,500,
spea2,dtlz2_m3,cpp,500,5000,0,0.1398487999977078,True,500,
spea2,dtlz2_m3,numba,500,5000,1,23.227046300002257,True,500,
spea2,dtlz2_m3,cpp,500,5000,1,0.1419782000011764,True,500,
spea2,dtlz2_m3,numba,500,5000,2,23.547865000000456,True,500,
spea2,dtlz2_m3,cpp,500,5000,2,0.1366138999874238,True,500,
ibea,zdt1,numba,100,5000,0,0.2540006000053836,True,38,
ibea,zdt1,cpp,100,5000,0,0.0456411999912234,True,51,
ibea,zdt1,numba,100,5000,1,0.2475930999935371,True,52,
ibea,zdt1,cpp,100,5000,1,0.0457072999997762,True,47,
ibea,zdt1,numba,100,5000,2,0.2445889000082388,True,40,
ibea,zdt1,cpp,100,5000,2,0.0455080999963684,True,33,
ibea,zdt1,numba,200,5000,0,1.368676999991294,True,38,
ibea,zdt1,cpp,200,5000,0,0.0694988000032026,True,29,
ibea,zdt1,numba,200,5000,1,1.3179856999922777,True,31,
ibea,zdt1,cpp,200,5000,1,0.069664599999669,True,39,
ibea,zdt1,numba,200,5000,2,1.2425312000123083,True,42,
ibea,zdt1,cpp,200,5000,2,0.0696845999918878,True,37,
ibea,zdt1,numba,500,5000,0,16.839245299997856,True,17,
ibea,zdt1,cpp,500,5000,0,0.5293978999980027,True,22,
ibea,zdt1,numba,500,5000,1,30.61860219998925,True,29,
ibea,zdt1,cpp,500,5000,1,0.3123476000037044,True,25,
ibea,zdt1,numba,500,5000,2,25.43267080000078,True,30,
ibea,zdt1,cpp,500,5000,2,0.4323385000025155,True,24,
ibea,dtlz2_m3,numba,100,5000,0,1.41844090000086,True,35,
