algorithm,variant,pop_size,cpp,numba,speedup_numba_over_cpp
ibea,dtlz2_m3,100,0.1781133000040426,1.41844090000086,7.963700071632303
ibea,dtlz2_m3,200,0.3286465999990469,4.854309000002104,14.7706046556276
ibea,dtlz2_m3,500,0.5066114999935962,31.888106500002323,62.94390573527328
ibea,zdt1,100,0.0456411999912234,0.2475930999935371,5.424771917503223
ibea,zdt1,200,0.069664599999669,1.3179856999922777,18.9190162578776
ibea,zdt1,500,0.4323385000025155,25.43267080000078,58.82582929776738
nsgaii,dtlz2_m5,100,0.0374088999960804,0.1131984000094235,3.025975102750525
nsgaii,dtlz2_m5,200,0.2366027999960351,0.5476606999873184,2.314683934410311
nsgaii,dtlz2_m5,500,0.3765937999996822,0.7401508999901125,1.9653825952279012
nsgaii,zdt1,100,0.0315254000015556,0.0874035000015283,2.7724786996268227
nsgaii,zdt1,200,0.0409367000102065,0.0833814999932656,2.03683980322001
nsgaii,zdt1,500,0.0847535999928368,0.1092043000098783,1.2884915805241077
smsemoa,dtlz2_m3,100,0.6623216000007233,1.0718092000024626,1.618260977750525
smsemoa,dtlz2_m3,200,1.3301853999873856,1.7060943999968003,1.282598952005472
smsemoa,dtlz2_m3,500,5.45527759999095,5.349983599997358,0.9806986907515456
smsemoa,zdt1,100,0.3241261999937705,0.8804878000082681,2.716496846059314
smsemoa,zdt1,200,0.8094901000004029,1.416290499997558,1.749608179268472
smsemoa,zdt1,500,4.148425400009728,4.573272099994938,1.1024115559566803
spea2,dtlz2_m3,100,0.2891054999927291,5.276155299987295,18.249930562095802
spea2,dtlz2_m3,200,0.4295385000004899,10.191839699997216,23.72741838039103
spea2,dtlz2_m3,500,0.1398487999977078,23.227046300002257,166.08684736932287
spea2,zdt1,100,0.0411408999934792,5.232938899993314,127.19553779384337
spea2,zdt1,200,0.0631411999929696,10.347409699999844,163.8773051692392
spea2,zdt1,500,0.1411436000053072,24.355709399998887,172.5597859136587
