problem,metric,higher_is_better,lhs_algorithm,lhs_label,rhs_algorithm,rhs_label,n_common_seeds,lhs_mean,lhs_median,rhs_mean,rhs_median,delta_mean,delta_median,lhs_seed_wins,seed_ties,rhs_seed_wins,lhs_both_metric_seed_wins,both_metric_seed_ties_or_mixed,rhs_both_metric_seed_wins,wilcoxon_p_value_raw,wilcoxon_p_value_holm,wilcoxon_significant_alpha
zcat1,hypervolume,True,nsga2_farthest,nsga2-farthest,nsgaii,nsgaii,21,0.9071482375338413,0.9086300371602405,0.8446013725541627,0.8438574974188422,0.06254686497967865,0.0647725397413983,21,0,0,21,0,0,9.5367431640625e-07,0.000362396240234375,True
zcat1,igd_plus,False,nsga2_farthest,nsga2-farthest,nsgaii,nsgaii,21,0.1072606342306086,0.1053924073541325,0.13905435338023867,0.1381518391328828,-0.03179371914963007,-0.03275943177875029,21,0,0,21,0,0,9.5367431640625e-07,0.000362396240234375,True
zcat1,hypervolume,True,gces_nogeo,gces-noGeo,nsgaii,nsgaii,21,0.9048344849545231,0.9056246378391177,0.8446013725541627,0.8438574974188422,0.060233112400360445,0.061767140420275535,21,0,0,21,0,0,9.5367431640625e-07,0.000362396240234375,True
zcat1,igd_plus,False,gces_nogeo,gces-noGeo,nsgaii,nsgaii,21,0.10771817124473716,0.10678988982569793,0.13905435338023867,0.1381518391328828,-0.0313361821355015,-0.03136194930718486,21,0,0,21,0,0,9.5367431640625e-07,0.000362396240234375,True
zcat1,hypervolume,True,gces,gces,nsgaii,nsgaii,21,0.904368452447049,0.9039308735396582,0.8446013725541627,0.8438574974188422,0.05976707989288632,0.06007337612081598,21,0,0,21,0,0,9.5367431640625e-07,0.000362396240234375,True
zcat1,igd_plus,False,gces,gces,nsgaii,nsgaii,21,0.10801694963920372,0.10803779823688589,0.13905435338023867,0.1381518391328828,-0.031037403741034947,-0.030114040895996896,21,0,0,21,0,0,9.5367431640625e-07,0.000362396240234375,True
zcat1,hypervolume,True,nsga2_farthest,nsga2-farthest,gces_nogeo,gces-noGeo,21,0.9071482375338413,0.9086300371602405,0.9048344849545231,0.9056246378391177,0.0023137525793182068,0.003005399321122759,13,0,8,8,7,6,0.27221012115478516,1.0,False
zcat1,igd_plus,False,nsga2_farthest,nsga2-farthest,gces_nogeo,gces-noGeo,21,0.1072606342306086,0.1053924073541325,0.10771817124473716,0.10678988982569793,-0.0004575370141285673,-0.001397482471565431,10,0,11,8,7,6,0.9728584289550781,1.0,False
zcat1,hypervolume,True,nsga2_farthest,nsga2-farthest,gces,gces,21,0.9071482375338413,0.9086300371602405,0.904368452447049,0.9039308735396582,0.00277978508679233,0.004699163620582314,14,0,7,11,6,4,0.06464958190917969,1.0,False
zcat1,igd_plus,False,nsga2_farthest,nsga2-farthest,gces,gces,21,0.1072606342306086,0.1053924073541325,0.10801694963920372,0.10803779823688589,-0.0007563154085951235,-0.0026453908827533956,14,0,7,11,6,4,0.27221012115478516,1.0,False
zcat1,hypervolume,True,nsga2_hvfarthest,nsga2-hvfarthest,nsgaii,nsgaii,21,0.9560927215850475,0.9561909852912464,0.8446013725541627,0.8438574974188422,0.11149134903088487,0.11233348787240416,21,0,0,21,0,0,9.5367431640625e-07,0.000362396240234375,True
zcat1,igd_plus,False,nsga2_hvfarthest,nsga2-hvfarthest,nsgaii,nsgaii,21,0.06511293181384993,0.06507606227552165,0.13905435338023867,0.1381518391328828,-0.07394142156638873,-0.07307577685736114,21,0,0,21,0,0,9.5367431640625e-07,0.000362396240234375,True
zcat1,hypervolume,True,nsga2_hvfarthest,nsga2-hvfarthest,nsga2_farthest,nsga2-farthest,21,0.9560927215850475,0.9561909852912464,0.9071482375338413,0.9086300371602405,0.048944484051206216,0.047560948131005865,21,0,0,21,0,0,9.5367431640625e-07,0.000362396240234375,True
zcat1,igd_plus,False,nsga2_hvfarthest,nsga2-hvfarthest,nsga2_farthest,nsga2-farthest,21,0.06511293181384993,0.06507606227552165,0.1072606342306086,0.1053924073541325,-0.042147702416758664,-0.040316345078610843,21,0,0,21,0,0,9.5367431640625e-07,0.000362396240234375,True
zcat1,hypervolume,True,nsga2_hvfarthest,nsga2-hvfarthest,gces_nogeo,gces-noGeo,21,0.9560927215850475,0.9561909852912464,0.9048344849545231,0.9056246378391177,0.05125823663052442,0.050566347452128624,21,0,0,21,0,0,9.5367431640625e-07,0.000362396240234375,True
zcat1,igd_plus,False,nsga2_hvfarthest,nsga2-hvfarthest,gces_nogeo,gces-noGeo,21,0.06511293181384993,0.06507606227552165,0.10771817124473716,0.10678988982569793,-0.04260523943088723,-0.041713827550176275,21,0,0,21,0,0,9.5367431640625e-07,0.000362396240234375,True
zcat1,hypervolume,True,nsga2_hvfarthest,nsga2-hvfarthest,gces,gces,21,0.9560927215850475,0.9561909852912464,0.904368452447049,0.9039308735396582,0.051724269137998546,0.05226011175158818,21,0,0,21,0,0,9.5367431640625e-07,0.000362396240234375,True
zcat1,igd_plus,False,nsga2_hvfarthest,nsga2-hvfarthest,gces,gces,21,0.06511293181384993,0.06507606227552165,0.10801694963920372,0.10803779823688589,-0.04290401782535379,-0.04296173596136424,21,0,0,21,0,0,9.5367431640625e-07,0.000362396240234375,True
zcat1,hypervolume,True,nsga2_hvref_farthest,nsga2-hvref-farthest,nsgaii,nsgaii,21,0.9518029378777513,0.951775354152605,0.8446013725541627,0.8438574974188422,0.1072015653235886,0.10791785673376275,21,0,0,21,0,0,9.5367431640625e-07,0.000362396240234375,True
zcat1,igd_plus,False,nsga2_hvref_farthest,nsga2-hvref-farthest,nsgaii,nsgaii,21,0.06821353697641197,0.06829463370619025,0.13905435338023867,0.1381518391328828,-0.0708408164038267,-0.06985720542669253,21,0,0,21,0,0,9.5367431640625e-07,0.000362396240234375,True
zcat1,hypervolume,True,nsga2_hvref_farthest,nsga2-hvref-farthest,nsga2_farthest,nsga2-farthest,21,0.9518029378777513,0.951775354152605,0.9071482375338413,0.9086300371602405,0.04465470034390995,0.04314531699236446,21,0,0,21,0,0,9.5367431640625e-07,0.000362396240234375,True
zcat1,igd_plus,False,nsga2_hvref_farthest,nsga2-hvref-farthest,nsga2_farthest,nsga2-farthest,21,0.06821353697641197,0.06829463370619025,0.1072606342306086,0.1053924073541325,-0.039047097254196625,-0.03709777364794224,21,0,0,21,0,0,9.5367431640625e-07,0.000362396240234375,True
zcat1,hypervolume,True,nsga2_hvref_farthest,nsga2-hvref-farthest,gces_nogeo,gces-noGeo,21,0.9518029378777513,0.951775354152605,0.9048344849545231,0.9056246378391177,0.046968452923228154,0.04615071631348722,21,0,0,21,0,0,9.5367431640625e-07,0.000362396240234375,True
zcat1,igd_plus,False,nsga2_hvref_farthest,nsga2-hvref-farthest,gces_nogeo,gces-noGeo,21,0.06821353697641197,0.06829463370619025,0.10771817124473716,0.10678988982569793,-0.03950463426832519,-0.03849525611950767,21,0,0,21,0,0,9.5367431640625e-07,0.000362396240234375,True
zcat1,hypervolume,True,nsga2_hvref_farthest,nsga2-hvref-farthest,gces,gces,21,0.9518029378777513,0.951775354152605,0.904368452447049,0.9039308735396582,0.04743448543070228,0.04784448061294677,21,0,0,21,0,0,9.5367431640625e-07,0.000362396240234375,True
zcat1,igd_plus,False,nsga2_hvref_farthest,nsga2-hvref-farthest,gces,gces,21,0.06821353697641197,0.06829463370619025,0.10801694963920372,0.10803779823688589,-0.03980341266279175,-0.03974316453069564,21,0,0,21,0,0,9.5367431640625e-07,0.000362396240234375,True
zcat1,hypervolume,True,nsga2_hvref_farthest,nsga2-hvref-farthest,nsga2_hvfarthest,nsga2-hvfarthest,21,0.9518029378777513,0.951775354152605,0.9560927215850475,0.9561909852912464,-0.004289783707296269,-0.004415631138641407,0,0,21,0,0,21,9.5367431640625e-07,0.000362396240234375,True
zcat1,igd_plus,False,nsga2_hvref_farthest,nsga2-hvref-farthest,nsga2_hvfarthest,nsga2-hvfarthest,21,0.06821353697641197,0.06829463370619025,0.06511293181384993,0.06507606227552165,0.0031006051625620396,0.0032185714306686014,0,0,21,0,0,21,9.5367431640625e-07,0.000362396240234375,True
zcat1,hypervolume,True,nsga2_sector_farthest,nsga2-sector-farthest,nsgaii,nsgaii,21,0.9069164151453041,0.9076736155454985,0.8446013725541627,0.8438574974188422,0.0623150425911414,0.06381611812665633,21,0,0,21,0,0,9.5367431640625e-07,0.000362396240234375,True
zcat1,igd_plus,False,nsga2_sector_farthest,nsga2-sector-farthest,nsgaii,nsgaii,21,0.10833481483932277,0.10862935470752587,0.13905435338023867,0.1381518391328828,-0.0307195385409159,-0.029522484425356918,21,0,0,21,0,0,9.5367431640625e-07,0.000362396240234375,True
zcat1,hypervolume,True,nsga2_sector_farthest,nsga2-sector-farthest,nsga2_farthest,nsga2-farthest,21,0.9069164151453041,0.9076736155454985,0.9071482375338413,0.9086300371602405,-0.00023182238853725057,-0.0009564216147419646,10,0,11,8,3,10,0.9728584289550781,1.0,False
zcat1,igd_plus,False,nsga2_sector_farthest,nsga2-sector-farthest,nsga2_farthest,nsga2-farthest,21,0.10833481483932277,0.10862935470752587,0.1072606342306086,0.1053924073541325,0.0010741806087141703,0.003236947353393374,9,0,12,8,3,10,0.6091489791870117,1.0,False
