config_id,config_label,phase,level,bias,imbalance,algorithm,algorithm_label,hv_delta_vs_lvl1_plain,igd_plus_delta_vs_lvl1_plain,runtime_seconds_delta_vs_lvl1_plain,hv_advantage_vs_nsgaii,hv_advantage_retention_vs_lvl1_plain,igd_plus_advantage_vs_nsgaii,igd_plus_advantage_retention_vs_lvl1_plain
lvl1_plain,L1,A,1,False,False,nsgaii,nsgaii,0.0,0.0,0.0,0.0,,0.0,
lvl3_plain,L3,A,3,False,False,nsgaii,nsgaii,-0.6739046371445925,0.7770088620501518,-0.16258019999077078,0.0,,0.0,
lvl6_plain,L6,A,6,False,False,nsgaii,nsgaii,-0.7734674554553502,32.270512333941056,0.9387786500010407,0.0,,0.0,
lvl6_bias,L6+B,B,6,True,False,nsgaii,nsgaii,-0.7734674554553502,27.19930954711244,1.559068450005725,0.0,,0.0,
lvl6_imbalance,L6+I,B,6,False,True,nsgaii,nsgaii,-0.7734674554553502,5.182347496938235,0.2723845500004245,0.0,,0.0,
lvl6_bias_imbalance,L6+B+I,B,6,True,True,nsgaii,nsgaii,-0.7734674554553502,25.00455748821638,-0.1370712500065565,0.0,,0.0,
lvl1_plain,L1,A,1,False,False,nsga2_farthest,nsga2-farthest,0.0,0.0,0.0,0.07504891566453797,1.0,0.08170879284290614,1.0
lvl3_plain,L3,A,3,False,False,nsga2_farthest,nsga2-farthest,-0.4933888256942346,0.47341118353861267,-1.6050499999983003,0.25556472711489586,3.405308722343806,0.3853064713544454,4.7156059702808015
lvl6_plain,L6,A,6,False,False,nsga2_farthest,nsga2-farthest,-0.8485163711198882,32.255302572267404,-0.09713064999959897,0.0,0.0,0.09691855451655584,1.1861459598710764
lvl6_bias,L6+B,B,6,True,False,nsga2_farthest,nsga2-farthest,-0.8485163711198882,27.26651370197604,1.212660950011923,0.0,0.0,0.01450463797930368,0.17751624365801602
lvl6_imbalance,L6+I,B,6,False,True,nsga2_farthest,nsga2-farthest,-0.8485163711198882,5.181545651230655,-0.17218289998709224,0.0,0.0,0.08251063855048546,1.009813456785746
lvl6_bias_imbalance,L6+B+I,B,6,True,True,nsga2_farthest,nsga2-farthest,-0.8485163711198882,24.054469738838,-2.632969750004122,0.0,0.0,1.0317965422212865,12.627729603165541
lvl1_plain,L1,A,1,False,False,nsga2_hvref_farthest,nsga2-hvref-farthest,0.0,0.0,0.0,0.15983627574441717,1.0,0.13745406168953508,1.0
lvl3_plain,L3,A,3,False,False,nsga2_hvref_farthest,nsga2-hvref-farthest,-0.43086796063213406,0.36210177001247235,-65.87226705002831,0.4028729522568756,2.520535156243762,0.5523611537272146,4.018514599989213
lvl6_plain,L6,A,6,False,False,nsga2_hvref_farthest,nsga2-hvref-farthest,-0.9333037311997674,32.250054727090074,-49.96318469999824,0.0,0.0,0.15791166854051397,1.148832319682092
lvl6_bias,L6+B,B,6,True,False,nsga2_hvref_farthest,nsga2-hvref-farthest,-0.9333037311997674,27.240563795740535,-10.498001150001073,0.0,0.0,0.09619981306143899,0.6998688280214207
lvl6_imbalance,L6+I,B,6,False,True,nsga2_hvref_farthest,nsga2-hvref-farthest,-0.9333037311997674,5.158467166722031,-22.774694499996258,0.0,0.0,0.16133439190573906,1.1737331725427076
lvl6_bias_imbalance,L6+B+I,B,6,True,True,nsga2_hvref_farthest,nsga2-hvref-farthest,-0.9333037311997674,23.339893739734443,-99.24496159999399,0.0,0.0,1.8021178101714739,13.110691586850912
lvl1_plain,L1,A,1,False,False,nsga2_hvfarthest,nsga2-hvfarthest,0.0,0.0,0.0,0.1864608137285707,1.0,0.15592322205468825,1.0
lvl3_plain,L3,A,3,False,False,nsga2_hvfarthest,nsga2-hvfarthest,-0.3033305422066003,0.2742044112569122,-69.2334207999811,0.5570349086665629,2.9874100489416158,0.658727672847928,4.224692538850223
lvl6_plain,L6,A,6,False,False,nsga2_hvfarthest,nsga2-hvfarthest,-0.9599282691839209,32.21716510678705,-55.160715749982046,0.0,0.0,0.2092704492086952,1.3421377935308187
lvl6_bias,L6+B,B,6,True,False,nsga2_hvfarthest,nsga2-hvfarthest,-0.9599282691839209,27.2537628739076,-14.590176099984092,0.0,0.0,0.10146989525952677,0.6507683327884116
lvl6_imbalance,L6+I,B,6,False,True,nsga2_hvfarthest,nsga2-hvfarthest,-0.9599282691839209,5.150668201894771,-27.016467049979838,0.0,0.0,0.1876025170981519,1.203172398735786
lvl6_bias_imbalance,L6+B+I,B,6,True,True,nsga2_hvfarthest,nsga2-hvfarthest,-0.9599282691839209,22.609989811267823,-110.75619949998509,0.0,0.0,2.550490899003247,16.357351171903645
lvl1_plain,L1,A,1,False,False,gces_nogeo,gces-noGeo,0.0,0.0,0.0,0.07324311252916149,1.0,0.08454464083414205,1.0
lvl3_plain,L3,A,3,False,False,gces_nogeo,gces-noGeo,-0.5258405553319998,0.5261956577132922,-4.140339799996582,0.22130719434175414,3.021542732139373,0.33535784517100176,3.966636345748986
lvl6_plain,L6,A,6,False,False,gces_nogeo,gces-noGeo,-0.8467105679845117,32.26673243474433,-1.8428395499940962,0.0,0.0,0.08832454003086809,1.0447089154254185
lvl6_bias,L6+B,B,6,True,False,gces_nogeo,gces-noGeo,-0.8467105679845117,27.268805728594558,0.4040250000107335,0.0,0.0,0.015048459352023258,0.1779942430833081
lvl6_imbalance,L6+I,B,6,False,True,gces_nogeo,gces-noGeo,-0.8467105679845117,5.2609143899742685,-1.1277843499992741,0.0,0.0,0.005977747798108446,0.07070522435402463
lvl6_bias_imbalance,L6+B+I,B,6,True,True,gces_nogeo,gces-noGeo,-0.8467105679845117,23.878218071175148,-6.374045999997179,0.0,0.0,1.2108840578753757,14.322422402276962
lvl1_plain,L1,A,1,False,False,gces,gces,0.0,0.0,0.0,0.0794505545667491,1.0,0.08245215531061448,1.0
lvl3_plain,L3,A,3,False,False,gces,gces,-0.5297105386750669,0.5216091336420062,-7.348255649994826,0.22364465303627465,2.8148910256930075,0.3378518837187602,4.0975506637273655
lvl6_plain,L6,A,6,False,False,gces,gces,-0.8529180100220993,32.25561232047196,-4.471216550009558,0.0,0.0,0.09735216877970743,1.1807110246295138
lvl6_bias,L6+B,B,6,True,False,gces,gces,-0.8529180100220993,27.29116052974681,-0.5175367499905406,0.0,0.0,-0.009398827323757075,-0.1139912872907898
lvl6_imbalance,L6+I,B,6,False,True,gces,gces,-0.8529180100220993,5.2461857836547,-3.020833449991187,0.0,0.0,0.01861386859414882,0.22575357216590022
lvl6_bias_imbalance,L6+B+I,B,6,True,True,gces,gces,-0.8529180100220993,24.236603078458167,-10.047021549980855,0.0,0.0,0.8504065650688304,10.313939785626845
