config_id,config_label,phase,level,bias,imbalance,algorithm,algorithm_label,hv_delta_vs_lvl6_plain,igd_plus_delta_vs_lvl6_plain,runtime_seconds_delta_vs_lvl6_plain,hv_advantage_change_vs_nsgaii,igd_plus_advantage_change_vs_nsgaii
lvl6_bias,L6+B,B,6,True,False,nsgaii,nsgaii,0.0,-5.071202786828614,0.6202898000046844,0.0,0.0
lvl6_imbalance,L6+I,B,6,False,True,nsgaii,nsgaii,0.0,-27.088164837002818,-0.6663941000006162,0.0,0.0
lvl6_bias_imbalance,L6+B+I,B,6,True,True,nsgaii,nsgaii,0.0,-7.265954845724671,-1.0758499000075972,0.0,0.0
lvl6_bias,L6+B,B,6,True,False,nsga2_farthest,nsga2-farthest,0.0,-4.988788870291362,1.309791600011522,0.0,-0.08241391653725216
lvl6_imbalance,L6+I,B,6,False,True,nsga2_farthest,nsga2-farthest,0.0,-27.073756921036747,-0.07505224998749327,0.0,-0.014407915966070384
lvl6_bias_imbalance,L6+B+I,B,6,True,True,nsga2_farthest,nsga2-farthest,0.0,-8.200832833429402,-2.535839100004523,0.0,0.9348779877047306
lvl6_bias,L6+B,B,6,True,False,nsga2_hvref_farthest,nsga2-hvref-farthest,0.0,-5.009490931349539,39.465183549997164,0.0,-0.061711855479074984
lvl6_imbalance,L6+I,B,6,False,True,nsga2_hvref_farthest,nsga2-hvref-farthest,0.0,-27.091587560368044,27.18849020000198,0.0,0.003422723365225089
lvl6_bias_imbalance,L6+B+I,B,6,True,True,nsga2_hvref_farthest,nsga2-hvref-farthest,0.0,-8.910160987355631,-49.28177689999575,0.0,1.64420614163096
lvl6_bias,L6+B,B,6,True,False,nsga2_hvfarthest,nsga2-hvfarthest,0.0,-4.963402232879446,40.570539649997954,0.0,-0.10780055394916843
lvl6_imbalance,L6+I,B,6,False,True,nsga2_hvfarthest,nsga2-hvfarthest,0.0,-27.066496904892276,28.14424870000221,0.0,-0.021667932110543298
lvl6_bias_imbalance,L6+B+I,B,6,True,True,nsga2_hvfarthest,nsga2-hvfarthest,0.0,-9.607175295519223,-55.59548375000304,0.0,2.3412204497945517
lvl6_bias,L6+B,B,6,True,False,gces_nogeo,gces-noGeo,0.0,-4.997926706149769,2.2468645500048297,0.0,-0.07327608067884483
lvl6_imbalance,L6+I,B,6,False,True,gces_nogeo,gces-noGeo,0.0,-27.00581804477006,0.715055199994822,0.0,-0.08234679223275965
lvl6_bias_imbalance,L6+B+I,B,6,True,True,gces_nogeo,gces-noGeo,0.0,-8.388514363569179,-4.531206450003083,0.0,1.1225595178445076
lvl6_bias,L6+B,B,6,True,False,gces,gces,0.0,-4.96445179072515,3.9536798000190174,0.0,-0.1067509961034645
lvl6_imbalance,L6+I,B,6,False,True,gces,gces,0.0,-27.00942653681726,1.450383100018371,0.0,-0.07873830018555861
lvl6_bias_imbalance,L6+B+I,B,6,True,True,gces,gces,0.0,-8.019009242013794,-5.575804999971297,0.0,0.753054396289123
