config_id,config_label,phase,level,bias,imbalance,lhs_algorithm,rhs_algorithm,lhs_label,rhs_label,metric,problem_count,problems_better,problems_tied,problems_worse,median_delta_across_problems,lhs_seed_wins_total,seed_ties_total,rhs_seed_wins_total,significant_problem_count
lvl1_plain,L1,A,1,False,False,nsga2_farthest,nsgaii,nsga2-farthest,nsgaii,hypervolume,20,18,0,2,0.08091420694664625,390,0,30,18
lvl1_plain,L1,A,1,False,False,nsga2_farthest,nsgaii,nsga2-farthest,nsgaii,igd_plus,20,19,0,1,-0.08433585717397862,391,0,29,18
lvl1_plain,L1,A,1,False,False,nsga2_hvref_farthest,nsgaii,nsga2-hvref-farthest,nsgaii,hypervolume,20,20,0,0,0.16757039622781644,420,0,0,20
lvl1_plain,L1,A,1,False,False,nsga2_hvref_farthest,nsgaii,nsga2-hvref-farthest,nsgaii,igd_plus,20,20,0,0,-0.14245699768511738,420,0,0,20
lvl1_plain,L1,A,1,False,False,nsga2_hvfarthest,nsgaii,nsga2-hvfarthest,nsgaii,hypervolume,20,20,0,0,0.18245990375688975,420,0,0,20
lvl1_plain,L1,A,1,False,False,nsga2_hvfarthest,nsgaii,nsga2-hvfarthest,nsgaii,igd_plus,20,20,0,0,-0.1620745565213842,415,0,5,20
lvl1_plain,L1,A,1,False,False,gces_nogeo,nsgaii,gces-noGeo,nsgaii,hypervolume,20,19,0,1,0.06952624203021213,385,0,35,18
lvl1_plain,L1,A,1,False,False,gces_nogeo,nsgaii,gces-noGeo,nsgaii,igd_plus,20,19,0,1,-0.08473554820961862,391,0,29,18
lvl1_plain,L1,A,1,False,False,gces,nsgaii,gces,nsgaii,hypervolume,20,20,0,0,0.08048681579998024,387,0,33,18
lvl1_plain,L1,A,1,False,False,gces,nsgaii,gces,nsgaii,igd_plus,20,19,0,1,-0.08035738580214843,389,0,31,18
lvl3_plain,L3,A,3,False,False,nsga2_farthest,nsgaii,nsga2-farthest,nsgaii,hypervolume,20,19,1,0,0.20879619764193555,367,32,21,18
lvl3_plain,L3,A,3,False,False,nsga2_farthest,nsgaii,nsga2-farthest,nsgaii,igd_plus,20,20,0,0,-0.330471662900104,384,0,36,18
lvl3_plain,L3,A,3,False,False,nsga2_hvref_farthest,nsgaii,nsga2-hvref-farthest,nsgaii,hypervolume,20,19,1,0,0.3567086837353967,391,25,4,18
lvl3_plain,L3,A,3,False,False,nsga2_hvref_farthest,nsgaii,nsga2-hvref-farthest,nsgaii,igd_plus,20,20,0,0,-0.4642740305438181,408,0,12,20
lvl3_plain,L3,A,3,False,False,nsga2_hvfarthest,nsgaii,nsga2-hvfarthest,nsgaii,hypervolume,20,20,0,0,0.46750323471769073,416,3,1,20
lvl3_plain,L3,A,3,False,False,nsga2_hvfarthest,nsgaii,nsga2-hvfarthest,nsgaii,igd_plus,20,20,0,0,-0.5750715700244196,408,0,12,20
lvl3_plain,L3,A,3,False,False,gces_nogeo,nsgaii,gces-noGeo,nsgaii,hypervolume,20,18,2,0,0.15966231708994544,354,36,30,18
lvl3_plain,L3,A,3,False,False,gces_nogeo,nsgaii,gces-noGeo,nsgaii,igd_plus,20,20,0,0,-0.30617217886166753,372,0,48,17
lvl3_plain,L3,A,3,False,False,gces,nsgaii,gces,nsgaii,hypervolume,20,18,2,0,0.18243142410116514,354,36,30,18
lvl3_plain,L3,A,3,False,False,gces,nsgaii,gces,nsgaii,igd_plus,20,19,0,1,-0.28280230578753324,369,0,51,16
lvl6_plain,L6,A,6,False,False,nsga2_farthest,nsgaii,nsga2-farthest,nsgaii,hypervolume,20,0,20,0,0.0,0,420,0,0
lvl6_plain,L6,A,6,False,False,nsga2_farthest,nsgaii,nsga2-farthest,nsgaii,igd_plus,20,19,0,1,-0.12508392901458798,318,0,102,7
lvl6_plain,L6,A,6,False,False,nsga2_hvref_farthest,nsgaii,nsga2-hvref-farthest,nsgaii,hypervolume,20,0,20,0,0.0,0,420,0,0
lvl6_plain,L6,A,6,False,False,nsga2_hvref_farthest,nsgaii,nsga2-hvref-farthest,nsgaii,igd_plus,20,20,0,0,-0.26040668719340054,395,0,25,16
lvl6_plain,L6,A,6,False,False,nsga2_hvfarthest,nsgaii,nsga2-hvfarthest,nsgaii,hypervolume,20,0,20,0,0.0,0,420,0,0
lvl6_plain,L6,A,6,False,False,nsga2_hvfarthest,nsgaii,nsga2-hvfarthest,nsgaii,igd_plus,20,20,0,0,-0.3046905635162105,406,0,14,18
lvl6_plain,L6,A,6,False,False,gces_nogeo,nsgaii,gces-noGeo,nsgaii,hypervolume,20,0,20,0,0.0,0,420,0,0
lvl6_plain,L6,A,6,False,False,gces_nogeo,nsgaii,gces-noGeo,nsgaii,igd_plus,20,20,0,0,-0.1005047257134919,310,0,110,5
lvl6_plain,L6,A,6,False,False,gces,nsgaii,gces,nsgaii,hypervolume,20,0,20,0,0.0,0,420,0,0
lvl6_plain,L6,A,6,False,False,gces,nsgaii,gces,nsgaii,igd_plus,20,19,0,1,-0.10731848767968621,304,0,116,4
lvl6_bias,L6+B,B,6,True,False,nsga2_farthest,nsgaii,nsga2-farthest,nsgaii,hypervolume,20,0,20,0,0.0,0,420,0,0
lvl6_bias,L6+B,B,6,True,False,nsga2_farthest,nsgaii,nsga2-farthest,nsgaii,igd_plus,20,19,0,1,-0.06273336624459525,282,0,138,1
lvl6_bias,L6+B,B,6,True,False,nsga2_hvref_farthest,nsgaii,nsga2-hvref-farthest,nsgaii,hypervolume,20,0,20,0,0.0,0,420,0,0
lvl6_bias,L6+B,B,6,True,False,nsga2_hvref_farthest,nsgaii,nsga2-hvref-farthest,nsgaii,igd_plus,20,20,0,0,-0.14074725111618136,377,0,43,15
lvl6_bias,L6+B,B,6,True,False,nsga2_hvfarthest,nsgaii,nsga2-hvfarthest,nsgaii,hypervolume,20,0,20,0,0.0,0,420,0,0
lvl6_bias,L6+B,B,6,True,False,nsga2_hvfarthest,nsgaii,nsga2-hvfarthest,nsgaii,igd_plus,20,20,0,0,-0.13498283310253534,389,0,31,18
lvl6_bias,L6+B,B,6,True,False,gces_nogeo,nsgaii,gces-noGeo,nsgaii,hypervolume,20,0,20,0,0.0,0,420,0,0
lvl6_bias,L6+B,B,6,True,False,gces_nogeo,nsgaii,gces-noGeo,nsgaii,igd_plus,20,12,0,8,-0.017895084394313088,250,0,170,1
lvl6_bias,L6+B,B,6,True,False,gces,nsgaii,gces,nsgaii,hypervolume,20,0,20,0,0.0,0,420,0,0
lvl6_bias,L6+B,B,6,True,False,gces,nsgaii,gces,nsgaii,igd_plus,20,16,0,4,-0.03260973072825735,265,0,155,1
lvl6_imbalance,L6+I,B,6,False,True,nsga2_farthest,nsgaii,nsga2-farthest,nsgaii,hypervolume,20,2,18,0,0.0,63,310,47,0
lvl6_imbalance,L6+I,B,6,False,True,nsga2_farthest,nsgaii,nsga2-farthest,nsgaii,igd_plus,20,16,0,4,-0.031649470447126404,230,0,190,0
lvl6_imbalance,L6+I,B,6,False,True,nsga2_hvref_farthest,nsgaii,nsga2-hvref-farthest,nsgaii,hypervolume,20,2,18,0,0.0,84,306,30,2
