config_id,config_label,phase,level,bias,imbalance,algorithm,algorithm_label,hv_delta_vs_lvl1_plain,igd_plus_delta_vs_lvl1_plain,runtime_seconds_delta_vs_lvl1_plain,hv_advantage_vs_nsgaii,hv_advantage_retention_vs_lvl1_plain,igd_plus_advantage_vs_nsgaii,igd_plus_advantage_retention_vs_lvl1_plain
lvl1_plain,L1,A,1,False,False,nsgaii,nsgaii,0.0,0.0,0.0,0.0,,0.0,
lvl3_plain,L3,A,3,False,False,nsgaii,nsgaii,0.0,12.580457349896342,0.0014273999840952456,0.0,,0.0,
lvl6_plain,L6,A,6,False,False,nsgaii,nsgaii,0.0,34.72449714595791,0.01580130000365898,0.0,,0.0,
lvl6_bias,L6+B,B,6,True,False,nsgaii,nsgaii,0.0,28.6452106589753,0.025764399993931875,0.0,,0.0,
lvl6_imbalance,L6+I,B,6,False,True,nsgaii,nsgaii,0.0,15.192102257911264,0.026115099986782297,0.0,,0.0,
lvl6_bias_imbalance,L6+B+I,B,6,True,True,nsgaii,nsgaii,0.0,73.03700856394777,0.020003999990876764,0.0,,0.0,
lvl1_plain,L1,A,1,False,False,nsga2_farthest,nsga2-farthest,0.0,0.0,0.0,0.0,,-0.07585902981251325,1.0
lvl3_plain,L3,A,3,False,False,nsga2_farthest,nsga2-farthest,0.0,10.570461546967204,-0.11775980002130382,0.0,,1.9341367731166255,-25.496460710041692
lvl6_plain,L6,A,6,False,False,nsga2_farthest,nsga2-farthest,0.0,37.73795601863166,-0.1198168000264559,0.0,,-3.0893179024862576,40.724458381837394
lvl6_bias,L6+B,B,6,True,False,nsga2_farthest,nsga2-farthest,0.0,28.571096020436322,-0.08190130002913065,0.0,,-0.0017443912735330969,0.022995169828092802
lvl6_imbalance,L6+I,B,6,False,True,nsga2_farthest,nsga2-farthest,0.0,14.676768842272983,-1.1962448000267614,0.0,,0.43947438582576837,-5.793303538312262
lvl6_bias_imbalance,L6+B+I,B,6,True,True,nsga2_farthest,nsga2-farthest,0.0,67.63884364212008,-1.1823114000144415,0.0,,5.32230589201518,-70.16047931497859
lvl1_plain,L1,A,1,False,False,nsga2_hvref_farthest,nsga2-hvref-farthest,0.0,0.0,0.0,0.0,,-0.4412279931530656,1.0
lvl3_plain,L3,A,3,False,False,nsga2_hvref_farthest,nsga2-hvref-farthest,0.0,14.493080770918485,-0.065934299986111,0.0,,-2.3538514141752085,5.334773520044179
lvl6_plain,L6,A,6,False,False,nsga2_hvref_farthest,nsga2-hvref-farthest,0.0,37.176830493089376,-0.07610919998842292,0.0,,-2.8935613402845277,6.5579731684900775
lvl6_bias,L6+B,B,6,True,False,nsga2_hvref_farthest,nsga2-hvref-farthest,0.0,29.3210378441242,-0.08271809999132529,0.0,,-1.1170551783019604,2.5316960746741306
lvl6_imbalance,L6+I,B,6,False,True,nsga2_hvref_farthest,nsga2-hvref-farthest,0.0,13.192655592522389,-1.196683899994241,0.0,,1.5582186722358102,-3.531549893515599
lvl6_bias_imbalance,L6+B+I,B,6,True,True,nsga2_hvref_farthest,nsga2-hvref-farthest,0.0,70.44217673063535,-1.1801622999773826,0.0,,2.1536038401593487,-4.880932020585208
lvl1_plain,L1,A,1,False,False,nsga2_hvfarthest,nsga2-hvfarthest,0.0,0.0,0.0,0.0,,-1.2751078598116363,1.0
