config_id,config_label,phase,level,bias,imbalance,algorithm,algorithm_label,hv_delta_vs_lvl6_plain,igd_plus_delta_vs_lvl6_plain,runtime_seconds_delta_vs_lvl6_plain,hv_advantage_change_vs_nsgaii,igd_plus_advantage_change_vs_nsgaii
lvl6_bias,L6+B,B,6,True,False,nsgaii,nsgaii,0.0,-6.07928648698261,0.009963099990272895,0.0,0.0
lvl6_imbalance,L6+I,B,6,False,True,nsgaii,nsgaii,0.0,-19.53239488804665,0.010313799983123317,0.0,0.0
lvl6_bias_imbalance,L6+B+I,B,6,True,True,nsgaii,nsgaii,0.0,38.31251141798985,0.004202699987217784,0.0,0.0
lvl6_bias,L6+B,B,6,True,False,nsga2_farthest,nsga2-farthest,0.0,-9.166859998195335,0.03791549999732524,0.0,3.0875735112127245
lvl6_imbalance,L6+I,B,6,False,True,nsga2_farthest,nsga2-farthest,0.0,-23.061187176358676,-1.0764280000003055,0.0,3.528792288312026
lvl6_bias_imbalance,L6+B+I,B,6,True,True,nsga2_farthest,nsga2-farthest,0.0,29.900887623488416,-1.0624945999879856,0.0,8.411623794501438
lvl6_bias,L6+B,B,6,True,False,nsga2_hvref_farthest,nsga2-hvref-farthest,0.0,-7.855792648965178,-0.006608900002902374,0.0,1.7765061619825673
lvl6_imbalance,L6+I,B,6,False,True,nsga2_hvref_farthest,nsga2-hvref-farthest,0.0,-23.984174900566988,-1.1205747000058182,0.0,4.451780012520338
lvl6_bias_imbalance,L6+B+I,B,6,True,True,nsga2_hvref_farthest,nsga2-hvref-farthest,0.0,33.26534623754598,-1.1040530999889597,0.0,5.047165180443876
lvl6_bias,L6+B,B,6,True,False,nsga2_hvfarthest,nsga2-hvfarthest,0.0,-9.70778091307475,-0.08274849998997524,0.0,3.6284944260921392
lvl6_imbalance,L6+I,B,6,False,True,nsga2_hvfarthest,nsga2-hvfarthest,0.0,-22.138292873937445,-1.1037500000093132,0.0,2.6058979858907954
lvl6_bias_imbalance,L6+B+I,B,6,True,True,nsga2_hvfarthest,nsga2-hvfarthest,0.0,31.475391055658044,-1.0895063999923877,0.0,6.8371203623318095
lvl6_bias,L6+B,B,6,True,False,gces_nogeo,gces-noGeo,0.0,-8.967217620492423,-1.1107835000148043,0.0,2.887931133509813
lvl6_imbalance,L6+I,B,6,False,True,gces_nogeo,gces-noGeo,0.0,-20.084702143999827,-1.125030000024708,0.0,0.5523072559531776
lvl6_bias_imbalance,L6+B+I,B,6,True,True,gces_nogeo,gces-noGeo,0.0,34.894306847557274,-1.1354888000059873,0.0,3.4182045704325787
lvl6_bias,L6+B,B,6,True,False,gces,gces,0.0,-9.9089952446107,-1.091128599975491,0.0,3.82970875762809
lvl6_imbalance,L6+I,B,6,False,True,gces,gces,0.0,-21.895133789119836,-1.114730100001907,0.0,2.362738901073186
lvl6_bias_imbalance,L6+B+I,B,6,True,True,gces,gces,0.0,30.366863527797534,-1.1259037000127137,0.0,7.945647890192319
