config_id,config_label,phase,level,bias,imbalance,algorithm,algorithm_label,problem_count,hv_median_of_medians,igd_plus_median_of_medians,runtime_seconds_median_of_medians,hv_delta_vs_nsgaii,igd_plus_delta_vs_nsgaii,igd_plus_improvement_vs_nsgaii,runtime_seconds_delta_vs_nsgaii,runtime_ratio_vs_nsgaii
lvl1_plain,L1,A,1,False,False,nsgaii,nsgaii,1,0.0,3.0160722674465017,0.02743190000182949,0.0,0.0,0.0,0.0,1.0
lvl1_plain,L1,A,1,False,False,nsga2_farthest,nsga2-farthest,1,0.0,3.091931297259015,1.2471897000214085,0.0,0.07585902981251325,-0.07585902981251325,1.219757800019579,45.4649404502871
lvl1_plain,L1,A,1,False,False,nsga2_hvref_farthest,nsga2-hvref-farthest,1,0.0,3.4573002605995673,1.3270559999800753,0.0,0.4412279931530656,-0.4412279931530656,1.2996240999782458,48.37637932084803
lvl1_plain,L1,A,1,False,False,nsga2_hvfarthest,nsga2-hvfarthest,1,0.0,4.291180127258138,1.2984222000231966,0.0,1.2751078598116363,-1.2751078598116363,1.2709903000213671,47.33256536866211
lvl1_plain,L1,A,1,False,False,gces_nogeo,gces-noGeo,1,0.0,3.125528749100076,1.1990740000037476,0.0,0.10945648165357413,-0.10945648165357413,1.1716421000019182,43.710935076454014
lvl1_plain,L1,A,1,False,False,gces,gces,1,0.0,3.334074737732038,1.2193779000081122,0.0,0.3180024702855362,-0.3180024702855362,1.1919460000062827,44.45109160965115
lvl3_plain,L3,A,3,False,False,nsgaii,nsgaii,1,0.0,15.596529617342844,0.028859299985924736,0.0,0.0,0.0,0.0,1.0
lvl3_plain,L3,A,3,False,False,nsga2_farthest,nsga2-farthest,1,0.0,13.662392844226218,1.1294299000001047,0.0,-1.9341367731166255,1.9341367731166255,1.10057060001418,39.13573442706339
lvl3_plain,L3,A,3,False,False,nsga2_hvref_farthest,nsga2-hvref-farthest,1,0.0,17.950381031518052,1.2611216999939643,0.0,2.3538514141752085,-2.3538514141752085,1.2322624000080395,43.698970543604275
lvl3_plain,L3,A,3,False,False,nsga2_hvfarthest,nsga2-hvfarthest,1,0.0,15.52485372131594,1.171881599992048,0.0,-0.07167589602690327,0.07167589602690327,1.1430223000061233,40.6067229823176
lvl3_plain,L3,A,3,False,False,gces_nogeo,gces-noGeo,1,0.0,20.060522470778377,1.176127600017935,0.0,4.463992853435533,-4.463992853435533,1.1472683000320103,40.753850598994305
lvl3_plain,L3,A,3,False,False,gces,gces,1,0.0,17.95751001899363,1.1272927999962121,0.0,2.360980401650787,-2.360980401650787,1.0984335000102874,39.061682041699406
lvl6_plain,L6,A,6,False,False,nsgaii,nsgaii,1,0.0,37.740569413404415,0.04323320000548847,0.0,0.0,0.0,0.0,1.0
lvl6_plain,L6,A,6,False,False,nsga2_farthest,nsga2-farthest,1,0.0,40.82988731589067,1.1273728999949526,0.0,3.0893179024862576,-3.0893179024862576,1.0841396999894641,26.076554588876885
lvl6_plain,L6,A,6,False,False,nsga2_hvref_farthest,nsga2-hvref-farthest,1,0.0,40.63413075368894,1.2509467999916524,0.0,2.8935613402845277,-2.8935613402845277,1.207713599986164,28.93486486850023
lvl6_plain,L6,A,6,False,False,nsga2_hvfarthest,nsga2-hvfarthest,1,0.0,40.33065243422478,1.2158946999988984,0.0,2.590083020820366,-2.590083020820366,1.17266149999341,28.124096755376428
lvl6_plain,L6,A,6,False,False,gces_nogeo,gces-noGeo,1,0.0,40.34062281345719,1.1900968000118155,0.0,2.600053400052772,-2.600053400052772,1.146863600006327,27.5273817311865
lvl6_plain,L6,A,6,False,False,gces,gces,1,0.0,40.67665522655585,1.186356699996395,0.0,2.9360858131514362,-2.9360858131514362,1.1431234999909066,27.4408718264155
lvl6_bias,L6+B,B,6,True,False,nsgaii,nsgaii,1,0.0,31.661282926421805,0.053196299995761365,0.0,0.0,0.0,0.0,1.0
lvl6_bias,L6+B,B,6,True,False,nsga2_farthest,nsga2-farthest,1,0.0,31.663027317695338,1.1652883999922778,0.0,0.0017443912735330969,-0.0017443912735330969,1.1120920999965165,21.90544079353502
lvl6_bias,L6+B,B,6,True,False,nsga2_hvref_farthest,nsga2-hvref-farthest,1,0.0,32.778338104723765,1.24433789998875,0.0,1.1170551783019604,-1.1170551783019604,1.1911415999929886,23.39143700009019
lvl6_bias,L6+B,B,6,True,False,nsga2_hvfarthest,nsga2-hvfarthest,1,0.0,30.62287152115003,1.1331462000089232,0.0,-1.0384114052717734,1.0384114052717734,1.0799499000131618,21.301222079340317
lvl6_bias,L6+B,B,6,True,False,gces_nogeo,gces-noGeo,1,0.0,31.373405192964764,0.0793132999970112,0.0,-0.2878777334570408,0.2878777334570408,0.026117000001249835,1.4909551980745055
lvl6_bias,L6+B,B,6,True,False,gces,gces,1,0.0,30.76765998194515,0.0952281000209041,0.0,-0.8936229444766539,0.8936229444766539,0.04203180002514273,1.7901263815057022
lvl6_imbalance,L6+I,B,6,False,True,nsgaii,nsgaii,1,0.0,18.208174525357766,0.05354699998861179,0.0,0.0,0.0,0.0,1.0
lvl6_imbalance,L6+I,B,6,False,True,nsga2_farthest,nsga2-farthest,1,0.0,17.768700139531997,0.05094489999464713,0.0,-0.43947438582576837,0.43947438582576837,-0.002602099993964657,0.9514053075892568
lvl6_imbalance,L6+I,B,6,False,True,nsga2_hvref_farthest,nsga2-hvref-farthest,1,0.0,16.649955853121956,0.1303720999858342,0.0,-1.5582186722358102,1.5582186722358102,0.07682509999722242,2.4347227671683074
lvl6_imbalance,L6+I,B,6,False,True,nsga2_hvfarthest,nsga2-hvfarthest,1,0.0,18.192359560287336,0.1121446999895852,0.0,-0.015814965070429565,0.015814965070429565,0.05859770000097342,2.0943227447557433
lvl6_imbalance,L6+I,B,6,False,True,gces_nogeo,gces-noGeo,1,0.0,20.25592066945736,0.06506679998710752,0.0,2.0477461440995945,-2.0477461440995945,0.011519799998495728,1.2151343679561082
lvl6_imbalance,L6+I,B,6,False,True,gces,gces,1,0.0,18.781521437436016,0.07162659999448806,0.0,0.5733469120782502,-0.5733469120782502,0.018079600005876273,1.3376398306108912
lvl6_bias_imbalance,L6+B+I,B,6,True,True,nsgaii,nsgaii,1,0.0,76.05308083139427,0.047435899992706254,0.0,0.0,0.0,0.0,1.0
lvl6_bias_imbalance,L6+B+I,B,6,True,True,nsga2_farthest,nsga2-farthest,1,0.0,70.73077493937909,0.06487830000696704,0.0,-5.32230589201518,5.32230589201518,0.017442400014260784,1.3677046291298938
lvl6_bias_imbalance,L6+B+I,B,6,True,True,nsga2_hvref_farthest,nsga2-hvref-farthest,1,0.0,73.89947699123492,0.14689370000269264,0.0,-2.1536038401593487,2.1536038401593487,0.09945780000998639,3.096677833144918
lvl6_bias_imbalance,L6+B+I,B,6,True,True,nsga2_hvfarthest,nsga2-hvfarthest,1,0.0,71.80604348988282,0.1263883000065107,0.0,-4.247037341511444,4.247037341511444,0.07895240001380444,2.664401856525209
lvl6_bias_imbalance,L6+B+I,B,6,True,True,gces_nogeo,gces-noGeo,1,0.0,75.23492966101446,0.05460800000582822,0.0,-0.8181511703798066,0.8181511703798066,0.0071721000131219625,1.1511956137487587
lvl6_bias_imbalance,L6+B+I,B,6,True,True,gces,gces,1,0.0,71.04351875435339,0.060452999983681366,0.0,-5.009562077040883,5.009562077040883,0.013017099990975112,1.2744145255592625
