problem,metric,higher_is_better,lhs_algorithm,lhs_label,rhs_algorithm,rhs_label,n_common_seeds,lhs_mean,lhs_median,rhs_mean,rhs_median,delta_mean,delta_median,lhs_seed_wins,seed_ties,rhs_seed_wins,lhs_both_metric_seed_wins,both_metric_seed_ties_or_mixed,rhs_both_metric_seed_wins,wilcoxon_p_value_raw,wilcoxon_p_value_holm,wilcoxon_significant_alpha
zcat1,hypervolume,True,gces,gces,nsgaii,nsgaii,21,0.9834086942103346,0.9834600502111897,0.9817278334092562,0.9817307523943808,0.001680860801078432,0.0017292978168088613,19,0,2,16,3,2,9.5367431640625e-06,0.000438690185546875,True
zcat1,igd_plus,False,gces,gces,nsgaii,nsgaii,21,0.007335215721646729,0.0072207997782721385,0.007825542163304186,0.007839205899389287,-0.0004903264416574564,-0.0006184061211171486,16,0,5,16,3,2,0.0032787322998046875,0.12131309509277344,False
zcat1,hypervolume,True,gces_nocomp,gces-noComp,nsgaii,nsgaii,21,0.9861347293897103,0.9862918347156521,0.9817278334092562,0.9817307523943808,0.004406895980454073,0.0045610823212712814,21,0,0,21,0,0,9.5367431640625e-07,9.5367431640625e-05,True
zcat1,igd_plus,False,gces_nocomp,gces-noComp,nsgaii,nsgaii,21,0.006019390320063749,0.005978741317947302,0.007825542163304186,0.007839205899389287,-0.0018061518432404364,-0.0018604645814419849,21,0,0,21,0,0,9.5367431640625e-07,9.5367431640625e-05,True
zcat1,hypervolume,True,gces_nogeo,gces-noGeo,nsgaii,nsgaii,21,0.9834461536438963,0.9835636746011842,0.9817278334092562,0.9817307523943808,0.001718320234640136,0.0018329222068034223,19,0,2,17,2,2,6.67572021484375e-06,0.00032711029052734375,True
zcat1,igd_plus,False,gces_nogeo,gces-noGeo,nsgaii,nsgaii,21,0.00746110850905981,0.007352343327468205,0.007825542163304186,0.007839205899389287,-0.00036443365424437563,-0.0004868625719210819,17,0,4,17,2,2,0.005541801452636719,0.177337646484375,False
zcat1,hypervolume,True,gces,gces,gces_nocomp,gces-noComp,21,0.9834086942103346,0.9834600502111897,0.9861347293897103,0.9862918347156521,-0.002726035179375641,-0.00283178450446242,1,0,20,0,1,20,1.9073486328125e-06,0.0001201629638671875,True
zcat1,igd_plus,False,gces,gces,gces_nocomp,gces-noComp,21,0.007335215721646729,0.0072207997782721385,0.006019390320063749,0.005978741317947302,0.00131582540158298,0.0012420584603248363,0,0,21,0,1,20,9.5367431640625e-07,9.5367431640625e-05,True
zcat1,hypervolume,True,gces,gces,gces_nogeo,gces-noGeo,21,0.9834086942103346,0.9834600502111897,0.9834461536438963,0.9835636746011842,-3.7459433561704e-05,-0.00010362438999456103,11,0,10,9,5,7,0.8116779327392578,1.0,False
zcat1,igd_plus,False,gces,gces,gces_nogeo,gces-noGeo,21,0.007335215721646729,0.0072207997782721385,0.00746110850905981,0.007352343327468205,-0.00012589278741308076,-0.00013154354919606669,12,0,9,9,5,7,0.539189338684082,1.0,False
zcat10,hypervolume,True,gces,gces,nsgaii,nsgaii,21,0.9555418292018765,0.9554138922440139,0.9464530800048602,0.9460069677075087,0.0090887491970163,0.009406924536505157,21,0,0,12,9,0,9.5367431640625e-07,9.5367431640625e-05,True
zcat10,igd_plus,False,gces,gces,nsgaii,nsgaii,21,0.0037230398286117903,0.0033918634644695056,0.0035046055096680235,0.0034967039304578387,0.00021843431894376679,-0.00010484046598833313,12,0,9,12,9,0,0.785365104675293,1.0,False
zcat10,hypervolume,True,gces_nocomp,gces-noComp,nsgaii,nsgaii,21,0.9498826174757863,0.95027962580968,0.9464530800048602,0.9460069677075087,0.003429537470926114,0.004272658102171256,14,0,7,13,3,5,0.0037527084350585938,0.11258125305175781,False
zcat10,igd_plus,False,gces_nocomp,gces-noComp,nsgaii,nsgaii,21,0.003332633744587792,0.003385291947991477,0.0035046055096680235,0.0034967039304578387,-0.00017197176508023174,-0.0001114119824663618,15,0,6,13,3,5,0.0062808990478515625,0.19470787048339844,False
zcat10,hypervolume,True,gces_nogeo,gces-noGeo,nsgaii,nsgaii,21,0.9555449017420206,0.9560721766902548,0.9464530800048602,0.9460069677075087,0.009091821737160388,0.010065208982746099,20,0,1,10,10,1,1.9073486328125e-06,0.0001201629638671875,True
zcat10,igd_plus,False,gces_nogeo,gces-noGeo,nsgaii,nsgaii,21,0.0036170420310730274,0.003440514955902749,0.0035046055096680235,0.0034967039304578387,0.00011243652140500385,-5.6188974555089824e-05,10,0,11,10,10,1,0.9728584289550781,1.0,False
zcat10,hypervolume,True,gces,gces,gces_nocomp,gces-noComp,21,0.9555418292018765,0.9554138922440139,0.9498826174757863,0.95027962580968,0.005659211726090185,0.005134266434333901,20,0,1,8,13,0,2.86102294921875e-06,0.00014591217041015625,True
zcat10,igd_plus,False,gces,gces,gces_nocomp,gces-noComp,21,0.0037230398286117903,0.0033918634644695056,0.003332633744587792,0.003385291947991477,0.0003904060840239985,6.571516478028668e-06,9,0,12,8,13,0,0.2877340316772461,1.0,False
zcat10,hypervolume,True,gces,gces,gces_nogeo,gces-noGeo,21,0.9555418292018765,0.9554138922440139,0.9555449017420206,0.9560721766902548,-3.0725401440889755e-06,-0.0006582844462409421,11,0,10,6,7,8,0.945744514465332,1.0,False
