problem,algorithm,seed,engine,pop_size,max_evaluations,runtime_seconds,n_solutions,hypervolume,igd_plus
zcat1,nsgaii,0,numpy,80,8000,0.5074579999782145,80,0.9635020753436734,0.015501374766675596
zcat1,nsgaii,1,numpy,80,8000,0.466729400010081,80,0.960449327801565,0.016989121689216152
zcat1,nsgaii,2,numpy,80,8000,0.5143278999894392,80,0.9643376118152398,0.01530566941994477
zcat1,nsgaii,3,numpy,80,8000,0.45067559997551143,80,0.9664334091978183,0.014353791225070791
zcat1,nsgaii,4,numpy,80,8000,0.47762439999496564,80,0.9638290264148187,0.015510983656945771
zcat1,nsgaii,5,numpy,80,8000,0.45555240000248887,80,0.966808260751053,0.014223324668137348
zcat1,nsgaii,6,numpy,80,8000,0.43941190000623465,80,0.9658652660952878,0.014460141135383126
zcat1,nsgaii,7,numpy,80,8000,0.49572309997165576,80,0.9668559386227288,0.014030836250254638
zcat1,nsgaii,8,numpy,80,8000,0.43934700000681914,80,0.9614580411157785,0.016469919777727573
zcat1,nsgaii,9,numpy,80,8000,0.4518753000011202,80,0.9657878348851633,0.014671432666957834
zcat1,gces,0,numpy,80,8000,1.0199983999773394,80,0.9663889570269228,0.014470840192432532
zcat1,gces,1,numpy,80,8000,0.9970618000079412,80,0.9705548755653941,0.01273784732581979
zcat1,gces,2,numpy,80,8000,0.9865571000264026,80,0.9656548706983215,0.014671256229856851
zcat1,gces,3,numpy,80,8000,1.0279860000009649,80,0.9640002259948391,0.015775128591767277
zcat1,gces,4,numpy,80,8000,1.0513677999842912,80,0.9717112842143583,0.012086206394077694
zcat1,gces,5,numpy,80,8000,1.0506124999956228,80,0.9710293070630536,0.014118252326069908
zcat1,gces,6,numpy,80,8000,0.9725083000084851,80,0.9686439756742405,0.013582248834560667
zcat1,gces,7,numpy,80,8000,0.9892154000117444,80,0.966523588806487,0.018497461284465385
zcat1,gces,8,numpy,80,8000,0.9734379000146873,80,0.968924001989029,0.014140345360482831
zcat1,gces,9,numpy,80,8000,1.0477258000173606,80,0.968494336751641,0.013948402979140727
zcat4,nsgaii,0,numpy,80,8000,0.4681257999909576,80,0.9636728832540917,0.015593486130375471
zcat4,nsgaii,1,numpy,80,8000,0.44283150002593175,80,0.9621701513997143,0.01622274238690884
zcat4,nsgaii,2,numpy,80,8000,0.4562850999936927,80,0.96349260886224,0.015466240597350613
zcat4,nsgaii,3,numpy,80,8000,0.4696076000109315,80,0.9686956491359405,0.013317757419033977
zcat4,nsgaii,4,numpy,80,8000,0.4241247000172734,80,0.9620398111625122,0.016612312280577416
zcat4,nsgaii,5,numpy,80,8000,0.4623783999995794,80,0.9643136684716754,0.015395987142096532
zcat4,nsgaii,6,numpy,80,8000,0.4447502999973949,80,0.9638705965514767,0.015599973738338723
zcat4,nsgaii,7,numpy,80,8000,0.43961420000414364,80,0.9651084962039063,0.014916391254333495
zcat4,nsgaii,8,numpy,80,8000,0.4457273999869358,80,0.9683158385268008,0.01353295874710507
zcat4,nsgaii,9,numpy,80,8000,0.43849880000925623,80,0.9646559411922462,0.0152139850602317
zcat4,gces,0,numpy,80,8000,1.0566380999807734,80,0.9673554767897562,0.014001700213076108
zcat4,gces,1,numpy,80,8000,0.9865924000041559,80,0.9684863317552411,0.014551658323391847
zcat4,gces,2,numpy,80,8000,0.9941160000162199,80,0.9694562576976787,0.012991077522656604
zcat4,gces,3,numpy,80,8000,0.9591371999995317,80,0.9686154905988961,0.013881547073450351
zcat4,gces,4,numpy,80,8000,0.9957827000180259,80,0.9680809655923969,0.013715422700955267
zcat4,gces,5,numpy,80,8000,1.0645942999981344,80,0.9719776983682399,0.012211596729758231
zcat4,gces,6,numpy,80,8000,0.9505598999967333,80,0.9651274575807159,0.015654308992749347
zcat4,gces,7,numpy,80,8000,0.951961900020251,80,0.9702222981518558,0.01300200406124968
