problem,n_common_seeds,nsgaii_hv_mean,nsgaii_hv_median,gces_hv_mean,gces_hv_median,delta_hv_gces_minus_nsgaii,delta_hv_median_gces_minus_nsgaii,gces_hv_seed_wins,gces_hv_seed_ties,gces_hv_seed_losses,hv_wilcoxon_p_value,hv_wilcoxon_significant_alpha,nsgaii_igd_plus_mean,nsgaii_igd_plus_median,gces_igd_plus_mean,gces_igd_plus_median,delta_igd_plus_gces_minus_nsgaii,delta_igd_plus_median_gces_minus_nsgaii,gces_igd_plus_seed_wins,gces_igd_plus_seed_ties,gces_igd_plus_seed_losses,igd_plus_wilcoxon_p_value,igd_plus_wilcoxon_significant_alpha,gces_both_metric_seed_wins
zcat1,21,0.9814242034340781,0.9813007374551315,0.9838699545182317,0.9838444585698567,0.002445751084153569,0.002543721114725228,21,0,0,,False,0.007959852898978244,0.008007543741614885,0.007071796794757259,0.007007609706764745,-0.0008880561042209851,-0.0009999340348501393,20,0,1,,False,20
zcat10,21,0.9457922395899251,0.9461398265739318,0.9546502741062167,0.9543977641410625,0.008858034516291635,0.008257937567130669,21,0,0,,False,0.0035455292300133638,0.0036393657889603713,0.003804775088941397,0.0035431749279349,0.00025924585892803326,-9.619086102547131e-05,14,0,7,,False,14
zcat11,21,0.9885366752279076,0.9885981636369692,0.9906689295489426,0.9906740717758313,0.002132254321035032,0.002075908138862159,21,0,0,,False,0.005437448814169839,0.005374971861760598,0.00429837050976545,0.004300339855621755,-0.0011390783044043897,-0.0010746320061388428,21,0,0,,False,21
zcat12,21,0.9860297102586264,0.9885826072449655,0.9905286013023092,0.9905924305123072,0.00449889104368284,0.0020098232673416705,21,0,0,,False,0.014676950677017752,0.005426515201638107,0.004451630351657113,0.004408374284840512,-0.010225320325360639,-0.0010181409167975951,21,0,0,,False,21
zcat13,21,1.0152654415196516,1.0152556428356898,1.013433890843579,1.0170001394386965,-0.0018315506760726574,0.0017444966030066844,19,0,2,,False,0.004109587957947161,0.004107823195045211,0.014191474239032253,0.003163864953149606,0.010081886281085091,-0.0009439582418956051,20,0,1,,False,19
zcat14,21,0.9749394868549996,0.9748528116765172,0.979570762824247,0.9795926458602124,0.004631275969247395,0.0047398341836952795,21,0,0,,False,0.0075490682989626,0.00753059680276844,0.0064316138219095926,0.006213838650895977,-0.0011174544770530077,-0.0013167581518724629,20,0,1,,False,20
zcat15,21,0.9860302364721608,0.9885834983801807,0.9905293155415917,0.9905930513747252,0.004499079069430922,0.002009552994544528,21,0,0,,False,0.014522599662275341,0.0054256526206814095,0.004436753986398157,0.004402466999250426,-0.010085845675877184,-0.0010231856214309833,21,0,0,,False,21
zcat16,21,0.9864258455111984,0.9865350355883362,0.9899762228218163,0.9900475644264505,0.0035503773106179137,0.0035125288381142594,21,0,0,,False,0.0050475429865200665,0.0049472381421012315,0.0038480334549166415,0.003795777002067248,-0.001199509531603425,-0.0011514611400339834,21,0,0,,False,21
zcat17,21,0.9941082996735857,0.9940973841162464,0.9951603865557036,0.9951901902914898,0.0010520868821178864,0.0010928061752434326,21,0,0,,False,0.004409139419805731,0.004389771111052184,0.004056610898411173,0.004046118000083124,-0.0003525285213945581,-0.00034365311096905965,16,0,5,,False,16
zcat18,21,0.9821221850595743,0.9889163121719887,0.9838028095348049,0.9911187702494375,0.001680624475230652,0.002202458077448788,19,0,2,,False,0.03559968459362028,0.004744141269697395,0.03546762531887562,0.004109058668283681,-0.00013205927474465445,-0.0006350826014137143,19,0,2,,False,19
