variant,problem,obj_group,engine,n_evals,seed,evals,runtime_seconds,hypervolume
baseline,re21,2-obj,numba,50000,0,5000,1.2721525999950245,0.988879312636474
baseline,re21,2-obj,numba,50000,0,10000,1.5204741999623366,0.9904092332892016
baseline,re21,2-obj,numba,50000,0,20000,2.148925799992867,0.9902692648922553
baseline,re21,2-obj,numba,50000,0,50000,4.0124914000043646,0.9909371110269798
baseline,re21,2-obj,numba,50000,1,5000,1.2307357000536285,0.989414528879204
baseline,re21,2-obj,numba,50000,1,10000,1.4629587000235915,0.9910248905436044
baseline,re21,2-obj,numba,50000,1,20000,1.9422212000354193,0.9904544898293537
baseline,re21,2-obj,numba,50000,1,50000,3.34557590004988,0.990480766584851
baseline,re21,2-obj,numba,50000,2,5000,1.2879367000423372,0.9898277402541342
baseline,re21,2-obj,numba,50000,2,10000,1.6035209000110626,0.9911277878811837
baseline,re21,2-obj,numba,50000,2,20000,2.4019257000181824,0.9910359887011155
baseline,re21,2-obj,numba,50000,2,50000,4.345632500015199,0.9900074301242096
baseline,re21,2-obj,numba,50000,3,5000,1.182415499992203,0.9892123449703192
baseline,re21,2-obj,numba,50000,3,10000,1.3973146000062115,0.990427672770189
baseline,re21,2-obj,numba,50000,3,20000,1.89872459997423,0.9900511784811388
baseline,re21,2-obj,numba,50000,3,50000,3.258639100007713,0.9885728483759685
baseline,re21,2-obj,numba,50000,4,5000,1.3472182000405155,0.9897116937245649
baseline,re21,2-obj,numba,50000,4,10000,1.6755744999973103,0.9901796125840215
baseline,re21,2-obj,numba,50000,4,20000,2.4079008999979123,0.9904176637088522
baseline,re21,2-obj,numba,50000,4,50000,4.3568320000194944,0.9887058484375676
baseline,re21,2-obj,numba,50000,5,5000,1.197978200041689,0.9901178961443046
baseline,re21,2-obj,numba,50000,5,10000,1.5131660000188276,0.9897247417385725
baseline,re21,2-obj,numba,50000,5,20000,2.2621360000339337,0.9900143992523577
baseline,re21,2-obj,numba,50000,5,50000,4.180480300041381,0.9896415077997993
baseline,re21,2-obj,numba,50000,6,5000,1.195754200045485,0.9888353034104567
baseline,re21,2-obj,numba,50000,6,10000,1.407161700015422,0.989033499002885
baseline,re21,2-obj,numba,50000,6,20000,1.9024452000157908,0.9892733700997586
baseline,re21,2-obj,numba,50000,6,50000,3.164629300008528,0.9898833651810297
baseline,re21,2-obj,numba,50000,7,5000,1.326132299960591,0.9895076085603567
baseline,re21,2-obj,numba,50000,7,10000,1.5645524999708869,0.9897205179200974
baseline,re21,2-obj,numba,50000,7,20000,2.014399699983187,0.9896907624534693
baseline,re21,2-obj,numba,50000,7,50000,3.3040561999659985,0.9899525218178268
baseline,re21,2-obj,numba,50000,8,5000,1.3229166000382975,0.9891318464221831
baseline,re21,2-obj,numba,50000,8,10000,1.6733841000241227,0.9899332106643695
baseline,re21,2-obj,numba,50000,8,20000,2.345385399996303,0.9900981344268751
baseline,re21,2-obj,numba,50000,8,50000,4.239097100042272,0.9903212144315268
