variant,problem,obj_group,engine,n_evals,seed,evals,runtime_seconds,hypervolume
baseline,cec2009_uf1,UF,numba,100000,0,5000,0.9644914000236896,0.5487039459341951
baseline,cec2009_uf1,UF,numba,100000,0,10000,1.1460855000186712,0.6081855502862785
baseline,cec2009_uf1,UF,numba,100000,0,20000,1.5406777000171132,0.615484303955878
baseline,cec2009_uf1,UF,numba,100000,0,50000,2.7848530000192118,0.8122426050020234
baseline,cec2009_uf1,UF,numba,100000,0,100000,6.970132400019793,0.8206257427940066
baseline,cec2009_uf1,UF,numba,100000,1,5000,0.9977824999950826,0.6009877269945023
baseline,cec2009_uf1,UF,numba,100000,1,10000,1.2924746999924537,0.8136908900269212
baseline,cec2009_uf1,UF,numba,100000,1,20000,1.7054580000112765,0.8376492293541756
baseline,cec2009_uf1,UF,numba,100000,1,50000,3.0049206000112463,0.8435390251401192
baseline,cec2009_uf1,UF,numba,100000,1,100000,7.516957000014372,0.8476725062203939
baseline,cec2009_uf1,UF,numba,100000,2,5000,0.9382390999817288,0.6441538808238897
baseline,cec2009_uf1,UF,numba,100000,2,10000,1.1914740999927744,0.7273993892837135
baseline,cec2009_uf1,UF,numba,100000,2,20000,1.5673915999941528,0.7747187374328197
baseline,cec2009_uf1,UF,numba,100000,2,50000,2.824443199991947,0.8058630340558328
baseline,cec2009_uf1,UF,numba,100000,2,100000,5.628635200002464,0.830716682354547
baseline,cec2009_uf1,UF,numba,100000,3,5000,0.980876099987654,0.624521991501793
baseline,cec2009_uf1,UF,numba,100000,3,10000,1.1773341999796685,0.7254845339449341
baseline,cec2009_uf1,UF,numba,100000,3,20000,1.7335610000009185,0.7584990174828394
baseline,cec2009_uf1,UF,numba,100000,3,50000,3.494486399984453,0.7674170345973006
baseline,cec2009_uf1,UF,numba,100000,3,100000,8.210245399997802,0.7852743610244256
baseline,cec2009_uf1,UF,numba,100000,4,5000,0.9697422000172082,0.7096094455444939
baseline,cec2009_uf1,UF,numba,100000,4,10000,1.1489895000122488,0.7627974331314779
baseline,cec2009_uf1,UF,numba,100000,4,20000,1.5648632000084035,0.7768125540657086
baseline,cec2009_uf1,UF,numba,100000,4,50000,2.7692165999906138,0.7964373492932302
baseline,cec2009_uf1,UF,numba,100000,4,100000,5.596099899994442,0.8098741442408907
baseline,cec2009_uf1,UF,numba,100000,5,5000,1.15312050000648,0.7029165269831935
baseline,cec2009_uf1,UF,numba,100000,5,10000,1.3441401000018232,0.7916281464183154
baseline,cec2009_uf1,UF,numba,100000,5,20000,1.7150957999983802,0.7986589507090683
baseline,cec2009_uf1,UF,numba,100000,5,50000,2.928578099992592,0.8140895227489094
baseline,cec2009_uf1,UF,numba,100000,5,100000,7.502038600010563,0.842452276844967
baseline,cec2009_uf1,UF,numba,100000,6,5000,1.1013177999993786,0.734109853204537
baseline,cec2009_uf1,UF,numba,100000,6,10000,1.265818699990632,0.7953286581680875
baseline,cec2009_uf1,UF,numba,100000,6,20000,1.644083999999566,0.799545975344855
baseline,cec2009_uf1,UF,numba,100000,6,50000,2.874149299983401,0.8059233585776618
baseline,cec2009_uf1,UF,numba,100000,6,100000,7.117117399990093,0.8115637800651191
baseline,cec2009_uf1,UF,numba,100000,7,5000,1.0725543000153266,0.7170426776452812
baseline,cec2009_uf1,UF,numba,100000,7,10000,1.24095030000899,0.7454237667031959
baseline,cec2009_uf1,UF,numba,100000,7,20000,1.6799536000180524,0.7491522739998868
baseline,cec2009_uf1,UF,numba,100000,7,50000,3.0049546000082046,0.7533729327120917
baseline,cec2009_uf1,UF,numba,100000,7,100000,7.3455367000133265,0.7589979356356572
baseline,cec2009_uf1,UF,numba,100000,8,5000,0.8922852000105195,0.7023112425181964
baseline,cec2009_uf1,UF,numba,100000,8,10000,1.1150838000176009,0.7148933940716796
baseline,cec2009_uf1,UF,numba,100000,8,20000,1.5230645000119694,0.7177295934626954
baseline,cec2009_uf1,UF,numba,100000,8,50000,2.7638237999926787,0.7237258906742765
baseline,cec2009_uf1,UF,numba,100000,8,100000,5.592926900018938,0.7272234318086759
baseline,cec2009_uf1,UF,numba,100000,9,5000,0.9316503000154626,0.6473374545690838
baseline,cec2009_uf1,UF,numba,100000,9,10000,1.1098021999932826,0.7069836814074996
baseline,cec2009_uf1,UF,numba,100000,9,20000,1.4865563999919686,0.7161944161326871
baseline,cec2009_uf1,UF,numba,100000,9,50000,2.7785723000124563,0.7680456868203187
baseline,cec2009_uf1,UF,numba,100000,9,100000,7.251946100004716,0.8077022786964458
baseline,cec2009_uf1,UF,numba,100000,10,5000,0.8555781000177376,0.7255780611626447
baseline,cec2009_uf1,UF,numba,100000,10,10000,1.129792100022314,0.7868929567841281
baseline,cec2009_uf1,UF,numba,100000,10,20000,1.7451060000166765,0.7927234808699416
baseline,cec2009_uf1,UF,numba,100000,10,50000,3.866170000022976,0.8008901603535779
baseline,cec2009_uf1,UF,numba,100000,10,100000,6.622927200020058,0.8084126868315705
baseline,cec2009_uf1,UF,numba,100000,11,5000,1.1414086000004318,0.7363802819929111
baseline,cec2009_uf1,UF,numba,100000,11,10000,1.32593469999847,0.7630519691141437
baseline,cec2009_uf1,UF,numba,100000,11,20000,1.761720000009518,0.7667759075050741
baseline,cec2009_uf1,UF,numba,100000,11,50000,3.080496200011112,0.7707557961967211
baseline,cec2009_uf1,UF,numba,100000,11,100000,7.298325300012948,0.7752594148608201
baseline,cec2009_uf1,UF,numba,100000,12,5000,0.8855743000167422,0.5362615116700348
baseline,cec2009_uf1,UF,numba,100000,12,10000,1.1168820000020787,0.6179459680449431
baseline,cec2009_uf1,UF,numba,100000,12,20000,1.4901167000061832,0.6252924730587047
baseline,cec2009_uf1,UF,numba,100000,12,50000,2.798406300018541,0.6295847877615892
baseline,cec2009_uf1,UF,numba,100000,12,100000,5.7914896000002045,0.6463168972478032
baseline,cec2009_uf1,UF,numba,100000,13,5000,0.9250720999843908,0.3614761283138756
baseline,cec2009_uf1,UF,numba,100000,13,10000,1.1004878999956418,0.5432733575527312
baseline,cec2009_uf1,UF,numba,100000,13,20000,1.4409813999955077,0.6208005854864583
baseline,cec2009_uf1,UF,numba,100000,13,50000,2.698415799997747,0.7147564357869742
baseline,cec2009_uf1,UF,numba,100000,13,100000,6.973939499992412,0.8390253149449356
baseline,cec2009_uf1,UF,numba,100000,14,5000,1.0133529000158887,0.535900388960347
baseline,cec2009_uf1,UF,numba,100000,14,10000,1.2890125999983866,0.5956414026184419
baseline,cec2009_uf1,UF,numba,100000,14,20000,1.9185945000208449,0.7982068611455235
baseline,cec2009_uf1,UF,numba,100000,14,50000,4.057061100000283,0.8045816396635898
baseline,cec2009_uf1,UF,numba,100000,14,100000,6.772892300010426,0.8115125222359986
baseline,cec2009_uf1,UF,numba,100000,15,5000,0.871023099985905,0.707988469682649
baseline,cec2009_uf1,UF,numba,100000,15,10000,1.084290400001919,0.7618337805029688
baseline,cec2009_uf1,UF,numba,100000,15,20000,1.7057558000087738,0.7641969977281577
baseline,cec2009_uf1,UF,numba,100000,15,50000,3.890122099983273,0.7676889270963793
baseline,cec2009_uf1,UF,numba,100000,15,100000,8.387077299994417,0.7727444435840944
baseline,cec2009_uf1,UF,numba,100000,16,5000,0.8550394999911077,0.7021275963632045
baseline,cec2009_uf1,UF,numba,100000,16,10000,1.1541058000002522,0.7567834791403376
baseline,cec2009_uf1,UF,numba,100000,16,20000,1.8481905999942685,0.7658591193775176
baseline,cec2009_uf1,UF,numba,100000,16,50000,3.8950875000155065,0.7809070687312157
baseline,cec2009_uf1,UF,numba,100000,16,100000,6.58241740000085,0.7906499370734921
baseline,cec2009_uf1,UF,numba,100000,17,5000,0.8614807999983896,0.5711584787393399
baseline,cec2009_uf1,UF,numba,100000,17,10000,1.1135126000153832,0.6296920868611735
baseline,cec2009_uf1,UF,numba,100000,17,20000,1.7935016000119504,0.6336035456277211
baseline,cec2009_uf1,UF,numba,100000,17,50000,3.964793599996483,0.6363375250335013
baseline,cec2009_uf1,UF,numba,100000,17,100000,6.794235500012292,0.6396565407902243
baseline,cec2009_uf1,UF,numba,100000,18,5000,0.8802281999960542,0.6957155445487114
baseline,cec2009_uf1,UF,numba,100000,18,10000,1.1509323999925982,0.784113383793838
baseline,cec2009_uf1,UF,numba,100000,18,20000,1.818514899990987,0.7953426970006771
baseline,cec2009_uf1,UF,numba,100000,18,50000,3.918881399993552,0.8024029214881762
baseline,cec2009_uf1,UF,numba,100000,18,100000,6.668682399991667,0.8124868358261941
baseline,cec2009_uf1,UF,numba,100000,19,5000,0.9454929000057746,0.5262479036842053
baseline,cec2009_uf1,UF,numba,100000,19,10000,1.1991580000030808,0.5673101287990636
baseline,cec2009_uf1,UF,numba,100000,19,20000,1.809449499996845,0.6059754487374858
baseline,cec2009_uf1,UF,numba,100000,19,50000,4.061012099991785,0.6183198321478636
baseline,cec2009_uf1,UF,numba,100000,19,100000,8.364360500010662,0.6542787218751989
baseline,cec2009_uf1,UF,numba,100000,20,5000,0.8290532999963034,0.7668968251453098
baseline,cec2009_uf1,UF,numba,100000,20,10000,1.130207899986999,0.7971020467381951
baseline,cec2009_uf1,UF,numba,100000,20,20000,1.8547187999938612,0.8040111277476254
baseline,cec2009_uf1,UF,numba,100000,20,50000,3.87795080000069,0.8116918810465322
baseline,cec2009_uf1,UF,numba,100000,20,100000,6.657154199987417,0.8172792585640005
baseline,cec2009_uf1,UF,numba,100000,21,5000,0.2242275000025984,0.7131436142358226
baseline,cec2009_uf1,UF,numba,100000,21,10000,0.4360723000136204,0.738536340726887
baseline,cec2009_uf1,UF,numba,100000,21,20000,0.9002321000152733,0.7410174197611809
baseline,cec2009_uf1,UF,numba,100000,21,50000,2.5846817000128794,0.7441033918102563
baseline,cec2009_uf1,UF,numba,100000,21,100000,5.304313300002832,0.7500930188297125
baseline,cec2009_uf1,UF,numba,100000,22,5000,0.2355822999961674,0.7581060867693147
baseline,cec2009_uf1,UF,numba,100000,22,10000,0.4871353000053204,0.7995296556033675
baseline,cec2009_uf1,UF,numba,100000,22,20000,1.0201345999957994,0.8053389433394263
baseline,cec2009_uf1,UF,numba,100000,22,50000,2.6259512999968138,0.8118118809031258
baseline,cec2009_uf1,UF,numba,100000,22,100000,5.113301299978048,0.8165560337995423
baseline,cec2009_uf1,UF,numba,100000,23,5000,0.2084623000118881,0.7713550279509174
baseline,cec2009_uf1,UF,numba,100000,23,10000,0.4246894000098109,0.8108321821379167
baseline,cec2009_uf1,UF,numba,100000,23,20000,0.9430554000136908,0.8201505782663618
baseline,cec2009_uf1,UF,numba,100000,23,50000,2.597294100007275,0.8255484805901192
baseline,cec2009_uf1,UF,numba,100000,23,100000,5.413820600020699,0.8303847509703788
baseline,cec2009_uf1,UF,numba,100000,24,5000,0.2094356000015977,0.5597373208076528
baseline,cec2009_uf1,UF,numba,100000,24,10000,0.3937078000162728,0.5980302029732238
baseline,cec2009_uf1,UF,numba,100000,24,20000,0.9459281000017654,0.6027238011899108
baseline,cec2009_uf1,UF,numba,100000,24,50000,2.63576910001575,0.6105855255146379
baseline,cec2009_uf1,UF,numba,100000,24,100000,5.68993190000765,0.6192837235991071
baseline,cec2009_uf1,UF,numba,100000,25,5000,0.2201709999935701,0.7665619406139685
baseline,cec2009_uf1,UF,numba,100000,25,10000,0.4313799999945331,0.8017104983408432
baseline,cec2009_uf1,UF,numba,100000,25,20000,1.006820799986599,0.8061416763245812
baseline,cec2009_uf1,UF,numba,100000,25,50000,2.5656877999717835,0.8113502080521067
baseline,cec2009_uf1,UF,numba,100000,25,100000,5.534361499972874,0.8182830983187922
baseline,cec2009_uf1,UF,numba,100000,26,5000,0.2577576999901794,0.6812679481783867
baseline,cec2009_uf1,UF,numba,100000,26,10000,0.4893977000028826,0.7789269941138052
baseline,cec2009_uf1,UF,numba,100000,26,20000,1.0288517999870237,0.7843918270135516
baseline,cec2009_uf1,UF,numba,100000,26,50000,2.595113299990772,0.7903823622513749
baseline,cec2009_uf1,UF,numba,100000,26,100000,5.79278190000332,0.7951383453358725
baseline,cec2009_uf1,UF,numba,100000,27,5000,0.3630790000024717,0.6613508307127245
baseline,cec2009_uf1,UF,numba,100000,27,10000,0.7127223999996204,0.7251774555729914
baseline,cec2009_uf1,UF,numba,100000,27,20000,1.57763509999495,0.7322604254741154
baseline,cec2009_uf1,UF,numba,100000,27,50000,4.482779099984327,0.7364491126435414
baseline,cec2009_uf1,UF,numba,100000,27,100000,8.997264400008135,0.7828025773940752
baseline,cec2009_uf1,UF,numba,100000,28,5000,0.2211848000006284,0.568850770238642
baseline,cec2009_uf1,UF,numba,100000,28,10000,0.4893469999951776,0.7336177937099961
baseline,cec2009_uf1,UF,numba,100000,28,20000,0.9875555000035092,0.7521022543989933
baseline,cec2009_uf1,UF,numba,100000,28,50000,2.542866999981925,0.7659229259342244
baseline,cec2009_uf1,UF,numba,100000,28,100000,5.337276899983408,0.7967247222233222
baseline,cec2009_uf1,UF,numba,100000,29,5000,0.3183365000004414,0.7503222673120216
baseline,cec2009_uf1,UF,numba,100000,29,10000,0.7414388000033796,0.7870509571650278
baseline,cec2009_uf1,UF,numba,100000,29,20000,1.7178383999853395,0.7921513769012251
baseline,cec2009_uf1,UF,numba,100000,29,50000,4.325238299992634,0.7997080930130723
baseline,cec2009_uf1,UF,numba,100000,29,100000,7.971715899999253,0.8067059372185622
baseline,cec2009_uf2,UF,numba,100000,0,5000,0.2475990999955684,0.8070060732855898
baseline,cec2009_uf2,UF,numba,100000,0,10000,0.5322735999943689,0.8734064938678567
baseline,cec2009_uf2,UF,numba,100000,0,20000,1.0885200999910012,0.903413113145552
baseline,cec2009_uf2,UF,numba,100000,0,50000,2.558222699997714,0.9247343714186632
baseline,cec2009_uf2,UF,numba,100000,0,100000,5.679642100003548,0.9354423007756962
baseline,cec2009_uf2,UF,numba,100000,1,5000,0.2753269999811891,0.8354203741966041
baseline,cec2009_uf2,UF,numba,100000,1,10000,0.5465069999918342,0.8709109864176127
baseline,cec2009_uf2,UF,numba,100000,1,20000,1.0735207999823615,0.9056089518271838
baseline,cec2009_uf2,UF,numba,100000,1,50000,2.7100141999835614,0.9217383567146806
baseline,cec2009_uf2,UF,numba,100000,1,100000,5.779099899984431,0.9304520096660832
baseline,cec2009_uf2,UF,numba,100000,2,5000,0.2601470999943558,0.8445417008093764
baseline,cec2009_uf2,UF,numba,100000,2,10000,0.5336476999800652,0.881280552550072
baseline,cec2009_uf2,UF,numba,100000,2,20000,1.0172703999851365,0.9011459200566746
baseline,cec2009_uf2,UF,numba,100000,2,50000,2.621397699986119,0.9254213268645732
baseline,cec2009_uf2,UF,numba,100000,2,100000,5.540379199985182,0.939778053558967
baseline,cec2009_uf2,UF,numba,100000,3,5000,0.3810603000165429,0.8342826967592959
