variant,problem,obj_group,engine,n_evals,seed,evals,runtime_seconds,hypervolume
baseline,c1dtlz1,C-DTLZ,numba,100000,0,5000,1.466425500024343,0.0
baseline,c1dtlz1,C-DTLZ,numba,100000,0,10000,1.8394164000055753,0.0
baseline,c1dtlz1,C-DTLZ,numba,100000,0,20000,2.33572400000412,0.0
baseline,c1dtlz1,C-DTLZ,numba,100000,0,50000,4.986289300024509,0.9773896899743756
baseline,c1dtlz1,C-DTLZ,numba,100000,0,100000,9.604598400008399,0.9856333949738397
baseline,c1dtlz1,C-DTLZ,numba,100000,1,5000,1.4994931000110228,0.0
baseline,c1dtlz1,C-DTLZ,numba,100000,1,10000,1.7889996000158135,0.0
baseline,c1dtlz1,C-DTLZ,numba,100000,1,20000,2.2156160000013188,0.0
baseline,c1dtlz1,C-DTLZ,numba,100000,1,50000,4.1769810000259895,0.9690397372379596
baseline,c1dtlz1,C-DTLZ,numba,100000,1,100000,7.605938900000183,0.981706895764673
baseline,c1dtlz1,C-DTLZ,numba,100000,2,5000,1.4193450000020675,0.0
baseline,c1dtlz1,C-DTLZ,numba,100000,2,10000,1.7526040000084322,0.0
baseline,c1dtlz1,C-DTLZ,numba,100000,2,20000,2.7995987000176683,0.0
baseline,c1dtlz1,C-DTLZ,numba,100000,2,50000,5.542013500002213,0.9804858632589802
baseline,c1dtlz1,C-DTLZ,numba,100000,2,100000,10.079150600009598,0.9864015480441347
baseline,c1dtlz1,C-DTLZ,numba,100000,3,5000,1.2963846999919042,0.0
baseline,c1dtlz1,C-DTLZ,numba,100000,3,10000,1.4991502999910153,0.0
baseline,c1dtlz1,C-DTLZ,numba,100000,3,20000,1.935614699992584,0.0
baseline,c1dtlz1,C-DTLZ,numba,100000,3,50000,4.272677500004647,0.9641800613319101
baseline,c1dtlz1,C-DTLZ,numba,100000,3,100000,8.869869199988898,0.985503049139104
baseline,c1dtlz1,C-DTLZ,numba,100000,4,5000,1.352919099997962,0.0
baseline,c1dtlz1,C-DTLZ,numba,100000,4,10000,1.5543962999945506,0.0
baseline,c1dtlz1,C-DTLZ,numba,100000,4,20000,1.9797436999797355,0.6455576668557581
baseline,c1dtlz1,C-DTLZ,numba,100000,4,50000,3.7523285999777727,0.9712358275255232
baseline,c1dtlz1,C-DTLZ,numba,100000,4,100000,7.057955500000389,0.9870643455164553
baseline,c1dtlz1,C-DTLZ,numba,100000,5,5000,1.3401143999944907,0.0
baseline,c1dtlz1,C-DTLZ,numba,100000,5,10000,1.663374700001441,0.0
baseline,c1dtlz1,C-DTLZ,numba,100000,5,20000,2.5897530000074767,0.0
baseline,c1dtlz1,C-DTLZ,numba,100000,5,50000,4.435907300008694,0.977424260192546
baseline,c1dtlz1,C-DTLZ,numba,100000,5,100000,7.784145199984778,0.9877897944236496
baseline,c1dtlz1,C-DTLZ,numba,100000,6,5000,1.3695771000056993,0.0
baseline,c1dtlz1,C-DTLZ,numba,100000,6,10000,1.6836524000100326,0.0
baseline,c1dtlz1,C-DTLZ,numba,100000,6,20000,2.7310115000000224,0.0
baseline,c1dtlz1,C-DTLZ,numba,100000,6,50000,5.261885200015968,0.9810188841203465
baseline,c1dtlz1,C-DTLZ,numba,100000,6,100000,9.786769500002265,0.9867369304136407
baseline,c1dtlz1,C-DTLZ,numba,100000,7,5000,1.4980978000094183,0.0
baseline,c1dtlz1,C-DTLZ,numba,100000,7,10000,1.845381000021007,0.0
baseline,c1dtlz1,C-DTLZ,numba,100000,7,20000,2.366702200000873,0.0
baseline,c1dtlz1,C-DTLZ,numba,100000,7,50000,5.025689900008729,0.9326646856364975
baseline,c1dtlz1,C-DTLZ,numba,100000,7,100000,9.502597500017146,0.9869714907725512
baseline,c1dtlz1,C-DTLZ,numba,100000,8,5000,1.5509739000117406,0.0
baseline,c1dtlz1,C-DTLZ,numba,100000,8,10000,1.8729131000000052,0.0
baseline,c1dtlz1,C-DTLZ,numba,100000,8,20000,2.476538100017933,0.0
baseline,c1dtlz1,C-DTLZ,numba,100000,8,50000,4.223971500003245,0.9775823247339226
baseline,c1dtlz1,C-DTLZ,numba,100000,8,100000,7.524006600026041,0.9861280767331406
baseline,c1dtlz1,C-DTLZ,numba,100000,9,5000,1.3912400999979582,0.0
baseline,c1dtlz1,C-DTLZ,numba,100000,9,10000,1.6584029999794438,0.0
