variant,problem,obj_group,engine,n_evals,seed,evals,runtime_seconds,hypervolume
baseline,re21,2-obj,numba,50000,0,5000,1.591001100023277,0.988879312636474
baseline,re21,2-obj,numba,50000,0,10000,2.278569400019478,0.9904092332892016
baseline,re21,2-obj,numba,50000,0,20000,2.7682322000036947,0.9902692648922553
baseline,re21,2-obj,numba,50000,0,50000,4.943709500017576,0.9909371110269798
baseline,re21,2-obj,numba,50000,1,5000,2.4424557999591343,0.989414528879204
baseline,re21,2-obj,numba,50000,1,10000,2.730695599981118,0.9910248905436044
baseline,re21,2-obj,numba,50000,1,20000,3.398347099951934,0.9904544898293537
baseline,re21,2-obj,numba,50000,1,50000,6.4853867999627255,0.990480766584851
baseline,re21,2-obj,numba,50000,2,5000,2.544847299985122,0.9898277402541342
baseline,re21,2-obj,numba,50000,2,10000,2.842143499990925,0.9911277878811837
baseline,re21,2-obj,numba,50000,2,20000,3.5102626999723725,0.9910359887011155
baseline,re21,2-obj,numba,50000,2,50000,6.720845300005749,0.9900074301242096
baseline,re21,2-obj,numba,50000,3,5000,2.075846299994737,0.9892123449703192
baseline,re21,2-obj,numba,50000,3,10000,2.28981930000009,0.990427672770189
baseline,re21,2-obj,numba,50000,3,20000,2.7705119000165723,0.9900511784811388
baseline,re21,2-obj,numba,50000,3,50000,4.930067399982363,0.9885728483759685
baseline,re21,2-obj,numba,50000,4,5000,1.6050058999680914,0.9897116937245649
baseline,re21,2-obj,numba,50000,4,10000,1.8237382000079378,0.9901796125840215
baseline,re21,2-obj,numba,50000,4,20000,2.2140091999899596,0.9904176637088522
baseline,re21,2-obj,numba,50000,4,50000,4.20795700000599,0.9887058484375676
baseline,re21,2-obj,numba,50000,5,5000,2.612116199976299,0.9901178961443046
baseline,re21,2-obj,numba,50000,5,10000,2.937980199989397,0.9897247417385725
baseline,re21,2-obj,numba,50000,5,20000,3.6322932000039145,0.9900143992523577
baseline,re21,2-obj,numba,50000,5,50000,6.949399699980859,0.9896415077997993
baseline,re21,2-obj,numba,50000,6,5000,2.31257289997302,0.9888353034104567
baseline,re21,2-obj,numba,50000,6,10000,2.6036030999966897,0.989033499002885
