variant,problem,obj_group,engine,n_evals,seed,evals,runtime_seconds,hypervolume
baseline,lsmop1,LSMOP,numba,100000,0,5000,0.4086791609879583,0.0
baseline,lsmop1,LSMOP,numba,100000,0,10000,0.5078752060071565,0.0
baseline,lsmop1,LSMOP,numba,100000,0,20000,0.7178946789936163,0.0
baseline,lsmop1,LSMOP,numba,100000,0,50000,1.4011205380083993,0.012075309128884455
baseline,lsmop1,LSMOP,numba,100000,0,100000,2.5883150710142218,0.043916848024731184
baseline,lsmop1,LSMOP,numba,100000,1,5000,0.5271572800120339,0.0
baseline,lsmop1,LSMOP,numba,100000,1,10000,0.6678860840038396,0.0
baseline,lsmop1,LSMOP,numba,100000,1,20000,0.9277949319803156,0.0
baseline,lsmop1,LSMOP,numba,100000,1,50000,1.6014514529961161,0.028067141929481742
baseline,lsmop1,LSMOP,numba,100000,1,100000,2.821776726981625,0.03254373129475789
baseline,lsmop1,LSMOP,numba,100000,2,5000,0.4075405190233141,0.0
baseline,lsmop1,LSMOP,numba,100000,2,10000,0.504118113021832,0.0
baseline,lsmop1,LSMOP,numba,100000,2,20000,0.7049792150501162,0.0
baseline,lsmop1,LSMOP,numba,100000,2,50000,1.3481451240368187,0.02416834735038454
baseline,lsmop1,LSMOP,numba,100000,2,100000,2.56099719600752,0.054192800747922584
baseline,lsmop1,LSMOP,numba,100000,3,5000,0.4363409640500322,0.0
baseline,lsmop1,LSMOP,numba,100000,3,10000,0.54042955202749,0.0
baseline,lsmop1,LSMOP,numba,100000,3,20000,0.7586852630483918,0.0
baseline,lsmop1,LSMOP,numba,100000,3,50000,1.4089015000499785,0.029298142483832498
baseline,lsmop1,LSMOP,numba,100000,3,100000,2.5793143590562977,0.10527494072891198
baseline,lsmop1,LSMOP,numba,100000,4,5000,0.42343015101505443,0.0
baseline,lsmop1,LSMOP,numba,100000,4,10000,0.5231289209914394,0.0
baseline,lsmop1,LSMOP,numba,100000,4,20000,0.7235317570157349,0.0
baseline,lsmop1,LSMOP,numba,100000,4,50000,1.3489567000069655,0.020249338179754446
baseline,lsmop1,LSMOP,numba,100000,4,100000,2.552518769982271,0.029927630053859622
baseline,lsmop1,LSMOP,numba,100000,5,5000,0.4298071530065499,0.0
baseline,lsmop1,LSMOP,numba,100000,5,10000,0.5290540069690906,0.0
baseline,lsmop1,LSMOP,numba,100000,5,20000,0.7312883890117519,0.0
baseline,lsmop1,LSMOP,numba,100000,5,50000,1.3530627790023573,0.028746142044733518
baseline,lsmop1,LSMOP,numba,100000,5,100000,2.571387298987247,0.035305682175542016
baseline,lsmop1,LSMOP,numba,100000,6,5000,0.4270451630000025,0.0
baseline,lsmop1,LSMOP,numba,100000,6,10000,0.5731839159852825,0.0
baseline,lsmop1,LSMOP,numba,100000,6,20000,0.8769701439887285,0.0
baseline,lsmop1,LSMOP,numba,100000,6,50000,1.5102752169477753,0.03786821967089207
baseline,lsmop1,LSMOP,numba,100000,6,100000,2.71703872497892,0.04683167366232656
baseline,lsmop1,LSMOP,numba,100000,7,5000,0.43048991804243997,0.0
baseline,lsmop1,LSMOP,numba,100000,7,10000,0.5959501250181347,0.0
baseline,lsmop1,LSMOP,numba,100000,7,20000,0.8022869840497151,0.0
baseline,lsmop1,LSMOP,numba,100000,7,50000,1.4281033950392157,0.04045806756138252
baseline,lsmop1,LSMOP,numba,100000,7,100000,2.643756764999125,0.047583243462392164
baseline,lsmop1,LSMOP,numba,100000,8,5000,0.39775184297468513,0.0
baseline,lsmop1,LSMOP,numba,100000,8,10000,0.5617607509484515,0.0
baseline,lsmop1,LSMOP,numba,100000,8,20000,0.7720493819797412,0.0
baseline,lsmop1,LSMOP,numba,100000,8,50000,1.4374359139474109,0.03403354189595053
baseline,lsmop1,LSMOP,numba,100000,8,100000,2.642567773000337,0.07386523932991684
baseline,lsmop1,LSMOP,numba,100000,9,5000,0.42848020303063095,0.0
baseline,lsmop1,LSMOP,numba,100000,9,10000,0.5448001089971513,0.0
baseline,lsmop1,LSMOP,numba,100000,9,20000,0.8353441869840026,0.0
baseline,lsmop1,LSMOP,numba,100000,9,50000,1.4705043570138514,0.0
baseline,lsmop1,LSMOP,numba,100000,9,100000,2.6438614649814554,0.044057130994685015
baseline,lsmop1,LSMOP,numba,100000,10,5000,0.4322760130162351,0.0
baseline,lsmop1,LSMOP,numba,100000,10,10000,0.5287967380136251,0.0
baseline,lsmop1,LSMOP,numba,100000,10,20000,0.7294803110416979,0.0
baseline,lsmop1,LSMOP,numba,100000,10,50000,1.3758778560440987,0.02847705070818072
baseline,lsmop1,LSMOP,numba,100000,10,100000,2.58468841802096,0.03234510690458267
baseline,lsmop1,LSMOP,numba,100000,11,5000,0.6445443680277094,0.0
baseline,lsmop1,LSMOP,numba,100000,11,10000,0.7811498219962232,0.0
baseline,lsmop1,LSMOP,numba,100000,11,20000,0.9999003499979153,0.0
baseline,lsmop1,LSMOP,numba,100000,11,50000,1.6245902579976246,0.016764885983721618
baseline,lsmop1,LSMOP,numba,100000,11,100000,2.8097262480296195,0.030624273474594208
baseline,lsmop1,LSMOP,numba,100000,12,5000,0.43357575399568304,0.0
baseline,lsmop1,LSMOP,numba,100000,12,10000,0.5307673729839735,0.0
baseline,lsmop1,LSMOP,numba,100000,12,20000,0.7390823989990167,0.0
baseline,lsmop1,LSMOP,numba,100000,12,50000,1.3812488869880326,0.0
baseline,lsmop1,LSMOP,numba,100000,12,100000,2.569341052963864,0.062236836620193865
baseline,lsmop1,LSMOP,numba,100000,13,5000,0.5388635129784234,0.0
baseline,lsmop1,LSMOP,numba,100000,13,10000,0.6703434850205667,0.0
baseline,lsmop1,LSMOP,numba,100000,13,20000,0.9139887960045598,0.0
baseline,lsmop1,LSMOP,numba,100000,13,50000,1.5570408459752798,0.02954214923179968
baseline,lsmop1,LSMOP,numba,100000,13,100000,2.7874100959743373,0.034338581432275375
baseline,lsmop1,LSMOP,numba,100000,14,5000,0.41917897103121504,0.0
baseline,lsmop1,LSMOP,numba,100000,14,10000,0.5225023160455748,0.0
baseline,lsmop1,LSMOP,numba,100000,14,20000,0.7553753270185553,0.0
baseline,lsmop1,LSMOP,numba,100000,14,50000,1.4301269699935801,0.022663220593439802
baseline,lsmop1,LSMOP,numba,100000,14,100000,2.6114000490051694,0.04054171984987354
baseline,lsmop1,LSMOP,numba,100000,15,5000,0.45017447898862883,0.0
baseline,lsmop1,LSMOP,numba,100000,15,10000,0.6013144030002877,0.0
baseline,lsmop1,LSMOP,numba,100000,15,20000,0.8161827510339208,0.0
baseline,lsmop1,LSMOP,numba,100000,15,50000,1.451981585007161,0.0
baseline,lsmop1,LSMOP,numba,100000,15,100000,2.6185381240211427,0.06354237152352075
baseline,lsmop1,LSMOP,numba,100000,16,5000,0.41693882003892213,0.0
baseline,lsmop1,LSMOP,numba,100000,16,10000,0.5677980660111643,0.0
baseline,lsmop1,LSMOP,numba,100000,16,20000,0.7688208760228008,0.0
baseline,lsmop1,LSMOP,numba,100000,16,50000,1.4153900709934533,0.05324383487433889
baseline,lsmop1,LSMOP,numba,100000,16,100000,2.6401229629991576,0.1004981506105451
baseline,lsmop1,LSMOP,numba,100000,17,5000,0.6845464389771223,0.0
baseline,lsmop1,LSMOP,numba,100000,17,10000,0.8315736840013415,0.0
baseline,lsmop1,LSMOP,numba,100000,17,20000,1.0376827669679187,0.0
baseline,lsmop1,LSMOP,numba,100000,17,50000,1.6732807229855098,0.00872377374957068
baseline,lsmop1,LSMOP,numba,100000,17,100000,2.8578889169730246,0.05565748930323533
baseline,lsmop1,LSMOP,numba,100000,18,5000,0.6535146620008163,0.0
baseline,lsmop1,LSMOP,numba,100000,18,10000,0.8141869959654287,0.0
baseline,lsmop1,LSMOP,numba,100000,18,20000,1.059371643990744,0.0
baseline,lsmop1,LSMOP,numba,100000,18,50000,1.7012414839700796,0.02595581770804746
baseline,lsmop1,LSMOP,numba,100000,18,100000,2.902207823994104,0.032764472896230454
baseline,lsmop1,LSMOP,numba,100000,19,5000,0.682267096999567,0.0
baseline,lsmop1,LSMOP,numba,100000,19,10000,0.8255783200147562,0.0
baseline,lsmop1,LSMOP,numba,100000,19,20000,1.0317639720160514,0.0
baseline,lsmop1,LSMOP,numba,100000,19,50000,1.6745494640199468,0.021263542286737703
baseline,lsmop1,LSMOP,numba,100000,19,100000,2.8629323090426624,0.05053668216843995
baseline,lsmop1,LSMOP,numba,100000,20,5000,0.39935139002045617,0.0
baseline,lsmop1,LSMOP,numba,100000,20,10000,0.5011175359832123,0.0
baseline,lsmop1,LSMOP,numba,100000,20,20000,0.7139941770001315,0.0
baseline,lsmop1,LSMOP,numba,100000,20,50000,1.3447125100065023,0.03359944757756243
baseline,lsmop1,LSMOP,numba,100000,20,100000,2.5324119200231507,0.05039389214932595
baseline,lsmop1,LSMOP,numba,100000,21,5000,0.6362099210382439,0.0
baseline,lsmop1,LSMOP,numba,100000,21,10000,0.7377960580051877,0.0
baseline,lsmop1,LSMOP,numba,100000,21,20000,0.9422704920289107,0.0
baseline,lsmop1,LSMOP,numba,100000,21,50000,1.569778480043169,0.031176859138633918
baseline,lsmop1,LSMOP,numba,100000,21,100000,2.7769200340262614,0.03478807682684789
baseline,lsmop1,LSMOP,numba,100000,22,5000,0.4320761850103736,0.0
baseline,lsmop1,LSMOP,numba,100000,22,10000,0.531836596026551,0.0
baseline,lsmop1,LSMOP,numba,100000,22,20000,0.7829756690189242,0.0
baseline,lsmop1,LSMOP,numba,100000,22,50000,1.467084292031359,0.028611503662159258
baseline,lsmop1,LSMOP,numba,100000,22,100000,2.695838033047039,0.03206876955380095
baseline,lsmop1,LSMOP,numba,100000,23,5000,0.4687627000384964,0.0
baseline,lsmop1,LSMOP,numba,100000,23,10000,0.6155473770340905,0.0
baseline,lsmop1,LSMOP,numba,100000,23,20000,0.8938268880010583,0.0
baseline,lsmop1,LSMOP,numba,100000,23,50000,1.5291388370096684,0.03656415272185449
baseline,lsmop1,LSMOP,numba,100000,23,100000,2.726436964003369,0.04724250851750275
baseline,lsmop1,LSMOP,numba,100000,24,5000,0.639329579018522,0.0
baseline,lsmop1,LSMOP,numba,100000,24,10000,0.7837479739682749,0.0
baseline,lsmop1,LSMOP,numba,100000,24,20000,1.004876852966845,0.00014897529367242958
baseline,lsmop1,LSMOP,numba,100000,24,50000,1.6728642369853333,0.020485585024744395
baseline,lsmop1,LSMOP,numba,100000,24,100000,2.8846985459676944,0.051414407305227686
baseline,lsmop1,LSMOP,numba,100000,25,5000,0.47134286002255976,0.0
baseline,lsmop1,LSMOP,numba,100000,25,10000,0.5940644490183331,0.0
baseline,lsmop1,LSMOP,numba,100000,25,20000,0.8106965110055171,0.0
baseline,lsmop1,LSMOP,numba,100000,25,50000,1.4860841690097004,0.014663200791753834
baseline,lsmop1,LSMOP,numba,100000,25,100000,2.684929926006589,0.04073988087198766
baseline,lsmop1,LSMOP,numba,100000,26,5000,0.4244636819930747,0.0
baseline,lsmop1,LSMOP,numba,100000,26,10000,0.5209954569581896,0.0
baseline,lsmop1,LSMOP,numba,100000,26,20000,0.722542584000621,0.0
baseline,lsmop1,LSMOP,numba,100000,26,50000,1.3485826019896194,0.035641811400696874
baseline,lsmop1,LSMOP,numba,100000,26,100000,2.55676200898597,0.041854819606302704
baseline,lsmop1,LSMOP,numba,100000,27,5000,0.6341338670463301,0.0
baseline,lsmop1,LSMOP,numba,100000,27,10000,0.8079366119927727,0.0
baseline,lsmop1,LSMOP,numba,100000,27,20000,1.0560529790236615,0.0
baseline,lsmop1,LSMOP,numba,100000,27,50000,1.6933451929944567,0.028442368984658985
baseline,lsmop1,LSMOP,numba,100000,27,100000,2.8658535970025696,0.037639044775309584
baseline,lsmop1,LSMOP,numba,100000,28,5000,0.5065072469878942,0.0
baseline,lsmop1,LSMOP,numba,100000,28,10000,0.6356972659705207,0.0
baseline,lsmop1,LSMOP,numba,100000,28,20000,0.9153198659769259,0.0
baseline,lsmop1,LSMOP,numba,100000,28,50000,1.5721838040044531,0.026350535419396092
baseline,lsmop1,LSMOP,numba,100000,28,100000,2.7721931419800967,0.0355835707640768
baseline,lsmop1,LSMOP,numba,100000,29,5000,0.6426347340457141,0.0
baseline,lsmop1,LSMOP,numba,100000,29,10000,0.8026587319909595,0.0
baseline,lsmop1,LSMOP,numba,100000,29,20000,1.0200648390455171,0.0
baseline,lsmop1,LSMOP,numba,100000,29,50000,1.6628381510381587,0.010983465252843475
baseline,lsmop1,LSMOP,numba,100000,29,100000,2.8492029920453206,0.04464001350605901
baseline,lsmop8,LSMOP,numba,100000,0,5000,0.42732804000843316,0.0
baseline,lsmop8,LSMOP,numba,100000,0,10000,0.5284927409957163,0.0
baseline,lsmop8,LSMOP,numba,100000,0,20000,0.7312972180079669,0.0
baseline,lsmop8,LSMOP,numba,100000,0,50000,1.341027649003081,0.0
baseline,lsmop8,LSMOP,numba,100000,0,100000,2.3449200890026987,0.0
baseline,lsmop8,LSMOP,numba,100000,1,5000,0.09967134200269356,0.0
baseline,lsmop8,LSMOP,numba,100000,1,10000,0.1999097689986229,0.0
baseline,lsmop8,LSMOP,numba,100000,1,20000,0.40642108797328547,0.0
baseline,lsmop8,LSMOP,numba,100000,1,50000,1.0241215890273452,0.0
baseline,lsmop8,LSMOP,numba,100000,1,100000,2.038487420999445,0.0
baseline,lsmop8,LSMOP,numba,100000,2,5000,0.09955609199823812,0.0
baseline,lsmop8,LSMOP,numba,100000,2,10000,0.20129624800756574,0.0
baseline,lsmop8,LSMOP,numba,100000,2,20000,0.40378617704845965,0.0
baseline,lsmop8,LSMOP,numba,100000,2,50000,1.0152139160200022,0.0
baseline,lsmop8,LSMOP,numba,100000,2,100000,1.9925329849938862,0.0
baseline,lsmop8,LSMOP,numba,100000,3,5000,0.09747458796482533,0.0
baseline,lsmop8,LSMOP,numba,100000,3,10000,0.19853637996129692,0.0
baseline,lsmop8,LSMOP,numba,100000,3,20000,0.3982166209607385,0.0
baseline,lsmop8,LSMOP,numba,100000,3,50000,0.993666777969338,0.0
baseline,lsmop8,LSMOP,numba,100000,3,100000,1.9744962019613013,0.0
baseline,lsmop8,LSMOP,numba,100000,4,5000,0.09817955299513415,0.0
baseline,lsmop8,LSMOP,numba,100000,4,10000,0.19859630899736658,0.0
baseline,lsmop8,LSMOP,numba,100000,4,20000,0.40255877695744857,0.0
baseline,lsmop8,LSMOP,numba,100000,4,50000,1.0191818159655668,0.0
baseline,lsmop8,LSMOP,numba,100000,4,100000,2.024848883971572,0.0
baseline,lsmop8,LSMOP,numba,100000,5,5000,0.09780203498667106,0.0
baseline,lsmop8,LSMOP,numba,100000,5,10000,0.19963362999260426,0.0
baseline,lsmop8,LSMOP,numba,100000,5,20000,0.40325989096891135,0.0
baseline,lsmop8,LSMOP,numba,100000,5,50000,1.0212601289968006,0.0
baseline,lsmop8,LSMOP,numba,100000,5,100000,2.0217009769985452,0.0
baseline,lsmop8,LSMOP,numba,100000,6,5000,0.09830890200100839,0.0
baseline,lsmop8,LSMOP,numba,100000,6,10000,0.19958296103868634,0.0
baseline,lsmop8,LSMOP,numba,100000,6,20000,0.40363617904949933,0.0
baseline,lsmop8,LSMOP,numba,100000,6,50000,1.0141782730352134,0.0
baseline,lsmop8,LSMOP,numba,100000,6,100000,2.013472509046551,0.0
baseline,lsmop8,LSMOP,numba,100000,7,5000,0.09771237598033622,0.0
baseline,lsmop8,LSMOP,numba,100000,7,10000,0.19951235101325437,0.0
baseline,lsmop8,LSMOP,numba,100000,7,20000,0.4070371430134401,0.0
baseline,lsmop8,LSMOP,numba,100000,7,50000,1.0259009749861434,0.0
baseline,lsmop8,LSMOP,numba,100000,7,100000,2.018199902959168,0.0
baseline,lsmop8,LSMOP,numba,100000,8,5000,0.09860472899163142,0.0
baseline,lsmop8,LSMOP,numba,100000,8,10000,0.2003539750003256,0.0
baseline,lsmop8,LSMOP,numba,100000,8,20000,0.40284262399654835,0.0
