variant,problem,obj_group,engine,n_evals,seed,evals,runtime_seconds,hypervolume
aos_eps15,rwa1,2-obj,numba,50000,0,5000,2.7773306000162847,0.9939942616181073
aos_eps15,rwa1,2-obj,numba,50000,0,10000,3.2025959999882616,0.9941325285861803
aos_eps15,rwa1,2-obj,numba,50000,0,20000,4.125184200005606,0.9940508328564193
aos_eps15,rwa1,2-obj,numba,50000,0,50000,6.70577990001766,0.9942091991896463
aos_eps15,rwa1,2-obj,numba,50000,1,5000,2.7612300000037067,0.9962803369495195
aos_eps15,rwa1,2-obj,numba,50000,1,10000,3.1997858000104316,0.9964960006851563
aos_eps15,rwa1,2-obj,numba,50000,1,20000,4.127893100026995,0.996767134713275
aos_eps15,rwa1,2-obj,numba,50000,1,50000,6.725825099973008,0.9967613512556233
aos_eps15,rwa1,2-obj,numba,50000,2,5000,2.7386310000438243,0.993740951500104
aos_eps15,rwa1,2-obj,numba,50000,2,10000,3.1678305999957956,0.9939281261928545
aos_eps15,rwa1,2-obj,numba,50000,2,20000,4.11968900001375,0.9940468761811254
aos_eps15,rwa1,2-obj,numba,50000,2,50000,6.784651099995244,0.994267551000719
aos_eps15,rwa1,2-obj,numba,50000,3,5000,2.710660699987784,0.9936115839400268
aos_eps15,rwa1,2-obj,numba,50000,3,10000,3.1475077999639325,0.9941497634522929
aos_eps15,rwa1,2-obj,numba,50000,3,20000,4.072570000018459,0.994403001146306
aos_eps15,rwa1,2-obj,numba,50000,3,50000,6.7343295000027865,0.9941440685392149
aos_eps15,rwa1,2-obj,numba,50000,4,5000,2.715543400030583,0.9937695226780558
aos_eps15,rwa1,2-obj,numba,50000,4,10000,3.0838379000197165,0.9945043900407042
aos_eps15,rwa1,2-obj,numba,50000,4,20000,4.003084400028456,0.9942480213420827
aos_eps15,rwa1,2-obj,numba,50000,4,50000,6.817318800021894,0.9940326582271073
aos_eps15,rwa1,2-obj,numba,50000,5,5000,2.7966793999657966,0.9936530498070747
aos_eps15,rwa1,2-obj,numba,50000,5,10000,3.4965571999782696,0.9939695679130224
aos_eps15,rwa1,2-obj,numba,50000,5,20000,4.818690599990077,0.9942826598678739
aos_eps15,rwa1,2-obj,numba,50000,5,50000,8.16633430001093,0.994129333816097
aos_eps15,rwa1,2-obj,numba,50000,6,5000,2.6903597000055015,0.9932337244842472
aos_eps15,rwa1,2-obj,numba,50000,6,10000,3.218790100014303,0.9942187733480001
aos_eps15,rwa1,2-obj,numba,50000,6,20000,4.660356700012926,0.9941773466009785
aos_eps15,rwa1,2-obj,numba,50000,6,50000,8.197414299997035,0.994080269233467
aos_eps15,rwa1,2-obj,numba,50000,7,5000,2.671511599968653,0.9957931810575871
aos_eps15,rwa1,2-obj,numba,50000,7,10000,3.143488699977752,0.9967426867080361
aos_eps15,rwa1,2-obj,numba,50000,7,20000,4.465616000001319,0.9965120717239914
aos_eps15,rwa1,2-obj,numba,50000,7,50000,8.09168289997615,0.9965771092079257
aos_eps15,rwa1,2-obj,numba,50000,8,5000,2.6502885000081733,0.9938191788967884
aos_eps15,rwa1,2-obj,numba,50000,8,10000,3.252626700035762,0.9942696470627178
aos_eps15,rwa1,2-obj,numba,50000,8,20000,4.5112977999961,0.9936125177335358
aos_eps15,rwa1,2-obj,numba,50000,8,50000,8.15140060003614,0.9943631049961907
aos_eps15,rwa1,2-obj,numba,50000,9,5000,2.493483299971558,0.9963286207454117
aos_eps15,rwa1,2-obj,numba,50000,9,10000,3.0313337999978103,0.9966616605410576
aos_eps15,rwa1,2-obj,numba,50000,9,20000,4.11083379999036,0.9967559023857835
aos_eps15,rwa1,2-obj,numba,50000,9,50000,7.879865000024438,0.9967882574581166
aos_eps15,rwa1,2-obj,numba,50000,10,5000,0.4983187000034377,0.9940849454665638
aos_eps15,rwa1,2-obj,numba,50000,10,10000,0.9043381999945268,0.9939566335468787
aos_eps15,rwa1,2-obj,numba,50000,10,20000,2.0830437999684364,0.9944211951761034
aos_eps15,rwa1,2-obj,numba,50000,10,50000,5.133731700014323,0.9940597527848134
aos_eps15,rwa1,2-obj,numba,50000,11,5000,0.5187024000333622,0.9933789680994717
aos_eps15,rwa1,2-obj,numba,50000,11,10000,1.0421062000095844,0.9942545921626611
aos_eps15,rwa1,2-obj,numba,50000,11,20000,2.1598749000113457,0.9938218328417588
aos_eps15,rwa1,2-obj,numba,50000,11,50000,5.1576268000062555,0.994148552127636
aos_eps15,rwa1,2-obj,numba,50000,12,5000,0.6893034999957308,0.995332104626212
aos_eps15,rwa1,2-obj,numba,50000,12,10000,1.304598399961833,0.9967408068604517
aos_eps15,rwa1,2-obj,numba,50000,12,20000,2.3040107999695465,0.9965453932563713
aos_eps15,rwa1,2-obj,numba,50000,12,50000,5.402270899969153,0.9963742883038023
aos_eps15,rwa1,2-obj,numba,50000,13,5000,0.4493775999872014,0.9940018633283333
aos_eps15,rwa1,2-obj,numba,50000,13,10000,1.0345238000154495,0.994264214829942
aos_eps15,rwa1,2-obj,numba,50000,13,20000,2.1893829999607988,0.9937889840815056
aos_eps15,rwa1,2-obj,numba,50000,13,50000,5.138756999978796,0.9942749631909554
aos_eps15,rwa1,2-obj,numba,50000,14,5000,0.5899590000044554,0.9958317976279588
