problem,algorithm,algorithm_label,seed,engine,pop_size,max_evaluations,n_var,n_obj,runtime_seconds,n_solutions,hypervolume,igd_plus
zcat1,nsgaii,nsgaii,0,numpy,100,25000,30,2,2.4259289999999964,100,0.9820084644672317,0.007703137145352674
zcat1,nsgaii,nsgaii,1,numpy,100,25000,30,2,3.1747635000001537,100,0.9813261580962408,0.007956664709495508
zcat1,nsgaii,nsgaii,2,numpy,100,25000,30,2,2.901776300000165,100,0.9810238895078867,0.008083635150300483
zcat1,nsgaii,nsgaii,3,numpy,100,25000,30,2,2.7695201999995334,100,0.9829698933479948,0.00733772124177166
zcat1,nsgaii,nsgaii,4,numpy,100,25000,30,2,2.9487523999996483,100,0.982600902921259,0.007440491436637663
zcat1,nsgaii,nsgaii,5,numpy,100,25000,30,2,2.8630507999996553,100,0.9814409591938323,0.008082357323867518
zcat1,nsgaii,nsgaii,6,numpy,100,25000,30,2,3.4806681999998546,100,0.9806273550146046,0.008317054689534538
zcat1,nsgaii,nsgaii,7,numpy,100,25000,30,2,2.7799628000002485,100,0.9830382384203133,0.007264935090572375
zcat1,nsgaii,nsgaii,8,numpy,100,25000,30,2,2.850840699999935,100,0.9818666221684059,0.007708929503823953
zcat1,nsgaii,nsgaii,9,numpy,100,25000,30,2,2.959077100000286,100,0.9806647625094277,0.008313506674704858
zcat1,nsgaii,nsgaii,10,numpy,100,25000,30,2,3.03174190000027,100,0.9812326117439631,0.007970482544293837
zcat1,nsgaii,nsgaii,11,numpy,100,25000,30,2,2.911135899999863,100,0.9822262129948971,0.0076019532217457735
zcat1,nsgaii,nsgaii,12,numpy,100,25000,30,2,2.85445720000007,100,0.9814834250992043,0.00804113698170928
zcat1,nsgaii,nsgaii,13,numpy,100,25000,30,2,3.025558099999216,100,0.9819131113398375,0.00773253052139231
zcat1,nsgaii,nsgaii,14,numpy,100,25000,30,2,2.8199751000001925,100,0.9817307523943808,0.007839205899389287
zcat1,nsgaii,nsgaii,15,numpy,100,25000,30,2,2.830490700000155,100,0.9826177062540811,0.007411452661730761
zcat1,nsgaii,nsgaii,16,numpy,100,25000,30,2,2.7196045000000595,100,0.9816988503229184,0.007860267370783294
zcat1,nsgaii,nsgaii,17,numpy,100,25000,30,2,2.7908743000007235,100,0.9819571363016919,0.007746442773738731
zcat1,nsgaii,nsgaii,18,numpy,100,25000,30,2,2.8099911999997857,100,0.981138920074042,0.008020833879748265
zcat1,nsgaii,nsgaii,19,numpy,100,25000,30,2,2.862206199999491,100,0.9820693594149115,0.007640351268996076
zcat1,nsgaii,nsgaii,20,numpy,100,25000,30,2,2.8434677999994165,100,0.9806491700072556,0.00826329533979907
zcat1,nsga2_curvgap,nsga2-curvgap,0,numpy,100,25000,30,2,21.27088619999995,100,0.5066668161908713,0.19628746202024303
zcat1,nsga2_curvgap,nsga2-curvgap,1,numpy,100,25000,30,2,20.11902480000026,100,0.7001052379321271,0.12014573772694295
zcat1,nsga2_curvgap,nsga2-curvgap,2,numpy,100,25000,30,2,20.599158300000454,100,0.5985510769545617,0.1640802654985611
zcat1,nsga2_curvgap,nsga2-curvgap,3,numpy,100,25000,30,2,20.729964800000744,100,0.5205598076989447,0.1897821130068278
zcat1,nsga2_curvgap,nsga2-curvgap,4,numpy,100,25000,30,2,20.158685800000057,100,0.6725666935810537,0.13256612355719838
zcat1,nsga2_curvgap,nsga2-curvgap,5,numpy,100,25000,30,2,21.13398909999978,100,0.5837816450808327,0.17399845792664823
zcat1,nsga2_curvgap,nsga2-curvgap,6,numpy,100,25000,30,2,20.884865700000773,100,0.3861806049735061,0.2458295550295158
zcat1,nsga2_curvgap,nsga2-curvgap,7,numpy,100,25000,30,2,21.322646800000257,100,0.8758115760120266,0.05102483674007803
zcat1,nsga2_curvgap,nsga2-curvgap,8,numpy,100,25000,30,2,21.06201030000011,100,0.6366752598905473,0.14506557191818778
zcat1,nsga2_curvgap,nsga2-curvgap,9,numpy,100,25000,30,2,21.317955800000163,100,0.5051138729089418,0.20051420654133384
zcat1,nsga2_curvgap,nsga2-curvgap,10,numpy,100,25000,30,2,21.187838499999998,100,0.8864698451923615,0.04619918291732437
zcat1,nsga2_curvgap,nsga2-curvgap,11,numpy,100,25000,30,2,21.757038300000204,100,0.6402372490682224,0.1437255916793578
zcat1,nsga2_curvgap,nsga2-curvgap,12,numpy,100,25000,30,2,21.978209799999604,100,0.7433523579007406,0.10330288608365162
zcat1,nsga2_curvgap,nsga2-curvgap,13,numpy,100,25000,30,2,20.552687200000037,100,0.753387321708688,0.0978465080057725
zcat1,nsga2_curvgap,nsga2-curvgap,14,numpy,100,25000,30,2,21.369768900000054,100,0.4498058312869861,0.22029709755285184
zcat1,nsga2_curvgap,nsga2-curvgap,15,numpy,100,25000,30,2,20.18898160000026,100,0.6961057294200834,0.12927233175048095
zcat1,nsga2_curvgap,nsga2-curvgap,16,numpy,100,25000,30,2,20.382707599999776,100,0.38932051085140124,0.2429406121231101
zcat1,nsga2_curvgap,nsga2-curvgap,17,numpy,100,25000,30,2,20.796651100000418,100,0.5951144433170144,0.16082705796702917
zcat1,nsga2_curvgap,nsga2-curvgap,18,numpy,100,25000,30,2,20.431130700000722,100,0.6266351550424719,0.1677410834209177
