problem,metric,higher_is_better,lhs_algorithm,lhs_label,rhs_algorithm,rhs_label,n_common_seeds,lhs_mean,lhs_median,rhs_mean,rhs_median,delta_mean,delta_median,lhs_seed_wins,seed_ties,rhs_seed_wins,lhs_both_metric_seed_wins,both_metric_seed_ties_or_mixed,rhs_both_metric_seed_wins,wilcoxon_p_value_raw,wilcoxon_p_value_holm,wilcoxon_significant_alpha
zcat1,hypervolume,True,nsga2_farthest,nsga2-farthest,nsgaii,nsgaii,21,0.9865370054551035,0.9863821445148856,0.9817278334092562,0.9817307523943808,0.004809172045847299,0.004651392120504805,21,0,0,21,0,0,9.5367431640625e-07,7.62939453125e-05,True
zcat1,igd_plus,False,nsga2_farthest,nsga2-farthest,nsgaii,nsgaii,21,0.0058324311290571815,0.005935769222232046,0.007825542163304186,0.007839205899389287,-0.001993111034247004,-0.0019034366771572414,21,0,0,21,0,0,9.5367431640625e-07,7.62939453125e-05,True
zcat1,hypervolume,True,nsga2_farthest,nsga2-farthest,gces,gces,21,0.9865370054551035,0.9863821445148856,0.9834086942103346,0.9834600502111897,0.0031283112447688666,0.0029220943036959435,20,0,1,20,1,0,1.9073486328125e-06,0.0001125335693359375,True
zcat1,igd_plus,False,nsga2_farthest,nsga2-farthest,gces,gces,21,0.0058324311290571815,0.005935769222232046,0.007335215721646729,0.0072207997782721385,-0.0015027845925895478,-0.0012850305560400928,21,0,0,20,1,0,9.5367431640625e-07,7.62939453125e-05,True
zcat1,hypervolume,True,nsga2_farthest,nsga2-farthest,gces_nocomp,gces-noComp,21,0.9865370054551035,0.9863821445148856,0.9861347293897103,0.9862918347156521,0.0004022760653932256,9.030979923352334e-05,12,0,9,12,1,8,0.2572479248046875,1.0,False
zcat1,igd_plus,False,nsga2_farthest,nsga2-farthest,gces_nocomp,gces-noComp,21,0.0058324311290571815,0.005935769222232046,0.006019390320063749,0.005978741317947302,-0.00018695919100656776,-4.297209571525653e-05,13,0,8,12,1,8,0.22898578643798828,1.0,False
zcat1,hypervolume,True,nsga2_farthest,nsga2-farthest,gces_nogeo,gces-noGeo,21,0.9865370054551035,0.9863821445148856,0.9834461536438963,0.9835636746011842,0.0030908518112071626,0.0028184699137013824,20,0,1,20,1,0,1.9073486328125e-06,0.0001125335693359375,True
zcat1,igd_plus,False,nsga2_farthest,nsga2-farthest,gces_nogeo,gces-noGeo,21,0.0058324311290571815,0.005935769222232046,0.00746110850905981,0.007352343327468205,-0.0016286773800026286,-0.0014165741052361595,21,0,0,20,1,0,9.5367431640625e-07,7.62939453125e-05,True
zcat10,hypervolume,True,nsga2_farthest,nsga2-farthest,nsgaii,nsgaii,21,0.9488403637843542,0.9489842325690684,0.9464530800048602,0.9460069677075087,0.0023872837794940427,0.002977264861559692,14,0,7,12,3,6,0.07598018646240234,1.0,False
zcat10,igd_plus,False,nsga2_farthest,nsga2-farthest,nsgaii,nsgaii,21,0.003370500473907998,0.003350542794050517,0.0035046055096680235,0.0034967039304578387,-0.0001341050357600254,-0.00014616113640732176,13,0,8,12,3,6,0.10321426391601562,1.0,False
zcat10,hypervolume,True,nsga2_farthest,nsga2-farthest,gces,gces,21,0.9488403637843542,0.9489842325690684,0.9555418292018765,0.9554138922440139,-0.0067014654175222566,-0.006429659674945465,2,0,19,2,10,9,4.76837158203125e-06,0.00026226043701171875,True
zcat10,igd_plus,False,nsga2_farthest,nsga2-farthest,gces,gces,21,0.003370500473907998,0.003350542794050517,0.0037230398286117903,0.0033918634644695056,-0.0003525393547037922,-4.1320670418988625e-05,12,0,9,2,10,9,0.45236778259277344,1.0,False
zcat10,hypervolume,True,nsga2_farthest,nsga2-farthest,gces_nocomp,gces-noComp,21,0.9488403637843542,0.9489842325690684,0.9498826174757863,0.95027962580968,-0.0010422536914320712,-0.0012953932406115642,11,0,10,10,2,9,0.539189338684082,1.0,False
zcat10,igd_plus,False,nsga2_farthest,nsga2-farthest,gces_nocomp,gces-noComp,21,0.003370500473907998,0.003350542794050517,0.003332633744587792,0.003385291947991477,3.786672932020634e-05,-3.474915394095996e-05,11,0,10,10,2,9,0.9186935424804688,1.0,False
zcat10,hypervolume,True,nsga2_farthest,nsga2-farthest,gces_nogeo,gces-noGeo,21,0.9488403637843542,0.9489842325690684,0.9555449017420206,0.9560721766902548,-0.0067045379576663455,-0.007087944121186407,1,0,20,1,12,8,9.5367431640625e-06,0.000514984130859375,True
zcat10,igd_plus,False,nsga2_farthest,nsga2-farthest,gces_nogeo,gces-noGeo,21,0.003370500473907998,0.003350542794050517,0.0036170420310730274,0.003440514955902749,-0.00024654155716502925,-8.997216185223193e-05,13,0,8,1,12,8,0.27221012115478516,1.0,False
zcat11,hypervolume,True,nsga2_farthest,nsga2-farthest,nsgaii,nsgaii,21,0.9901381444391331,0.9915313309676633,0.9886834601809943,0.9887252165981997,0.001454684258138772,0.0028061143694636526,20,0,1,20,0,1,0.00042629241943359375,0.01918315887451172,True
zcat11,igd_plus,False,nsga2_farthest,nsga2-farthest,nsgaii,nsgaii,21,0.009212299313929275,0.0040134636248927245,0.0053418460467308405,0.005266336130421329,0.0038704532671984346,-0.0012528725055286046,20,0,1,20,0,1,0.00042629241943359375,0.019609451293945312,True
zcat11,hypervolume,True,nsga2_farthest,nsga2-farthest,gces,gces,21,0.9901381444391331,0.9915313309676633,0.9907404083811172,0.9907278016383191,-0.0006022639419841491,0.0008035293293442436,18,0,3,17,1,3,0.000720977783203125,0.028839111328125,True
zcat11,igd_plus,False,nsga2_farthest,nsga2-farthest,gces,gces,21,0.009212299313929275,0.0040134636248927245,0.004279807705024112,0.004304082664368474,0.004932491608905163,-0.0002906190394757497,17,0,4,17,1,3,0.0037527084350585938,0.13509750366210938,False
zcat11,hypervolume,True,nsga2_farthest,nsga2-farthest,gces_nocomp,gces-noComp,21,0.9901381444391331,0.9915313309676633,0.9917246128948611,0.9917333166412403,-0.001586468455728074,-0.0002019856735769876,6,0,15,6,1,14,0.035056114196777344,1.0,False
zcat11,igd_plus,False,nsga2_farthest,nsga2-farthest,gces_nocomp,gces-noComp,21,0.009212299313929275,0.0040134636248927245,0.003931346048424869,0.003917358336501958,0.005280953265504406,9.61052883907661e-05,7,0,14,6,1,14,0.038437843322753906,1.0,False
zcat11,hypervolume,True,nsga2_farthest,nsga2-farthest,gces_nogeo,gces-noGeo,21,0.9901381444391331,0.9915313309676633,0.9906336762850162,0.9906337349674758,-0.0004955318458831348,0.0008975960001875727,19,0,2,18,1,2,0.0010023117065429688,0.03909015655517578,True
zcat11,igd_plus,False,nsga2_farthest,nsga2-farthest,gces_nogeo,gces-noGeo,21,0.009212299313929275,0.0040134636248927245,0.004335679447546295,0.004330787639735565,0.00487661986638298,-0.0003173240148428404,18,0,3,18,1,2,0.002857208251953125,0.10857391357421875,False
zcat12,hypervolume,True,nsga2_farthest,nsga2-farthest,nsgaii,nsgaii,21,0.988870593991469,0.9915465415656252,0.9883459546172098,0.9884279030613075,0.0005246393742592836,0.0031186385043177056,20,0,1,20,0,1,0.00042629241943359375,0.01918315887451172,True
zcat12,igd_plus,False,nsga2_farthest,nsga2-farthest,nsgaii,nsgaii,21,0.013400631409319328,0.004030531522994621,0.00547669065354034,0.005506940668152715,0.007923940755778989,-0.0014764091451580936,20,0,1,20,0,1,0.00042629241943359375,0.019609451293945312,True
zcat12,hypervolume,True,nsga2_farthest,nsga2-farthest,gces,gces,21,0.988870593991469,0.9915465415656252,0.988215207371604,0.9905167775427358,0.0006553866198650837,0.0010297640228893457,19,0,2,18,2,1,0.0010023117065429688,0.03909015655517578,True
zcat12,igd_plus,False,nsga2_farthest,nsga2-farthest,gces,gces,21,0.013400631409319328,0.004030531522994621,0.012442126656797578,0.004442348539483393,0.0009585047525217504,-0.00041181701648877224,19,0,2,18,2,1,0.0008516311645507812,0.03576850891113281,True
zcat12,hypervolume,True,nsga2_farthest,nsga2-farthest,gces_nocomp,gces-noComp,21,0.988870593991469,0.9915465415656252,0.9886734182816186,0.9912700114403142,0.00019717570985045008,0.00027653012531092536,15,0,6,11,4,6,0.20291709899902344,1.0,False
zcat12,igd_plus,False,nsga2_farthest,nsga2-farthest,gces_nocomp,gces-noComp,21,0.013400631409319328,0.004030531522994621,0.013471060610174822,0.0041297022540112745,-7.042920085549402e-05,-9.917073101665345e-05,11,0,10,11,4,6,0.41198158264160156,1.0,False
zcat12,hypervolume,True,nsga2_farthest,nsga2-farthest,gces_nogeo,gces-noGeo,21,0.988870593991469,0.9915465415656252,0.9877749246893087,0.9904875783108723,0.001095669302160318,0.0010589632547528538,19,0,2,18,1,2,0.00042629241943359375,0.01918315887451172,True
zcat12,igd_plus,False,nsga2_farthest,nsga2-farthest,gces_nogeo,gces-noGeo,21,0.013400631409319328,0.004030531522994621,0.013844658500161889,0.0044389575604013645,-0.0004440270908425605,-0.00040842603740674343,18,0,3,18,1,2,0.0010023117065429688,0.04009246826171875,True
zcat13,hypervolume,True,nsga2_farthest,nsga2-farthest,nsgaii,nsgaii,21,1.0173567166914668,1.017380846095924,1.0153449263436505,1.015344065920437,0.002011790347816289,0.0020367801754870296,21,0,0,21,0,0,9.5367431640625e-07,7.62939453125e-05,True
zcat13,igd_plus,False,nsga2_farthest,nsga2-farthest,nsgaii,nsgaii,21,0.0031533293166758724,0.00314630772537759,0.0041202811954980855,0.004037946881302547,-0.0009669518788222131,-0.000891639155924957,21,0,0,21,0,0,9.5367431640625e-07,7.62939453125e-05,True
zcat13,hypervolume,True,nsga2_farthest,nsga2-farthest,gces,gces,21,1.0173567166914668,1.017380846095924,1.0168682834131793,1.0169280908220506,0.0004884332782875145,0.0004527552738733398,16,0,5,11,5,5,0.012691497802734375,0.38074493408203125,False
zcat13,igd_plus,False,nsga2_farthest,nsga2-farthest,gces,gces,21,0.0031533293166758724,0.00314630772537759,0.0032028544982403004,0.003206320734623002,-4.9525181564427905e-05,-6.001300924541198e-05,11,0,10,11,5,5,0.47333431243896484,1.0,False
zcat13,hypervolume,True,nsga2_farthest,nsga2-farthest,gces_nocomp,gces-noComp,21,1.0173567166914668,1.017380846095924,1.0176699626074464,1.017634836517473,-0.0003132459159795875,-0.00025399042154905516,5,0,16,4,2,15,0.009016036987304688,0.2794971466064453,False
zcat13,igd_plus,False,nsga2_farthest,nsga2-farthest,gces_nocomp,gces-noComp,21,0.0031533293166758724,0.00314630772537759,0.0030080300949032446,0.0030049730265922663,0.00014529922177262782,0.00014133469878532378,5,0,16,4,2,15,0.02385425567626953,0.7156276702880859,False
zcat13,hypervolume,True,nsga2_farthest,nsga2-farthest,gces_nogeo,gces-noGeo,21,1.0173567166914668,1.017380846095924,1.0169501885020684,1.0170258933732572,0.00040652818939834745,0.00035495272266672373,17,0,4,8,9,4,0.0018587112426757812,0.06505489349365234,False
zcat13,igd_plus,False,nsga2_farthest,nsga2-farthest,gces_nogeo,gces-noGeo,21,0.0031533293166758724,0.00314630772537759,0.003147812006886323,0.0030900206625835373,5.517309789549504e-06,5.628706279405286e-05,8,0,13,8,9,4,0.7592878341674805,1.0,False
zcat14,hypervolume,True,nsga2_farthest,nsga2-farthest,nsgaii,nsgaii,21,0.9809854257265876,0.9809197386330474,0.9749612551148688,0.9750552734135233,0.006024170611718893,0.0058644652195241065,21,0,0,21,0,0,9.5367431640625e-07,7.62939453125e-05,True
zcat14,igd_plus,False,nsga2_farthest,nsga2-farthest,nsgaii,nsgaii,21,0.005782231588505196,0.005750347290968791,0.007530290027572856,0.007443509556653826,-0.00174805843906766,-0.0016931622656850354,21,0,0,21,0,0,9.5367431640625e-07,7.62939453125e-05,True
zcat14,hypervolume,True,nsga2_farthest,nsga2-farthest,gces,gces,21,0.9809854257265876,0.9809197386330474,0.9793035863006171,0.9791215505808852,0.001681839425970555,0.0017981880521621418,18,0,3,17,2,2,6.67572021484375e-05,0.00347137451171875,True
zcat14,igd_plus,False,nsga2_farthest,nsga2-farthest,gces,gces,21,0.005782231588505196,0.005750347290968791,0.006423820629091715,0.006311829817794904,-0.0006415890405865191,-0.0005614825268261134,18,0,3,17,2,2,4.100799560546875e-05,0.0020914077758789062,True
zcat14,hypervolume,True,nsga2_farthest,nsga2-farthest,gces_nocomp,gces-noComp,21,0.9809854257265876,0.9809197386330474,0.980746908649165,0.9807334726532776,0.00023851707742261752,0.0001862659797697841,11,0,10,11,1,9,0.5854024887084961,1.0,False
zcat14,igd_plus,False,nsga2_farthest,nsga2-farthest,gces_nocomp,gces-noComp,21,0.005782231588505196,0.005750347290968791,0.005865036626832674,0.00590206120115449,-8.280503832747838e-05,-0.00015171391018569888,12,0,9,11,1,9,0.5167608261108398,1.0,False
zcat14,hypervolume,True,nsga2_farthest,nsga2-farthest,gces_nogeo,gces-noGeo,21,0.9809854257265876,0.9809197386330474,0.9791007016527327,0.9788894263982009,0.001884724073854982,0.0020303122348465097,20,0,1,20,0,1,1.9073486328125e-06,0.0001125335693359375,True
zcat14,igd_plus,False,nsga2_farthest,nsga2-farthest,gces_nogeo,gces-noGeo,21,0.005782231588505196,0.005750347290968791,0.0065306977548796104,0.006471079366437298,-0.0007484661663744148,-0.0007207320754685073,20,0,1,20,0,1,6.67572021484375e-06,0.00038051605224609375,True
zcat15,hypervolume,True,nsga2_farthest,nsga2-farthest,nsgaii,nsgaii,21,0.9888711158193836,0.9915472816706982,0.988346613796721,0.9884285442297749,0.0005245020226626318,0.0031187374409232804,20,0,1,20,0,1,0.00042629241943359375,0.01918315887451172,True
zcat15,igd_plus,False,nsga2_farthest,nsga2-farthest,nsgaii,nsgaii,21,0.013250486724330657,0.004045539534498081,0.005492005889190978,0.005556378712173695,0.007758480835139679,-0.0015108391776756137,20,0,1,20,0,1,0.00042629241943359375,0.019609451293945312,True
zcat15,hypervolume,True,nsga2_farthest,nsga2-farthest,gces,gces,21,0.9888711158193836,0.9915472816706982,0.9882157465803957,0.9905175126941947,0.0006553692389879018,0.0010297689765034201,19,0,2,18,2,1,0.0010023117065429688,0.03909015655517578,True
zcat15,igd_plus,False,nsga2_farthest,nsga2-farthest,gces,gces,21,0.013250486724330657,0.004045539534498081,0.012307151709851312,0.004436105012941588,0.0009433350144793448,-0.00039056547844350687,19,0,2,18,2,1,0.0008516311645507812,0.03576850891113281,True
zcat15,hypervolume,True,nsga2_farthest,nsga2-farthest,gces_nocomp,gces-noComp,21,0.9888711158193836,0.9915472816706982,0.9886739707598609,0.9912707600499495,0.00019714505952272976,0.0002765216207486487,15,0,6,11,4,6,0.20291709899902344,1.0,False
zcat15,igd_plus,False,nsga2_farthest,nsga2-farthest,gces_nocomp,gces-noComp,21,0.013250486724330657,0.004045539534498081,0.013316543504243258,0.0041338539343641605,-6.605677991260162e-05,-8.831439986607941e-05,11,0,10,11,4,6,0.49480247497558594,1.0,False
zcat15,hypervolume,True,nsga2_farthest,nsga2-farthest,gces_nogeo,gces-noGeo,21,0.9888711158193836,0.9915472816706982,0.9877754660538869,0.9904882043495291,0.001095649765496698,0.0010590773211690552,19,0,2,18,1,2,0.00042629241943359375,0.01918315887451172,True
zcat15,igd_plus,False,nsga2_farthest,nsga2-farthest,gces_nogeo,gces-noGeo,21,0.013250486724330657,0.004045539534498081,0.013681335371701107,0.004431344306129014,-0.00043084864737044995,-0.00038580477163093277,18,0,3,18,1,2,0.0011758804321289062,0.045859336853027344,True
