problem,algorithm,algorithm_label,seed,engine,pop_size,max_evaluations,n_var,n_obj,runtime_seconds,n_solutions,hypervolume,igd_plus
zcat1,nsgaii,nsgaii,0,numpy,100,25000,30,2,1.3089054000156466,100,0.9820084644672317,0.007703137145352674
zcat1,nsgaii,nsgaii,1,numpy,100,25000,30,2,1.309875099977944,100,0.9813261580962408,0.007956664709495508
zcat1,nsgaii,nsgaii,2,numpy,100,25000,30,2,1.302168399997754,100,0.9810238895078867,0.008083635150300483
zcat1,nsgaii,nsgaii,3,numpy,100,25000,30,2,1.489645900001051,100,0.9829698933479948,0.00733772124177166
zcat1,nsgaii,nsgaii,4,numpy,100,25000,30,2,1.3581219000043347,100,0.982600902921259,0.007440491436637663
zcat1,nsgaii,nsgaii,5,numpy,100,25000,30,2,1.2839341000071727,100,0.9814409591938323,0.008082357323867518
zcat1,nsgaii,nsgaii,6,numpy,100,25000,30,2,1.2779495000140741,100,0.9806273550146046,0.008317054689534538
zcat1,nsgaii,nsgaii,7,numpy,100,25000,30,2,1.3078037000086624,100,0.9830382384203133,0.007264935090572375
zcat1,nsgaii,nsgaii,8,numpy,100,25000,30,2,1.2742784000001848,100,0.9818666221684059,0.007708929503823953
zcat1,nsgaii,nsgaii,9,numpy,100,25000,30,2,1.5273939999751747,100,0.9806647625094277,0.008313506674704858
zcat1,nsgaii,nsgaii,10,numpy,100,25000,30,2,1.3703843999828678,100,0.9812326117439631,0.007970482544293837
zcat1,nsgaii,nsgaii,11,numpy,100,25000,30,2,1.3258697999990545,100,0.9822262129948971,0.0076019532217457735
zcat1,nsgaii,nsgaii,12,numpy,100,25000,30,2,1.3291828999936115,100,0.9814834250992043,0.00804113698170928
zcat1,nsgaii,nsgaii,13,numpy,100,25000,30,2,1.3265948000189383,100,0.9819131113398375,0.00773253052139231
zcat1,nsgaii,nsgaii,14,numpy,100,25000,30,2,1.3639279000053648,100,0.9817307523943808,0.007839205899389287
zcat1,nsgaii,nsgaii,15,numpy,100,25000,30,2,1.3714712999935728,100,0.9826177062540811,0.007411452661730761
zcat1,nsgaii,nsgaii,16,numpy,100,25000,30,2,1.3292735000140965,100,0.9816988503229184,0.007860267370783294
zcat1,nsgaii,nsgaii,17,numpy,100,25000,30,2,1.4108385000145063,100,0.9819571363016919,0.007746442773738731
zcat1,nsgaii,nsgaii,18,numpy,100,25000,30,2,1.2964924000261817,100,0.981138920074042,0.008020833879748265
zcat1,nsgaii,nsgaii,19,numpy,100,25000,30,2,1.306736300000921,100,0.9820693594149115,0.007640351268996076
zcat1,nsgaii,nsgaii,20,numpy,100,25000,30,2,1.304100000008475,100,0.9806491700072556,0.00826329533979907
zcat1,nsga2_farthest,nsga2-farthest,0,numpy,100,25000,30,2,12.312636599992402,100,0.9861490692383261,0.005991429902127207
zcat1,nsga2_farthest,nsga2-farthest,1,numpy,100,25000,30,2,12.161582800006727,100,0.9858557048205713,0.0061944308567623485
zcat1,nsga2_farthest,nsga2-farthest,2,numpy,100,25000,30,2,12.396685900021112,100,0.9874406504181632,0.005505803346406624
zcat1,nsga2_farthest,nsga2-farthest,3,numpy,100,25000,30,2,12.462927299988223,100,0.9869674596538428,0.005673734225088815
zcat1,nsga2_farthest,nsga2-farthest,4,numpy,100,25000,30,2,12.270609200000763,100,0.985217120931703,0.006374700018506204
zcat1,nsga2_farthest,nsga2-farthest,5,numpy,100,25000,30,2,12.733308599999873,100,0.9873385059976081,0.005478964045981545
zcat1,nsga2_farthest,nsga2-farthest,6,numpy,100,25000,30,2,12.425066199997673,100,0.9875353022101989,0.0053689691793782765
zcat1,nsga2_farthest,nsga2-farthest,7,numpy,100,25000,30,2,12.493437600001926,100,0.9862013037405922,0.005985049892839203
zcat1,nsga2_farthest,nsga2-farthest,8,numpy,100,25000,30,2,12.448111600009724,100,0.9870099859042571,0.005610946954981092
zcat1,nsga2_farthest,nsga2-farthest,9,numpy,100,25000,30,2,12.339679099997738,100,0.9869737892164648,0.005630452197433161
zcat1,nsga2_farthest,nsga2-farthest,10,numpy,100,25000,30,2,12.155876000004355,100,0.9857029656116361,0.006158104352499375
zcat1,nsga2_farthest,nsga2-farthest,11,numpy,100,25000,30,2,12.401502599997912,100,0.9850901762596572,0.006471453831878214
zcat1,nsga2_farthest,nsga2-farthest,12,numpy,100,25000,30,2,12.3287149000098,100,0.9853888888858925,0.006291716293383428
zcat1,nsga2_farthest,nsga2-farthest,13,numpy,100,25000,30,2,12.304148399998667,100,0.9863821445148856,0.005935769222232046
zcat1,nsga2_farthest,nsga2-farthest,14,numpy,100,25000,30,2,12.463785400002962,100,0.9882368133977555,0.005082874035741481
zcat1,nsga2_farthest,nsga2-farthest,15,numpy,100,25000,30,2,12.358508200006327,100,0.9859064061570391,0.00607104921810652
zcat1,nsga2_farthest,nsga2-farthest,16,numpy,100,25000,30,2,12.207212400011485,100,0.9859200854780172,0.006078749241231631
zcat1,nsga2_farthest,nsga2-farthest,17,numpy,100,25000,30,2,12.481998000002932,100,0.9861600989473994,0.005968323461289001
zcat1,nsga2_farthest,nsga2-farthest,18,numpy,100,25000,30,2,12.51960390000022,100,0.9867706171729149,0.005741149247422387
zcat1,nsga2_farthest,nsga2-farthest,19,numpy,100,25000,30,2,12.306451600015862,100,0.9874988877830841,0.005437849272627512
zcat1,nsga2_farthest,nsga2-farthest,20,numpy,100,25000,30,2,12.493814299989026,100,0.987531138217163,0.005429534914284734
zcat1,gces_nocomp,gces-noComp,0,numpy,100,25000,30,2,5.518911200022558,100,0.9853106657319181,0.0063732459925972445
zcat1,gces_nocomp,gces-noComp,1,numpy,100,25000,30,2,5.452242800005479,100,0.9868530783466108,0.005676705573255638
zcat1,gces_nocomp,gces-noComp,2,numpy,100,25000,30,2,5.575600600015605,100,0.9855414643291125,0.006206459494214725
zcat1,gces_nocomp,gces-noComp,3,numpy,100,25000,30,2,5.6015256000100635,100,0.9857831978591541,0.006156993611941383
zcat1,gces_nocomp,gces-noComp,4,numpy,100,25000,30,2,5.526615900016623,100,0.985772437761663,0.006182415399055509
zcat1,gces_nocomp,gces-noComp,5,numpy,100,25000,30,2,5.529058599990094,100,0.9843672432660455,0.006742601517829533
zcat1,gces_nocomp,gces-noComp,6,numpy,100,25000,30,2,5.492247699992731,100,0.9865778349770693,0.005841653218869253
zcat1,gces_nocomp,gces-noComp,7,numpy,100,25000,30,2,5.415649099973962,100,0.9865474632465692,0.005873262040127625
zcat1,gces_nocomp,gces-noComp,8,numpy,100,25000,30,2,5.461808899999596,100,0.9854748116337034,0.006286891907821614
zcat1,gces_nocomp,gces-noComp,9,numpy,100,25000,30,2,5.489479600015329,100,0.9856547575904382,0.0062687351398276235
zcat1,gces_nocomp,gces-noComp,10,numpy,100,25000,30,2,5.466286699986085,100,0.9862918347156521,0.006016763437873714
zcat1,gces_nocomp,gces-noComp,11,numpy,100,25000,30,2,5.451630900002783,100,0.9866873602866931,0.005776413054313639
zcat1,gces_nocomp,gces-noComp,12,numpy,100,25000,30,2,5.39875170000596,100,0.9865606167614829,0.0058529390651317036
zcat1,gces_nocomp,gces-noComp,13,numpy,100,25000,30,2,5.61187510000309,100,0.9861452253198912,0.005996547731877012
zcat1,gces_nocomp,gces-noComp,14,numpy,100,25000,30,2,5.834484299994074,100,0.9873588427719427,0.005448820307950507
zcat1,gces_nocomp,gces-noComp,15,numpy,100,25000,30,2,5.574630799994338,100,0.9873429875218246,0.005462760421645115
zcat1,gces_nocomp,gces-noComp,16,numpy,100,25000,30,2,7.751819500001147,100,0.9864005802528226,0.005887105819823477
zcat1,gces_nocomp,gces-noComp,17,numpy,100,25000,30,2,9.12688519997755,100,0.9862782661354841,0.005978741317947302
zcat1,gces_nocomp,gces-noComp,18,numpy,100,25000,30,2,9.75038919999497,100,0.9865575817290161,0.005842358172057276
zcat1,gces_nocomp,gces-noComp,19,numpy,100,25000,30,2,8.700216600002022,100,0.9866877903454035,0.0057862645438250685
zcat1,gces_nocomp,gces-noComp,20,numpy,100,25000,30,2,8.326126700005261,100,0.9846352766014183,0.006749518953353772
zcat1,gces_nogeo,gces-noGeo,0,numpy,100,25000,30,2,4.57293190000928,100,0.9831159855207452,0.007360814639107578
zcat1,gces_nogeo,gces-noGeo,1,numpy,100,25000,30,2,4.608614900003886,100,0.9835636746011842,0.007690857155141854
zcat1,gces_nogeo,gces-noGeo,2,numpy,100,25000,30,2,4.53572179999901,100,0.9840889952149852,0.007030427663393181
zcat1,gces_nogeo,gces-noGeo,3,numpy,100,25000,30,2,4.396272299985867,100,0.9833470599432752,0.007216086130538399
zcat1,gces_nogeo,gces-noGeo,4,numpy,100,25000,30,2,4.604274600016652,100,0.9841217975547679,0.007512652722202658
zcat1,gces_nogeo,gces-noGeo,5,numpy,100,25000,30,2,4.313490400003502,100,0.9843200383718964,0.007907945785386275
zcat1,gces_nogeo,gces-noGeo,6,numpy,100,25000,30,2,4.409410399995977,100,0.9819957049138583,0.007772199713526579
zcat1,gces_nogeo,gces-noGeo,7,numpy,100,25000,30,2,4.615551199996844,100,0.983866955219093,0.00698694269746364
zcat1,gces_nogeo,gces-noGeo,8,numpy,100,25000,30,2,4.252937700017355,100,0.9836967436616761,0.0071399218581035696
zcat1,gces_nogeo,gces-noGeo,9,numpy,100,25000,30,2,4.421295399981318,100,0.9842102046126138,0.006946412324858437
zcat1,gces_nogeo,gces-noGeo,10,numpy,100,25000,30,2,4.516431600000942,100,0.9822260468914925,0.008480710749541468
zcat1,gces_nogeo,gces-noGeo,11,numpy,100,25000,30,2,4.2845531000057235,100,0.9851065900394753,0.007177268328868669
zcat1,gces_nogeo,gces-noGeo,12,numpy,100,25000,30,2,4.589997000002768,100,0.983314137962634,0.007352343327468205
zcat1,gces_nogeo,gces-noGeo,13,numpy,100,25000,30,2,4.553677199990489,100,0.9836597607859259,0.007147235834612566
zcat1,gces_nogeo,gces-noGeo,14,numpy,100,25000,30,2,4.609018700022716,100,0.9833707192408331,0.007152302443601555
zcat1,gces_nogeo,gces-noGeo,15,numpy,100,25000,30,2,4.539918700000271,100,0.9824017793341591,0.007779288503519939
zcat1,gces_nogeo,gces-noGeo,16,numpy,100,25000,30,2,4.735206699988339,100,0.9835203523906256,0.007138249638967669
zcat1,gces_nogeo,gces-noGeo,17,numpy,100,25000,30,2,4.555040300008841,100,0.9844309836214397,0.006767610727489168
zcat1,gces_nogeo,gces-noGeo,18,numpy,100,25000,30,2,4.5941955000162125,100,0.983720312521362,0.007383903762378904
zcat1,gces_nogeo,gces-noGeo,19,numpy,100,25000,30,2,4.711588199977996,100,0.9816268258150411,0.009197106917779068
zcat1,gces_nogeo,gces-noGeo,20,numpy,100,25000,30,2,4.57399410000653,100,0.9826645583047384,0.007542997766306623
zcat1,gces,gces,0,numpy,100,25000,30,2,5.568645300023491,100,0.9855261627667062,0.0067651051046981135
zcat1,gces,gces,1,numpy,100,25000,30,2,5.617365699989023,100,0.9836480279488714,0.006933036442560623
zcat1,gces,gces,2,numpy,100,25000,30,2,5.905710599996382,100,0.982118140768008,0.008568918178006792
zcat1,gces,gces,3,numpy,100,25000,30,2,5.664806999993743,100,0.9829750471516152,0.007463637806384372
zcat1,gces,gces,4,numpy,100,25000,30,2,5.7213641999987885,100,0.9832933355654759,0.0072207997782721385
zcat1,gces,gces,5,numpy,100,25000,30,2,5.387203099991893,100,0.9833404470917204,0.00715302896356832
zcat1,gces,gces,6,numpy,100,25000,30,2,5.610580499982461,100,0.9845392169571844,0.006634486251904391
zcat1,gces,gces,7,numpy,100,25000,30,2,5.452797500009183,100,0.9835006031363557,0.007143248712174817
zcat1,gces,gces,8,numpy,100,25000,30,2,5.730966799979797,100,0.9832424133630557,0.007841511967081936
zcat1,gces,gces,9,numpy,100,25000,30,2,5.280264899978647,100,0.9842749576703218,0.006729527189441263
zcat1,gces,gces,10,numpy,100,25000,30,2,5.549980500014499,100,0.9822318518072644,0.007593945687710671
zcat1,gces,gces,11,numpy,100,25000,30,2,5.571007000020472,100,0.9852096921141263,0.00756744516367191
zcat1,gces,gces,12,numpy,100,25000,30,2,6.017847099981736,100,0.9834600502111897,0.007188528848165298
zcat1,gces,gces,13,numpy,100,25000,30,2,5.774242600018624,100,0.9823001689837213,0.007600501484986095
zcat1,gces,gces,14,numpy,100,25000,30,2,5.811680900020292,100,0.983546533947104,0.0074441113213778946
zcat1,gces,gces,15,numpy,100,25000,30,2,5.991118000005372,100,0.9823563738032922,0.007626570651235082
zcat1,gces,gces,16,numpy,100,25000,30,2,6.022252599999774,100,0.9839314692326048,0.007033903363918846
zcat1,gces,gces,17,numpy,100,25000,30,2,5.61552630001097,100,0.9817813381631084,0.007981191352792684
zcat1,gces,gces,18,numpy,100,25000,30,2,5.8588956000166945,100,0.9824705806024688,0.007672412778518145
zcat1,gces,gces,19,numpy,100,25000,30,2,5.668868400010979,100,0.9834803776490836,0.007111687934282781
zcat1,gces,gces,20,numpy,100,25000,30,2,5.935693299979903,100,0.9843557894837487,0.006765931173829145
zcat2,nsgaii,nsgaii,0,numpy,100,25000,30,2,2.0835723000054713,100,0.9918195950380652,0.005948704757530917
zcat2,nsgaii,nsgaii,1,numpy,100,25000,30,2,2.1023726999992505,100,0.9907747249070811,0.006606233862738549
zcat2,nsgaii,nsgaii,2,numpy,100,25000,30,2,2.0690777999989223,100,0.9914394822292518,0.006134957771638214
zcat2,nsgaii,nsgaii,3,numpy,100,25000,30,2,2.056322199990973,100,0.9901651055843023,0.007033752930764714
zcat2,nsgaii,nsgaii,4,numpy,100,25000,30,2,2.025867600023048,100,0.9908535678846386,0.006525575088178911
zcat2,nsgaii,nsgaii,5,numpy,100,25000,30,2,2.038152099994477,100,0.9913883674999524,0.006250818322612336
zcat2,nsgaii,nsgaii,6,numpy,100,25000,30,2,2.0605681000160985,100,0.9915985484449948,0.006020499927803348
zcat2,nsgaii,nsgaii,7,numpy,100,25000,30,2,2.033242000004975,100,0.9916609386803865,0.006027072638686768
zcat2,nsgaii,nsgaii,8,numpy,100,25000,30,2,2.07820739998715,100,0.9915627833031542,0.006102093106681312
zcat2,nsgaii,nsgaii,9,numpy,100,25000,30,2,2.0690121999941766,100,0.9908101196433972,0.006509782634349556
zcat2,nsgaii,nsgaii,10,numpy,100,25000,30,2,2.045963499986101,100,0.99073356504789,0.00654769737366552
zcat2,nsgaii,nsgaii,11,numpy,100,25000,30,2,2.0178446999925654,100,0.9905495474140166,0.006882166259627773
zcat2,nsgaii,nsgaii,12,numpy,100,25000,30,2,2.0093475000176113,100,0.9911397829383041,0.006366169991713325
zcat2,nsgaii,nsgaii,13,numpy,100,25000,30,2,2.169179999997141,100,0.990755716408925,0.0066302219546215116
zcat2,nsgaii,nsgaii,14,numpy,100,25000,30,2,2.102811599994311,100,0.9906692096973884,0.006569432464826081
zcat2,nsgaii,nsgaii,15,numpy,100,25000,30,2,2.028572700015502,100,0.9919889531618857,0.005655360893215315
zcat2,nsgaii,nsgaii,16,numpy,100,25000,30,2,2.0645167999900877,100,0.9917327966093469,0.005818212405658708
zcat2,nsgaii,nsgaii,17,numpy,100,25000,30,2,2.034963999991305,100,0.9913730538135391,0.006115487423070681
zcat2,nsgaii,nsgaii,18,numpy,100,25000,30,2,1.9622263999772258,100,0.9914622477203355,0.0060448282448533844
zcat2,nsgaii,nsgaii,19,numpy,100,25000,30,2,2.110076699987985,100,0.9919412773423041,0.005692240136950198
zcat2,nsgaii,nsgaii,20,numpy,100,25000,30,2,2.0106994999805465,100,0.9912682567709263,0.006222338329700299
zcat2,nsga2_farthest,nsga2-farthest,0,numpy,100,25000,30,2,18.745525799982715,100,0.993151932328597,0.0048503869515957344
zcat2,nsga2_farthest,nsga2-farthest,1,numpy,100,25000,30,2,19.508009999990463,100,0.9926900039368132,0.005244183600156469
zcat2,nsga2_farthest,nsga2-farthest,2,numpy,100,25000,30,2,20.228560599993216,100,0.9927882316370421,0.005188407607079565
zcat2,nsga2_farthest,nsga2-farthest,3,numpy,100,25000,30,2,20.398430600005668,100,0.9937527097814841,0.004538605607245148
zcat2,nsga2_farthest,nsga2-farthest,4,numpy,100,25000,30,2,20.748077700001886,100,0.9931093948086468,0.0049641795359739276
zcat2,nsga2_farthest,nsga2-farthest,5,numpy,100,25000,30,2,19.822061200015014,100,0.9925169255164789,0.00529165337831453
zcat2,nsga2_farthest,nsga2-farthest,6,numpy,100,25000,30,2,19.724141200014856,100,0.9934317259458139,0.004730201441156248
zcat2,nsga2_farthest,nsga2-farthest,7,numpy,100,25000,30,2,20.103314400010277,100,0.9926209260081884,0.005189924781868306
zcat2,nsga2_farthest,nsga2-farthest,8,numpy,100,25000,30,2,19.499160600011237,100,0.9928551615899445,0.0051456572678428075
