problem,algorithm,algorithm_label,runs,hv_mean,hv_std,hv_median,igd_plus_mean,igd_plus_std,igd_plus_median,runtime_seconds_mean,runtime_seconds_std,runtime_seconds_median
zcat1,nsgaii,nsgaii,21,0.9817278334092562,0.0007162560901753503,0.9817307523943808,0.007825542163304186,0.0003104723758130609,0.007839205899389287,1.3416642000028376,0.06551326555421998,1.3258697999990545
zcat1,nsga2_farthest,nsga2-farthest,21,0.9865370054551035,0.0008784544672612208,0.9863821445148856,0.0058324311290571815,0.00037386030724945234,0.005935769222232046,12.384079076193128,0.1344764060805085,12.396685900021112
zcat1,gces_nocomp,gces-noComp,21,0.9861347293897103,0.0007827098995767307,0.9862918347156521,0.006019390320063749,0.0003459370402792492,0.005978741317947302,6.288392223809968,1.44289669112081,5.529058599990094
zcat1,gces_nogeo,gces-noGeo,21,0.9834461536438963,0.0008680460330575076,0.9835636746011842,0.00746110850905981,0.0005585249819709181,0.007352343327468205,4.523529604763358,0.13049765955914236,4.555040300008841
zcat1,gces,gces,21,0.9834086942103346,0.001004172527181995,0.9834600502111897,0.007335215721646729,0.0004758137875987868,0.0072207997782721385,5.7027056142867965,0.20587385332644856,5.668868400010979
zcat10,nsgaii,nsgaii,21,0.9464530800048602,0.002844809212275811,0.9460069677075087,0.0035046055096680235,0.00018324491319263723,0.0034967039304578387,2.087198909521768,0.05868713568584757,2.1021086999971885
zcat10,nsga2_farthest,nsga2-farthest,21,0.9488403637843542,0.003919904844339555,0.9489842325690684,0.003370500473907998,0.00023411049396522806,0.003350542794050517,17.3882683000009,0.6617748715881242,17.382786800008034
zcat10,gces_nocomp,gces-noComp,21,0.9498826174757863,0.0030236588075499226,0.95027962580968,0.003332633744587792,0.00021842907778492435,0.003385291947991477,7.752477366664347,0.269193894175493,7.743109899980482
zcat10,gces_nogeo,gces-noGeo,21,0.9555449017420206,0.0031485746026274266,0.9560721766902548,0.0036170420310730274,0.0007942578954503685,0.003440514955902749,4.776535823812343,0.2985025185079657,4.736608000006527
zcat10,gces,gces,21,0.9555418292018765,0.002478016124376751,0.9554138922440139,0.0037230398286117903,0.0012227468156231578,0.0033918634644695056,5.791698028573245,0.2565191847393934,5.840695999999298
