problem,metric,higher_is_better,lhs_algorithm,lhs_label,rhs_algorithm,rhs_label,n_common_seeds,lhs_mean,lhs_median,rhs_mean,rhs_median,delta_mean,delta_median,lhs_seed_wins,seed_ties,rhs_seed_wins,lhs_both_metric_seed_wins,both_metric_seed_ties_or_mixed,rhs_both_metric_seed_wins,wilcoxon_p_value_raw,wilcoxon_p_value_holm,wilcoxon_significant_alpha
zcat1,hypervolume,True,nsga2_gapfill,nsga2-gapfill,nsgaii,nsgaii,21,0.9788222639384853,0.9802827831394655,0.9817278334092562,0.9817307523943808,-0.002905569470770919,-0.0014479692549153045,6,0,15,5,1,15,0.0010023117065429688,0.0038061141967773438,True
zcat1,igd_plus,False,nsga2_gapfill,nsga2-gapfill,nsgaii,nsgaii,21,0.009118881314525346,0.008284194556418645,0.007825542163304186,0.007839205899389287,0.0012933391512211598,0.00044498865702935833,5,0,16,5,1,15,0.0018587112426757812,0.004599571228027344,True
zcat1,hypervolume,True,nsga2_gapfill,nsga2-gapfill,gces,gces,21,0.9788222639384853,0.9802827831394655,0.9834086942103346,0.9834600502111897,-0.004586430271849351,-0.0031772670717241658,1,0,20,1,2,18,6.67572021484375e-06,0.00011348724365234375,True
zcat1,igd_plus,False,nsga2_gapfill,nsga2-gapfill,gces,gces,21,0.009118881314525346,0.008284194556418645,0.007335215721646729,0.0072207997782721385,0.0017836655928786162,0.001063394778146507,3,0,18,1,2,18,6.67572021484375e-05,0.0010013580322265625,True
zcat1,hypervolume,True,nsga2_gapfill,nsga2-gapfill,gces_nocomp,gces-noComp,21,0.9788222639384853,0.9802827831394655,0.9861347293897103,0.9862918347156521,-0.007312465451224992,-0.006009051576186586,0,0,21,0,0,21,9.5367431640625e-07,7.62939453125e-05,True
zcat1,igd_plus,False,nsga2_gapfill,nsga2-gapfill,gces_nocomp,gces-noComp,21,0.009118881314525346,0.008284194556418645,0.006019390320063749,0.005978741317947302,0.0030994909944615963,0.002305453238471343,0,0,21,0,0,21,9.5367431640625e-07,7.62939453125e-05,True
zcat1,hypervolume,True,nsga2_gapfill,nsga2-gapfill,gces_nogeo,gces-noGeo,21,0.9788222639384853,0.9802827831394655,0.9834461536438963,0.9835636746011842,-0.004623889705411055,-0.003280891461718727,0,0,21,0,1,20,9.5367431640625e-07,7.62939453125e-05,True
zcat1,igd_plus,False,nsga2_gapfill,nsga2-gapfill,gces_nogeo,gces-noGeo,21,0.009118881314525346,0.008284194556418645,0.00746110850905981,0.007352343327468205,0.0016577728054655355,0.0009318512289504402,1,0,20,0,1,20,8.392333984375e-05,0.0011749267578125,True
zcat10,hypervolume,True,nsga2_gapfill,nsga2-gapfill,nsgaii,nsgaii,21,0.88688039214874,0.8991035710780116,0.9464530800048602,0.9460069677075087,-0.05957268785612013,-0.04690339662949705,0,0,21,0,0,21,9.5367431640625e-07,7.62939453125e-05,True
zcat10,igd_plus,False,nsga2_gapfill,nsga2-gapfill,nsgaii,nsgaii,21,0.013298961732550886,0.009476240116900257,0.0035046055096680235,0.0034967039304578387,0.009794356222882862,0.0059795361864424185,0,0,21,0,0,21,9.5367431640625e-07,7.62939453125e-05,True
zcat10,hypervolume,True,nsga2_gapfill,nsga2-gapfill,gces,gces,21,0.88688039214874,0.8991035710780116,0.9555418292018765,0.9554138922440139,-0.06866143705313643,-0.05631032116600221,0,0,21,0,0,21,9.5367431640625e-07,7.62939453125e-05,True
zcat10,igd_plus,False,nsga2_gapfill,nsga2-gapfill,gces,gces,21,0.013298961732550886,0.009476240116900257,0.0037230398286117903,0.0033918634644695056,0.009575921903939095,0.006084376652430752,0,0,21,0,0,21,9.5367431640625e-07,7.62939453125e-05,True
zcat10,hypervolume,True,nsga2_gapfill,nsga2-gapfill,gces_nocomp,gces-noComp,21,0.88688039214874,0.8991035710780116,0.9498826174757863,0.95027962580968,-0.06300222532704625,-0.05117605473166831,0,0,21,0,0,21,9.5367431640625e-07,7.62939453125e-05,True
zcat10,igd_plus,False,nsga2_gapfill,nsga2-gapfill,gces_nocomp,gces-noComp,21,0.013298961732550886,0.009476240116900257,0.003332633744587792,0.003385291947991477,0.009966327987963094,0.00609094816890878,0,0,21,0,0,21,9.5367431640625e-07,7.62939453125e-05,True
zcat10,hypervolume,True,nsga2_gapfill,nsga2-gapfill,gces_nogeo,gces-noGeo,21,0.88688039214874,0.8991035710780116,0.9555449017420206,0.9560721766902548,-0.06866450959328052,-0.05696860561224315,0,0,21,0,1,20,9.5367431640625e-07,7.62939453125e-05,True
zcat10,igd_plus,False,nsga2_gapfill,nsga2-gapfill,gces_nogeo,gces-noGeo,21,0.013298961732550886,0.009476240116900257,0.0036170420310730274,0.003440514955902749,0.009681919701477859,0.006035725160997508,1,0,20,0,1,20,1.9073486328125e-06,7.62939453125e-05,True
