problem,algorithm,algorithm_label,seed,engine,pop_size,max_evaluations,n_var,n_obj,runtime_seconds,n_solutions,hypervolume,igd_plus
zcat1,nsgaii,nsgaii,0,numpy,100,25000,30,2,2.413564299999962,100,0.9820084644672317,0.007703137145352674
zcat1,nsgaii,nsgaii,1,numpy,100,25000,30,2,3.1523353000002317,100,0.9813261580962408,0.007956664709495508
zcat1,nsgaii,nsgaii,2,numpy,100,25000,30,2,2.8555386000007275,100,0.9810238895078867,0.008083635150300483
zcat1,nsgaii,nsgaii,3,numpy,100,25000,30,2,2.769670899999255,100,0.9829698933479948,0.00733772124177166
zcat1,nsgaii,nsgaii,4,numpy,100,25000,30,2,2.9273958000003404,100,0.982600902921259,0.007440491436637663
zcat1,nsgaii,nsgaii,5,numpy,100,25000,30,2,2.8090360999995028,100,0.9814409591938323,0.008082357323867518
zcat1,nsgaii,nsgaii,6,numpy,100,25000,30,2,3.4420758999995087,100,0.9806273550146046,0.008317054689534538
zcat1,nsgaii,nsgaii,7,numpy,100,25000,30,2,2.8280703999998877,100,0.9830382384203133,0.007264935090572375
zcat1,nsgaii,nsgaii,8,numpy,100,25000,30,2,2.8683398000002853,100,0.9818666221684059,0.007708929503823953
zcat1,nsgaii,nsgaii,9,numpy,100,25000,30,2,2.9903676000003543,100,0.9806647625094277,0.008313506674704858
zcat1,nsgaii,nsgaii,10,numpy,100,25000,30,2,3.0586672999997973,100,0.9812326117439631,0.007970482544293837
zcat1,nsgaii,nsgaii,11,numpy,100,25000,30,2,2.956405199999608,100,0.9822262129948971,0.0076019532217457735
zcat1,nsgaii,nsgaii,12,numpy,100,25000,30,2,2.877337300000363,100,0.9814834250992043,0.00804113698170928
zcat1,nsgaii,nsgaii,13,numpy,100,25000,30,2,2.9912592999999106,100,0.9819131113398375,0.00773253052139231
zcat1,nsgaii,nsgaii,14,numpy,100,25000,30,2,2.8034169000002294,100,0.9817307523943808,0.007839205899389287
zcat1,nsgaii,nsgaii,15,numpy,100,25000,30,2,2.847939799999949,100,0.9826177062540811,0.007411452661730761
zcat1,nsgaii,nsgaii,16,numpy,100,25000,30,2,2.708559400000013,100,0.9816988503229184,0.007860267370783294
zcat1,nsgaii,nsgaii,17,numpy,100,25000,30,2,2.8265355000003183,100,0.9819571363016919,0.007746442773738731
zcat1,nsgaii,nsgaii,18,numpy,100,25000,30,2,2.8033149000002595,100,0.981138920074042,0.008020833879748265
zcat1,nsgaii,nsgaii,19,numpy,100,25000,30,2,2.9053100999999515,100,0.9820693594149115,0.007640351268996076
zcat1,nsgaii,nsgaii,20,numpy,100,25000,30,2,2.81742899999972,100,0.9806491700072556,0.00826329533979907
zcat1,nsga2_gapfill,nsga2-gapfill,0,numpy,100,25000,30,2,19.457545399999617,100,0.9822181745639683,0.00783785830548385
zcat1,nsga2_gapfill,nsga2-gapfill,1,numpy,100,25000,30,2,18.92258099999981,100,0.9657651076794619,0.015436595085522165
zcat1,nsga2_gapfill,nsga2-gapfill,2,numpy,100,25000,30,2,19.472323400000278,100,0.9805316380841868,0.008181702512979257
zcat1,nsga2_gapfill,nsga2-gapfill,3,numpy,100,25000,30,2,18.818198200000552,100,0.97594161331356,0.010078133447469462
zcat1,nsga2_gapfill,nsga2-gapfill,4,numpy,100,25000,30,2,18.987018900000294,100,0.9822172186063046,0.007638499117444046
zcat1,nsga2_gapfill,nsga2-gapfill,5,numpy,100,25000,30,2,19.40604059999987,100,0.9798756340292902,0.00852219626459029
zcat1,nsga2_gapfill,nsga2-gapfill,6,numpy,100,25000,30,2,19.30355839999993,100,0.9781931578341806,0.01042963456238579
zcat1,nsga2_gapfill,nsga2-gapfill,7,numpy,100,25000,30,2,19.061463699999877,100,0.968775486599988,0.012837424433066937
zcat1,nsga2_gapfill,nsga2-gapfill,8,numpy,100,25000,30,2,18.65045420000024,100,0.9820129287746597,0.007672835419404364
zcat1,nsga2_gapfill,nsga2-gapfill,9,numpy,100,25000,30,2,19.787554999999884,100,0.9815419088260422,0.00774731278980096
