FUN,algorithm,arch_enabled,arch_final_size,archive_stats,engine,evals_stop,hv_final,hv_ref,hv_trace,igd_plus,max_evaluations,n_obj,nd_size,population_size,problem,refset_size,runtime_s,seed,seed_dir,stop_enabled,stop_triggered,suite,variant
C:\Users\nicor\Desktop\VAMOS\results\hv_archive_campaign_core\baseline\ZDT1\nsgaii\numpy\seed_1\FUN.csv,nsgaii,False,,,numpy,,1.0012209903729647,"[1.0499890257957956, 1.2762934017164116]",,0.0015924953676535183,40000,2,200,200,zdt1,1136,6.47658,1,C:\Users\nicor\Desktop\VAMOS\results\hv_archive_campaign_core\baseline\ZDT1\nsgaii\numpy\seed_1,False,False,ZDT,baseline
C:\Users\nicor\Desktop\VAMOS\results\hv_archive_campaign_core\baseline\ZDT1\nsgaii\numpy\seed_10\FUN.csv,nsgaii,False,,,numpy,,1.0012292161545453,"[1.0499890257957956, 1.2762934017164116]",,0.0015640691227347529,40000,2,200,200,zdt1,1136,6.6334,10,C:\Users\nicor\Desktop\VAMOS\results\hv_archive_campaign_core\baseline\ZDT1\nsgaii\numpy\seed_10,False,False,ZDT,baseline
C:\Users\nicor\Desktop\VAMOS\results\hv_archive_campaign_core\baseline\ZDT1\nsgaii\numpy\seed_2\FUN.csv,nsgaii,False,,,numpy,,1.0014372581857456,"[1.0499890257957956, 1.2762934017164116]",,0.0014626511409065344,40000,2,200,200,zdt1,1136,6.831899999999999,2,C:\Users\nicor\Desktop\VAMOS\results\hv_archive_campaign_core\baseline\ZDT1\nsgaii\numpy\seed_2,False,False,ZDT,baseline
C:\Users\nicor\Desktop\VAMOS\results\hv_archive_campaign_core\baseline\ZDT1\nsgaii\numpy\seed_3\FUN.csv,nsgaii,False,,,numpy,,1.0011116962206787,"[1.0499890257957956, 1.2762934017164116]",,0.0016613679181564176,40000,2,200,200,zdt1,1136,6.511979999999999,3,C:\Users\nicor\Desktop\VAMOS\results\hv_archive_campaign_core\baseline\ZDT1\nsgaii\numpy\seed_3,False,False,ZDT,baseline
C:\Users\nicor\Desktop\VAMOS\results\hv_archive_campaign_core\baseline\ZDT1\nsgaii\numpy\seed_4\FUN.csv,nsgaii,False,,,numpy,,1.001174802603442,"[1.0499890257957956, 1.2762934017164116]",,0.0016031760101116346,40000,2,200,200,zdt1,1136,6.62417,4,C:\Users\nicor\Desktop\VAMOS\results\hv_archive_campaign_core\baseline\ZDT1\nsgaii\numpy\seed_4,False,False,ZDT,baseline
C:\Users\nicor\Desktop\VAMOS\results\hv_archive_campaign_core\baseline\ZDT1\nsgaii\numpy\seed_5\FUN.csv,nsgaii,False,,,numpy,,1.0015115265659005,"[1.0499890257957956, 1.2762934017164116]",,0.0014318662554736255,40000,2,200,200,zdt1,1136,6.623279999999999,5,C:\Users\nicor\Desktop\VAMOS\results\hv_archive_campaign_core\baseline\ZDT1\nsgaii\numpy\seed_5,False,False,ZDT,baseline
C:\Users\nicor\Desktop\VAMOS\results\hv_archive_campaign_core\baseline\ZDT1\nsgaii\numpy\seed_6\FUN.csv,nsgaii,False,,,numpy,,1.0012194487268364,"[1.0499890257957956, 1.2762934017164116]",,0.0015700593836294873,40000,2,200,200,zdt1,1136,6.35859,6,C:\Users\nicor\Desktop\VAMOS\results\hv_archive_campaign_core\baseline\ZDT1\nsgaii\numpy\seed_6,False,False,ZDT,baseline
C:\Users\nicor\Desktop\VAMOS\results\hv_archive_campaign_core\baseline\ZDT1\nsgaii\numpy\seed_7\FUN.csv,nsgaii,False,,,numpy,,1.0012298497292744,"[1.0499890257957956, 1.2762934017164116]",,0.0015439796287303356,40000,2,200,200,zdt1,1136,6.43714,7,C:\Users\nicor\Desktop\VAMOS\results\hv_archive_campaign_core\baseline\ZDT1\nsgaii\numpy\seed_7,False,False,ZDT,baseline
C:\Users\nicor\Desktop\VAMOS\results\hv_archive_campaign_core\baseline\ZDT1\nsgaii\numpy\seed_8\FUN.csv,nsgaii,False,,,numpy,,1.0010379686531583,"[1.0499890257957956, 1.2762934017164116]",,0.0016744381497022613,40000,2,200,200,zdt1,1136,6.83221,8,C:\Users\nicor\Desktop\VAMOS\results\hv_archive_campaign_core\baseline\ZDT1\nsgaii\numpy\seed_8,False,False,ZDT,baseline
C:\Users\nicor\Desktop\VAMOS\results\hv_archive_campaign_core\baseline\ZDT1\nsgaii\numpy\seed_9\FUN.csv,nsgaii,False,,,numpy,,1.0010243570060908,"[1.0499890257957956, 1.2762934017164116]",,0.001696052088360619,40000,2,200,200,zdt1,1136,6.61858,9,C:\Users\nicor\Desktop\VAMOS\results\hv_archive_campaign_core\baseline\ZDT1\nsgaii\numpy\seed_9,False,False,ZDT,baseline
C:\Users\nicor\Desktop\VAMOS\results\hv_archive_campaign_core\baseline\ZDT2\nsgaii\numpy\seed_1\FUN.csv,nsgaii,False,,,numpy,,0.718154190857651,"[1.0499863482266287, 1.3250144460618791]",,0.0009973552195914437,40000,2,200,200,zdt2,345,6.84262,1,C:\Users\nicor\Desktop\VAMOS\results\hv_archive_campaign_core\baseline\ZDT2\nsgaii\numpy\seed_1,False,False,ZDT,baseline
C:\Users\nicor\Desktop\VAMOS\results\hv_archive_campaign_core\baseline\ZDT2\nsgaii\numpy\seed_2\FUN.csv,nsgaii,False,,,numpy,,0.7188608752432317,"[1.0499863482266287, 1.3250144460618791]",,0.000664031904616373,40000,2,200,200,zdt2,345,6.60311,2,C:\Users\nicor\Desktop\VAMOS\results\hv_archive_campaign_core\baseline\ZDT2\nsgaii\numpy\seed_2,False,False,ZDT,baseline
