experiment,problem,n_obj,n_var,pop_size,n_evals,seed,engine,timing_policy,runtime_seconds,runtime_per_eval,hypervolume
population,zdt4,2,10,50,50000,0,numpy,,4.875146300000779,9.750292600001557e-05,0.9806738156627818
population,zdt4,2,10,50,50000,0,numba,warm,5.5768379000001005,0.00011153675800000201,0.9816318499317983
population,zdt4,2,10,50,50000,1,numpy,,4.897561900001165,9.795123800002329e-05,0.980390896389714
population,zdt4,2,10,50,50000,1,numba,warm,5.469966699998622,0.00010939933399997244,0.98165853590378
population,zdt4,2,10,50,50000,2,numpy,,4.620007699999405,9.24001539999881e-05,0.9823550386789339
population,zdt4,2,10,50,50000,2,numba,warm,5.469524899999669,0.00010939049799999338,0.9777758035490576
population,zdt4,2,10,50,50000,3,numpy,,4.3794421999991755,8.758884399998351e-05,0.9805981902818874
population,zdt4,2,10,50,50000,3,numba,warm,3.5141948999989836,7.028389799997967e-05,0.9819970348525572
population,zdt4,2,10,50,50000,4,numpy,,5.02381349999996,0.0001004762699999992,0.9793454626353872
population,zdt4,2,10,50,50000,4,numba,warm,3.3810376999972505,6.7620753999945e-05,0.9809784062238056
population,zdt4,2,10,100,50000,0,numpy,,6.018089799999871,0.00012036179599999741,0.9880577716995824
population,zdt4,2,10,100,50000,0,numba,warm,3.0819991999997,6.1639983999994e-05,0.9902178568856105
population,zdt4,2,10,100,50000,1,numpy,,5.0432364999978745,0.00010086472999995748,0.9900732777468743
population,zdt4,2,10,100,50000,1,numba,warm,4.795033800000965,9.590067600001931e-05,0.9906151270491085
population,zdt4,2,10,100,50000,2,numpy,,5.878176100002747,0.00011756352200005494,0.9903104204317811
population,zdt4,2,10,100,50000,2,numba,warm,3.0123786000003747,6.0247572000007494e-05,0.9895542953256982
population,zdt4,2,10,100,50000,3,numpy,,5.035853700002917,0.00010071707400005835,0.9907999432820441
population,zdt4,2,10,100,50000,3,numba,warm,3.107695700000477,6.215391400000953e-05,0.9908505513618242
population,zdt4,2,10,100,50000,4,numpy,,4.989727500000299,9.979455000000599e-05,0.9890786591708449
population,zdt4,2,10,100,50000,4,numba,warm,3.206468500000483,6.412937000000966e-05,0.9898293236082916
population,zdt4,2,10,200,50000,0,numpy,,9.677235300001485,0.00019354470600002968,0.993918894923869
population,zdt4,2,10,200,50000,0,numba,warm,2.8335090999971726,5.6670181999943455e-05,0.9926213583906172
population,zdt4,2,10,200,50000,1,numpy,,14.311800700001186,0.00028623601400002373,0.995406400427364
population,zdt4,2,10,200,50000,1,numba,warm,4.528089899999031,9.056179799998063e-05,0.9924998516331516
population,zdt4,2,10,200,50000,2,numpy,,14.669830799997726,0.0002933966159999545,0.9943193623032271
population,zdt4,2,10,200,50000,2,numba,warm,2.8714665999978024,5.7429331999956046e-05,0.9941248838498493
population,zdt4,2,10,200,50000,3,numpy,,14.396373399998993,0.00028792746799997986,0.9930648905483247
population,zdt4,2,10,200,50000,3,numba,warm,2.8020039000002726,5.6040078000005454e-05,0.9944118653498724
population,zdt4,2,10,200,50000,4,numpy,,8.562250099999801,0.00017124500199999603,0.9948566744715399
population,zdt4,2,10,200,50000,4,numba,warm,5.2663269999975455,0.00010532653999995091,0.9950617211079151
population,zdt4,2,10,400,50000,0,numpy,,19.26426580000043,0.0003852853160000086,0.9933333829415963
population,zdt4,2,10,400,50000,0,numba,warm,2.791001400000823,5.582002800001647e-05,0.9842274644679022
population,zdt4,2,10,400,50000,1,numpy,,14.99463520000063,0.0002998927040000126,0.9662419990335179
population,zdt4,2,10,400,50000,1,numba,warm,2.6616147000022465,5.323229400004493e-05,0.9814780289531516
population,zdt4,2,10,400,50000,2,numpy,,14.77095140000165,0.000295419028000033,0.9931807556781079
population,zdt4,2,10,400,50000,2,numba,warm,2.7632805000030203,5.5265610000060406e-05,0.9887655214730642
population,zdt4,2,10,400,50000,3,numpy,,15.419670100000076,0.0003083934020000015,0.9910646186452706
population,zdt4,2,10,400,50000,3,numba,warm,3.035603100001026,6.0712062000020526e-05,0.9941910023005897
population,zdt4,2,10,400,50000,4,numpy,,18.493741800000862,0.0003698748360000172,0.9949202108503473
population,zdt4,2,10,400,50000,4,numba,warm,3.026583599999867,6.053167199999734e-05,0.9922542385143217
population,zdt4,2,10,800,50000,0,numpy,,28.933411800000613,0.0005786682360000122,0.3106700755175557
population,zdt4,2,10,800,50000,0,numba,warm,3.916125600000669,7.832251200001338e-05,0.03509308726762762
population,zdt4,2,10,800,50000,1,numpy,,29.712023399999453,0.000594240467999989,0.16118581532342827
population,zdt4,2,10,800,50000,1,numba,warm,6.3385884999988775,0.00012677176999997754,0.20055043249555826
population,zdt4,2,10,800,50000,2,numpy,,44.108826199997566,0.0008821765239999513,0.44944659484335037
