suite,host,problem,left_variant,right_variant,comparison_name,comparison_kind,hv_gap,runtime_ratio,reward_gap,igd_plus_gap,outcome
anchor,moead,dtlz2,adaptive_flat_operator,fixed_sbx,adaptive_flat_operator_vs_best_fixed,vs_best_fixed,0.10841720376814479,4.166298184824131,0.17437212944359315,0.09429549283496583,win
anchor,moead,dtlz2,adaptive_flat_parameter,fixed_sbx,adaptive_flat_parameter_vs_best_fixed,vs_best_fixed,0.030523288034304485,4.337875162256547,0.2370473605528524,0.012279693676850473,win
anchor,moead,dtlz2,adaptive_hierarchical_joint,fixed_sbx,adaptive_hierarchical_joint_vs_best_fixed,vs_best_fixed,0.08871983502804781,4.328071410661541,0.16805734111907472,0.10583411206094095,win
anchor,moead,dtlz2,adaptive_hierarchical_joint_fixed_family_de,fixed_sbx,adaptive_hierarchical_joint_fixed_family_de_vs_best_fixed,vs_best_fixed,0.04862596031345845,4.2392903059291855,0.15830405636130346,0.10941668478905986,win
anchor,moead,dtlz2,adaptive_hierarchical_joint_fixed_family_sbx,fixed_sbx,adaptive_hierarchical_joint_fixed_family_sbx_vs_best_fixed,vs_best_fixed,0.030523288034304485,4.234837766410403,0.2370473605528524,0.012279693676850473,win
anchor,moead,dtlz2,adaptive_hierarchical_joint_no_regime,fixed_sbx,adaptive_hierarchical_joint_no_regime_vs_best_fixed,vs_best_fixed,0.08871983502804781,4.119270403157268,0.16805734111907472,0.10583411206094095,win
anchor,moead,dtlz2,adaptive_hierarchical_joint,adaptive_flat_operator,hierarchical_vs_flat_operator,pairwise,-0.019697368740096977,1.0388290080692433,-0.006314788324518428,0.011538619225975127,loss
anchor,moead,dtlz2,adaptive_hierarchical_joint,adaptive_flat_parameter,hierarchical_vs_flat_parameter,pairwise,0.058196546993743326,0.9977399645613807,-0.06899001943377767,0.09355441838409048,win
anchor,moead,dtlz2,adaptive_hierarchical_joint,adaptive_hierarchical_joint_no_regime,hierarchical_vs_no_regime,pairwise,0.0,1.0506888325039878,0.0,0.0,tie
anchor,moead,dtlz2,adaptive_hierarchical_joint,adaptive_hierarchical_joint_fixed_family_sbx,hierarchical_vs_fixed_family_sbx,pairwise,0.058196546993743326,1.022015871538372,-0.06899001943377767,0.09355441838409048,win
anchor,moead,dtlz2,adaptive_hierarchical_joint,adaptive_hierarchical_joint_fixed_family_de,hierarchical_vs_fixed_family_de,pairwise,0.04009387471458936,1.0209424451560167,0.009753284757771263,-0.0035825727281189046,win
anchor,moead,dtlz2,adaptive_hierarchical_joint_fixed_family_sbx,adaptive_flat_parameter,fixed_family_sbx_vs_flat_parameter,pairwise,0.0,0.976247035243738,0.0,0.0,tie
anchor,moead,zdt1,adaptive_flat_operator,fixed_sbx,adaptive_flat_operator_vs_best_fixed,vs_best_fixed,0.2113503103941028,2.57402739807138,0.3454248631936945,0.0011362975620407,win
anchor,moead,zdt1,adaptive_flat_parameter,fixed_sbx,adaptive_flat_parameter_vs_best_fixed,vs_best_fixed,0.18896585084661055,2.63041494173726,0.33495476740293084,-0.04523738944645195,win
anchor,moead,zdt1,adaptive_hierarchical_joint,fixed_sbx,adaptive_hierarchical_joint_vs_best_fixed,vs_best_fixed,0.31755331120780195,2.6633160763192816,0.3027379380788521,-0.08300077838669434,win
