run_id,host,variant,variant_group,problem,seed,engine,population_size,max_evaluations,evaluations,time_ms,n_solutions,online_control_enabled,policy,credit_model,average_reward,average_bounded_reward,average_overhead_ms,family_switches,intent_switches,regime_switches,family_concentration,intent_concentration,regime_concentration,trace_steps,policy_state_available,profile_controller_time_ms,profile_start_step_time_ms,profile_router_time_ms,profile_policy_select_time_ms,profile_policy_update_time_ms,profile_trace_time_ms,profile_decode_time_ms,profile_variation_time_ms,profile_evaluation_time_ms,profile_survival_time_ms,profile_total_runtime_ms,family_share_sbx_like,family_share_de_like,regime_share_repair,regime_share_expand,regime_share_refine,intent_share_exploratory,intent_share_balanced,intent_share_local_refine,intent_share_mutation_heavy,intent_share_feasibility_biased,hv,hv_ref_point,igd_plus,policy_state_file
nsgaii__zdt1__fixed_sbx__seed0,nsgaii,fixed_sbx,fixed,zdt1,0,numpy,40,800,800,24.15359999577049,26,False,,,,,,0,0,0,1.0,,,0,False,,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2684076382442204,"[1.1, 3.8115023917328035]",0.3284569472290054,
nsgaii__zdt1__fixed_de__seed0,nsgaii,fixed_de,fixed,zdt1,0,numpy,40,800,800,24.16030000313185,38,False,,,,,,0,0,0,1.0,,,0,False,,,,,,,,,,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4217449571736176,"[1.1, 3.8115023917328035]",0.6434372001632725,
nsgaii__zdt1__adaptive_flat_operator__seed0,nsgaii,adaptive_flat_operator,adaptive,zdt1,0,numpy,40,800,800,43.99779999948805,21,True,adaptive_flat_operator,simple_improvement,0.2240770430633343,0.2240770430633343,0.33097368386255477,12,0,0,0.5678670360110804,1.0,1.0,19,True,0.8358999766642228,0.03740000101970509,0.02139998832717538,0.5512999778147787,0.1835000075516291,0.04230000195093453,1.206299988552928,4.451800006791018,0.548699994396884,11.336399991705548,43.80840000521857,0.3157894736842105,0.6842105263157895,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,3.472298570988219,"[1.1, 3.8115023917328035]",0.21624704268597444,policy_states\nsgaii__zdt1__adaptive_flat_operator__seed0.json
nsgaii__zdt1__adaptive_flat_parameter__seed0,nsgaii,adaptive_flat_parameter,adaptive,zdt1,0,numpy,40,800,800,46.256599998741876,21,True,adaptive_flat_parameter,simple_improvement,0.24548639616903944,0.24548639616903944,0.32422631691013903,0,17,2,1.0,0.24099722991689748,0.9002770083102491,19,True,0.7298999698832631,0.027999994927085936,0.013999997463542968,0.42830000893445686,0.21809997269883752,0.04149999585933983,0.9423999872524291,5.8668999845394865,0.48370001604780555,13.245199981611222,46.11339999974007,1.0,0.0,0.0,0.9473684210526315,0.05263157894736842,0.3684210526315789,0.15789473684210525,0.21052631578947367,0.10526315789473684,0.15789473684210525,3.13336541982678,"[1.1, 3.8115023917328035]",0.4477413839538004,policy_states\nsgaii__zdt1__adaptive_flat_parameter__seed0.json
nsgaii__zdt1__adaptive_hierarchical_joint__seed0,nsgaii,adaptive_hierarchical_joint,adaptive,zdt1,0,numpy,40,800,800,37.76970000035362,15,True,adaptive_hierarchical_joint,simple_improvement,0.2200584807270693,0.2200584807270693,0.2698263162624483,10,15,0,0.6121883656509695,0.20775623268698057,1.0,19,True,0.8410999798798002,0.022299980628304183,0.011100004485342652,0.5034999849158339,0.18950000958284363,0.11470000026747584,0.8079000108409673,4.102900027646683,0.42059997940668836,10.212600005615968,37.587000006169546,0.2631578947368421,0.7368421052631579,0.0,1.0,0.0,0.2631578947368421,0.21052631578947367,0.15789473684210525,0.21052631578947367,0.15789473684210525,3.222090315763324,"[1.1, 3.8115023917328035]",0.38173039972213,policy_states\nsgaii__zdt1__adaptive_hierarchical_joint__seed0.json
nsgaii__zdt1__adaptive_hierarchical_joint_no_regime__seed0,nsgaii,adaptive_hierarchical_joint_no_regime,adaptive,zdt1,0,numpy,40,800,800,44.51549999794224,15,True,adaptive_hierarchical_joint,simple_improvement,0.2200584807270693,0.2200584807270693,0.3479947362824245,10,15,0,0.6121883656509695,0.20775623268698057,1.0,19,True,0.9480999869992957,0.031199997465591878,0.017500009562354535,0.6440999859478325,0.21500000002561137,0.0402999939979054,1.1315999872749671,4.245000018272549,0.7749000214971602,12.846400008129422,44.37529999995604,0.2631578947368421,0.7368421052631579,0.0,1.0,0.0,0.2631578947368421,0.21052631578947367,0.15789473684210525,0.21052631578947367,0.15789473684210525,3.222090315763324,"[1.1, 3.8115023917328035]",0.38173039972213,policy_states\nsgaii__zdt1__adaptive_hierarchical_joint_no_regime__seed0.json
nsgaii__zdt1__adaptive_hierarchical_joint_fixed_family_sbx__seed0,nsgaii,adaptive_hierarchical_joint_fixed_family_sbx,adaptive,zdt1,0,numpy,40,800,800,40.32790000201203,21,True,adaptive_hierarchical_joint,simple_improvement,0.24548639616903944,0.24548639616903944,0.3120000006961881,0,17,2,1.0,0.24099722991689748,0.9002770083102491,19,True,0.9943000040948391,0.024900000425986946,0.012700002116616815,0.7540999940829352,0.16679998952895403,0.03580001794034615,1.2377999810269102,4.819500005396549,0.4808000157936476,11.205799972231034,40.12009999860311,1.0,0.0,0.0,0.9473684210526315,0.05263157894736842,0.3684210526315789,0.15789473684210525,0.21052631578947367,0.10526315789473684,0.15789473684210525,3.13336541982678,"[1.1, 3.8115023917328035]",0.4477413839538004,policy_states\nsgaii__zdt1__adaptive_hierarchical_joint_fixed_family_sbx__seed0.json
nsgaii__zdt1__adaptive_hierarchical_joint_fixed_family_de__seed0,nsgaii,adaptive_hierarchical_joint_fixed_family_de,adaptive,zdt1,0,numpy,40,800,800,43.32089999661548,12,True,adaptive_hierarchical_joint,simple_improvement,0.21139003171027634,0.21139003171027634,0.34825263260005923,0,15,2,1.0,0.2631578947368421,0.8116343490304709,19,True,0.7949000209919177,0.03169999399688095,0.016099998902063817,0.5038999952375889,0.20180000137770548,0.04140003147767857,1.1153000086778775,3.6599000013666227,0.5283999926177785,12.455399992177263,43.15420000057202,0.0,1.0,0.0,0.8947368421052632,0.10526315789473684,0.42105263157894735,0.15789473684210525,0.15789473684210525,0.10526315789473684,0.15789473684210525,3.0382556200583912,"[1.1, 3.8115023917328035]",0.4668940344167257,policy_states\nsgaii__zdt1__adaptive_hierarchical_joint_fixed_family_de__seed0.json
nsgaii__zdt1__fixed_sbx__seed1,nsgaii,fixed_sbx,fixed,zdt1,1,numpy,40,800,800,24.363000004086643,18,False,,,,,,0,0,0,1.0,,,0,False,,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1455001908145084,"[1.1, 3.8115023917328035]",0.4751867458723228,
nsgaii__zdt1__fixed_de__seed1,nsgaii,fixed_de,fixed,zdt1,1,numpy,40,800,800,23.435600000084378,37,False,,,,,,0,0,0,1.0,,,0,False,,,,,,,,,,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4711123971306774,"[1.1, 3.8115023917328035]",0.6775342076400982,
