host,problem,variant,variant_group,n_runs,mean_hv,mean_igd_plus,mean_time_ms,mean_average_reward,mean_average_overhead_ms,mean_family_concentration,mean_regime_concentration,mean_intent_concentration,mean_family_switches,mean_intent_switches,mean_regime_switches,mean_profile_controller_time_ms,mean_profile_start_step_time_ms,mean_profile_router_time_ms,mean_profile_policy_select_time_ms,mean_profile_policy_update_time_ms,mean_profile_trace_time_ms,mean_profile_decode_time_ms,mean_profile_variation_time_ms,mean_profile_evaluation_time_ms,mean_profile_survival_time_ms,mean_profile_total_runtime_ms,mean_family_share_sbx_like,mean_family_share_de_like,mean_regime_share_repair,mean_regime_share_expand,mean_regime_share_refine,mean_intent_share_exploratory,mean_intent_share_balanced,mean_intent_share_local_refine,mean_intent_share_mutation_heavy,mean_intent_share_feasibility_biased,comparison_to_baseline,hv_delta_vs_baseline,runtime_ratio_vs_baseline
moead,dtlz2,adaptive_flat_operator,adaptive,5,12.310646167297222,0.21991042760011306,596.0116199988988,0.17437212944359315,0.2775047368547683,0.8741779778393353,1.0,1.0,60.4,0.0,0.0,22.99453998421086,0.8948200498707592,0.4437600073288195,14.167980027559679,6.082839988812339,1.4051399106392637,36.4281800124445,83.53787998930784,32.232760029728524,200.9574799973052,595.4046200000448,0.06973684210526315,0.9302631578947368,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,win,0.3544129768468185,3.909508579083347
moead,dtlz2,adaptive_flat_parameter,adaptive,5,12.232752251563381,0.1378946284419977,620.5566399992676,0.2370473605528524,0.3093790262688631,1.0,1.0,0.39844182825484764,0.0,275.4,0.0,24.840019992552698,0.9197799561661668,0.4575200437102467,15.639499976532534,6.329600048775319,1.4936199673684314,56.985999988683034,76.21208002819913,32.87984003400197,205.41603998863138,619.8184000008041,1.0,0.0,0.0,1.0,0.0,0.4652631578947369,0.057105263157894735,0.042105263157894736,0.3963157894736842,0.03921052631578947,win,0.2765190611129782,4.070510417043136
moead,dtlz2,adaptive_hierarchical_joint,adaptive,5,12.290948798557125,0.2314490468260882,619.1541600011988,0.16805734111907472,0.3023600263718675,0.8819106648199446,1.0,0.31443905817174517,58.4,347.0,0.0,30.79366011370439,0.8949799870606512,0.49750004545785487,20.563520035648253,7.313080002495553,1.5245800430420786,47.74102000083076,83.9495399952284,32.115660060662776,202.5065799985896,618.402739999874,0.06342105263157895,0.936578947368421,0.0,1.0,0.0,0.3844736842105263,0.09210526315789473,0.09842105263157894,0.35368421052631577,0.07131578947368421,win,0.3347156081067215,4.061310919247349
moead,dtlz2,adaptive_hierarchical_joint_fixed_family_de,adaptive,5,12.250854923842535,0.2350316195542071,606.453540000075,0.15830405636130346,0.28223915793013904,1.0,1.0,0.3707112188365651,0.0,316.0,0.0,25.274519981758203,0.9131799801252782,0.44203997967997566,15.767319993756246,6.651599981705658,1.5003800464910455,35.46213998779422,85.9497000448755,32.26665998226963,203.30917994433548,605.7521400012774,0.0,1.0,0.0,1.0,0.0,0.2786842105263158,0.07868421052631579,0.07210526315789474,0.4734210526315789,0.09710526315789474,win,0.29462173339213216,3.9780018340081007
moead,dtlz2,adaptive_hierarchical_joint_fixed_family_sbx,adaptive,5,12.232752251563381,0.1378946284419977,605.8165800001007,0.2370473605528524,0.29645205264961605,1.0,1.0,0.39844182825484764,0.0,275.4,0.0,24.92424003285123,0.9268400302971713,0.4377800185466185,15.647740005806554,6.511179986409843,1.4006999917910434,51.97846001101425,75.52181994105922,32.047039999451954,203.48961990966927,605.0590200029546,1.0,0.0,0.0,1.0,0.0,0.4652631578947369,0.057105263157894735,0.042105263157894736,0.3963157894736842,0.03921052631578947,win,0.2765190611129782,3.973823726567113
moead,dtlz2,adaptive_hierarchical_joint_no_regime,adaptive,5,12.290948798557125,0.2314490468260882,589.2840400003479,0.16805734111907472,0.27767197367977225,0.8819106648199446,1.0,0.31443905817174517,58.4,347.0,0.0,30.24772012140602,0.8662999898660928,0.33370002929586917,20.447340059035923,7.190640023327433,1.4097400198807009,35.595120026846416,82.3887000180548,31.348140016780235,195.31288001890061,588.5623400012264,0.06342105263157895,0.936578947368421,0.0,1.0,0.0,0.3844736842105263,0.09210526315789473,0.09842105263157894,0.35368421052631577,0.07131578947368421,win,0.3347156081067215,3.8653793526752223
moead,dtlz2,fixed_de,fixed,5,11.956233190450403,0.2653698095277989,152.4518000005628,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,baseline,0.0,1.0
moead,dtlz2,fixed_sbx,fixed,5,12.202228963529077,0.12561493476514723,143.05543999944348,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,win,0.2459957730786737,0.9383650438952861
moead,zdt1,adaptive_flat_operator,adaptive,5,2.8292720173796106,0.5554990430860823,582.1654599989415,0.3454248631936945,0.2825802104665567,0.882016620498615,0.982986842105263,1.0,42.8,0.0,4.0,22.146899880317505,0.9064200217835605,0.43049992236774415,13.463360004243441,5.98124001553515,1.3653799163876101,34.33392002916662,80.91614004370058,15.879879968997557,205.058420021669,581.701780000003,0.06315789473684211,0.9368421052631579,0.0,0.9913157894736842,0.008684210526315789,0.0,1.0,0.0,0.0,0.0,win,0.8080895060938214,4.419363242904953
moead,zdt1,adaptive_flat_parameter,adaptive,5,2.8068875578321184,0.5091253560775897,594.9185800011037,0.33495476740293084,0.29697665791325945,1.0,1.0,0.4279785318559556,0.0,177.2,0.0,23.292460026277695,0.8648200120660476,0.4243599803885445,14.496820011117961,6.0423600021749735,1.464100020530168,40.33696002152283,72.76807997113792,16.132980008842424,208.21011997031746,594.2175199976191,1.0,0.0,0.0,1.0,0.0,0.5163157894736842,0.05394736842105263,0.05184210526315789,0.34157894736842104,0.03631578947368421,win,0.7857050465463291,4.516175358433095
moead,zdt1,adaptive_hierarchical_joint,adaptive,5,2.93547501819331,0.4713619671373473,602.3597999985213,0.3027379380788521,0.2946711579658624,0.8446488919667591,0.9721419667590029,0.4036731301939058,57.2,199.0,6.8,30.15391998778796,0.8849000238114968,0.4215600303723477,20.33459991653217,7.116380054503679,1.3964799625682645,34.49541990412399,83.24365997104906,16.081159918394405,208.8494999872637,601.6488799999934,0.08657894736842106,0.913421052631579,0.0,0.9855263157894736,0.014473684210526316,0.49526315789473685,0.06394736842105263,0.07026315789473683,0.32394736842105265,0.04657894736842105,win,0.9142925069075205,4.572663515836004
moead,zdt1,adaptive_hierarchical_joint_fixed_family_de,adaptive,5,3.0030015977050692,0.39500598037419693,611.5601199999219,0.31827401173661046,0.29986823689557096,1.0,0.95729432132964,0.434036703601108,0.0,177.0,11.2,24.489360048028175,0.9089599741855636,0.44543998810695484,15.309280018846039,6.431440044252668,1.39424002263695,38.83272003440652,82.69163999357261,16.112939950835425,212.604399988777,610.979459999362,0.0,1.0,0.0,0.9776315789473685,0.02236842105263158,0.5478947368421052,0.049736842105263156,0.06342105263157895,0.29789473684210527,0.04105263157894737,win,0.98181908641928,4.642505440221601
