host,problem,variant,variant_group,dominant_family_share,dominant_regime_share,dominant_intent_share,family_concentration,regime_concentration,intent_concentration,family_entropy,regime_entropy,intent_entropy,mean_family_switches,mean_regime_switches,mean_intent_switches
moead,dtlz2,adaptive_flat_operator,adaptive,0.8928947368421053,1.0,1.0,0.8171419667590027,1.0,1.0,0.34042006192815366,-0.0,-0.0,84.1,0.0,0.0
moead,dtlz2,adaptive_flat_parameter,adaptive,1.0,1.0,0.5107894736842106,1.0,1.0,0.4196385041551246,-0.0,-0.0,1.1562459399224014,0.0,0.0,272.5
moead,dtlz2,adaptive_hierarchical_joint,adaptive,0.9163157894736841,1.0,0.37973684210526315,0.848882271468144,1.0,0.323518351800554,0.2876765450021983,-0.0,1.3658495951195153,73.2,0.0,356.4
moead,dtlz2,fixed_de,fixed,1.0,0.0,0.0,1.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
moead,dtlz2,fixed_sbx,fixed,1.0,0.0,0.0,1.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
moead,zdt1,adaptive_flat_operator,adaptive,0.9203947368421053,0.99,1.0,0.8550682132963988,0.9804993074792243,1.0,0.2778042272783393,0.056001534354847345,-0.0,46.8,5.0,0.0
moead,zdt1,adaptive_flat_parameter,adaptive,1.0,0.9996052631578948,0.5457894736842105,1.0,0.9992136426592797,0.4250488227146814,-0.0,0.00348832651705678,1.1313202575816923,0.0,0.2,183.9
moead,zdt1,adaptive_hierarchical_joint,adaptive,0.9246052631578948,0.9809210526315789,0.4818421052631579,0.8630986842105264,0.9633057479224376,0.38900346260387814,0.26737504165532777,0.09443256753516899,1.2203323503373733,49.6,9.2,205.8
moead,zdt1,fixed_de,fixed,1.0,0.0,0.0,1.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
moead,zdt1,fixed_sbx,fixed,1.0,0.0,0.0,1.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
moead,zdt2,adaptive_flat_operator,adaptive,0.9352631578947369,0.9953947368421053,1.0,0.881049861495845,0.9909567174515235,1.0,0.2398069102378882,0.02937351646849984,-0.0,43.2,2.4,0.0
moead,zdt2,adaptive_flat_parameter,adaptive,1.0,1.0,0.5256578947368421,1.0,1.0,0.4521035318559557,-0.0,-0.0,1.0745416852549834,0.0,0.0,169.8
moead,zdt2,adaptive_hierarchical_joint,adaptive,0.9181578947368422,0.9928947368421053,0.5213157894736843,0.8515145429362881,0.986095567867036,0.3915986842105263,0.2832455391385832,0.04222912550198759,1.1662475213184778,51.0,3.4,220.9
moead,zdt2,fixed_de,fixed,1.0,0.0,0.0,1.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
moead,zdt2,fixed_sbx,fixed,1.0,0.0,0.0,1.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
moead,zdt3,adaptive_flat_operator,adaptive,0.8996052631578948,0.9813157894736841,1.0,0.8205765235457063,0.9641842105263159,1.0,0.3259494342419685,0.09287314993638347,-0.0,61.1,8.9,0.0
moead,zdt3,adaptive_flat_parameter,adaptive,1.0,1.0,0.5242105263157895,1.0,1.0,0.4560789473684211,-0.0,-0.0,1.1424940587710535,0.0,0.0,178.7
moead,zdt3,adaptive_hierarchical_joint,adaptive,0.8821052631578947,0.9868421052631579,0.47697368421052627,0.7951835180055402,0.9744155124653741,0.3804920360110803,0.36270930902718007,0.07005428087549845,1.2409482459925965,64.2,7.2,219.8
moead,zdt3,fixed_de,fixed,1.0,0.0,0.0,1.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
moead,zdt3,fixed_sbx,fixed,1.0,0.0,0.0,1.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
nsgaii,dtlz2,adaptive_flat_operator,adaptive,0.7578947368421052,1.0,1.0,0.6354570637119114,1.0,1.0,0.5534944964897364,-0.0,-0.0,8.8,0.0,0.0
nsgaii,dtlz2,adaptive_flat_parameter,adaptive,1.0,0.6578947368421052,0.3052631578947368,1.0,0.6066481994459834,0.24099722991689748,-0.0,0.6424220210762542,1.5445703503890036,0.0,1.8,15.1
nsgaii,dtlz2,adaptive_hierarchical_joint,adaptive,0.7578947368421052,1.0,0.3052631578947368,0.6343490304709141,1.0,0.22105263157894733,0.5534944964897364,-0.0,1.5647727291566262,9.2,0.0,14.4
nsgaii,dtlz2,fixed_de,fixed,1.0,0.0,0.0,1.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
nsgaii,dtlz2,fixed_sbx,fixed,1.0,0.0,0.0,1.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
nsgaii,zdt1,adaptive_flat_operator,adaptive,0.7052631578947368,0.9473684210526315,1.0,0.5867036011080332,0.9091412742382271,1.0,0.6063386622942205,0.20619205063323187,-0.0,9.9,1.0,0.0
nsgaii,zdt1,adaptive_flat_parameter,adaptive,1.0,0.9631578947368421,0.34736842105263155,1.0,0.9313019390581717,0.2293628808864266,-0.0,0.15777492998486917,1.5493684160067729,0.0,1.2,16.1
nsgaii,zdt1,adaptive_hierarchical_joint,adaptive,0.7,0.9421052631578947,0.34736842105263155,0.5811634349030471,0.8991689750692521,0.2293628808864266,0.6108643020548935,0.221135086653764,1.5505418283188956,9.4,1.0,14.0
nsgaii,zdt1,fixed_de,fixed,1.0,0.0,0.0,1.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
