metric,scope,value,details,problem,host,variant
best_fixed_winner_variability,overall,1.0,"{""cases"": 8, ""winners"": [""fixed_sbx""]}",,,
adaptive_winner_variability,overall,2.0,"{""cases"": 8, ""winners"": [""adaptive_flat_operator"", ""adaptive_hierarchical_joint""]}",,,
host_dependent_adaptive_winner,problem,0.0,"{""winners"": [""adaptive_flat_operator""]}",dtlz2,,
host_dependent_adaptive_winner,problem,0.0,"{""winners"": [""adaptive_hierarchical_joint""]}",zdt1,,
host_dependent_adaptive_winner,problem,0.0,"{""winners"": [""adaptive_hierarchical_joint""]}",zdt2,,
host_dependent_adaptive_winner,problem,0.0,"{""winners"": [""adaptive_hierarchical_joint""]}",zdt3,,
phase_family_shift_tvd,run_group,0.08705574508959624,,dtlz2,moead,adaptive_flat_operator
phase_intent_shift_tvd,run_group,0.0,,dtlz2,moead,adaptive_flat_operator
phase_reward_range,run_group,0.23338782772266004,,dtlz2,moead,adaptive_flat_operator
phase_family_shift_tvd,run_group,0.0,,dtlz2,moead,adaptive_flat_parameter
phase_intent_shift_tvd,run_group,0.07662217217051438,,dtlz2,moead,adaptive_flat_parameter
phase_reward_range,run_group,0.19009680827279707,,dtlz2,moead,adaptive_flat_parameter
phase_family_shift_tvd,run_group,0.06635752376536053,,dtlz2,moead,adaptive_hierarchical_joint
phase_intent_shift_tvd,run_group,0.17205955417177304,,dtlz2,moead,adaptive_hierarchical_joint
phase_reward_range,run_group,0.2243088265867632,,dtlz2,moead,adaptive_hierarchical_joint
phase_family_shift_tvd,run_group,0.1442217879500513,,zdt1,moead,adaptive_flat_operator
phase_intent_shift_tvd,run_group,0.0,,zdt1,moead,adaptive_flat_operator
phase_reward_range,run_group,0.02264354160703924,,zdt1,moead,adaptive_flat_operator
phase_family_shift_tvd,run_group,0.0,,zdt1,moead,adaptive_flat_parameter
phase_intent_shift_tvd,run_group,0.13647610214964725,,zdt1,moead,adaptive_flat_parameter
phase_reward_range,run_group,0.0855855292797234,,zdt1,moead,adaptive_flat_parameter
phase_family_shift_tvd,run_group,0.09128713855122385,,zdt1,moead,adaptive_hierarchical_joint
phase_intent_shift_tvd,run_group,0.3352505713623265,,zdt1,moead,adaptive_hierarchical_joint
phase_reward_range,run_group,0.07847839853428362,,zdt1,moead,adaptive_hierarchical_joint
phase_family_shift_tvd,run_group,0.10799244808055378,,zdt2,moead,adaptive_flat_operator
phase_intent_shift_tvd,run_group,0.0,,zdt2,moead,adaptive_flat_operator
phase_reward_range,run_group,0.03159864204095836,,zdt2,moead,adaptive_flat_operator
phase_family_shift_tvd,run_group,0.0,,zdt2,moead,adaptive_flat_parameter
phase_intent_shift_tvd,run_group,0.19423172468616473,,zdt2,moead,adaptive_flat_parameter
phase_reward_range,run_group,0.05590648724171515,,zdt2,moead,adaptive_flat_parameter
phase_family_shift_tvd,run_group,0.0794392368586665,,zdt2,moead,adaptive_hierarchical_joint
phase_intent_shift_tvd,run_group,0.19546056771885661,,zdt2,moead,adaptive_hierarchical_joint
phase_reward_range,run_group,0.06990066393198002,,zdt2,moead,adaptive_hierarchical_joint
phase_family_shift_tvd,run_group,0.10398463118147794,,zdt3,moead,adaptive_flat_operator
phase_intent_shift_tvd,run_group,0.0,,zdt3,moead,adaptive_flat_operator
phase_reward_range,run_group,0.07499667199452487,,zdt3,moead,adaptive_flat_operator
phase_family_shift_tvd,run_group,0.0,,zdt3,moead,adaptive_flat_parameter
phase_intent_shift_tvd,run_group,0.10600013248981487,,zdt3,moead,adaptive_flat_parameter
phase_reward_range,run_group,0.10020182554888163,,zdt3,moead,adaptive_flat_parameter
phase_family_shift_tvd,run_group,0.14169288860918816,,zdt3,moead,adaptive_hierarchical_joint
phase_intent_shift_tvd,run_group,0.3339869497532377,,zdt3,moead,adaptive_hierarchical_joint
phase_reward_range,run_group,0.09801790202336949,,zdt3,moead,adaptive_hierarchical_joint
phase_family_shift_tvd,run_group,0.16666666666666669,,dtlz2,nsgaii,adaptive_flat_operator
phase_intent_shift_tvd,run_group,0.0,,dtlz2,nsgaii,adaptive_flat_operator
phase_reward_range,run_group,0.0697113968484876,,dtlz2,nsgaii,adaptive_flat_operator
phase_family_shift_tvd,run_group,0.0,,dtlz2,nsgaii,adaptive_flat_parameter
phase_intent_shift_tvd,run_group,0.11666666666666667,,dtlz2,nsgaii,adaptive_flat_parameter
phase_reward_range,run_group,0.06881836712016007,,dtlz2,nsgaii,adaptive_flat_parameter
phase_family_shift_tvd,run_group,0.16666666666666669,,dtlz2,nsgaii,adaptive_hierarchical_joint
phase_intent_shift_tvd,run_group,0.2833333333333333,,dtlz2,nsgaii,adaptive_hierarchical_joint
phase_reward_range,run_group,0.08457429446435553,,dtlz2,nsgaii,adaptive_hierarchical_joint
phase_family_shift_tvd,run_group,0.10000000000000003,,zdt1,nsgaii,adaptive_flat_operator
phase_intent_shift_tvd,run_group,0.0,,zdt1,nsgaii,adaptive_flat_operator
phase_reward_range,run_group,0.028004809581641282,,zdt1,nsgaii,adaptive_flat_operator
phase_family_shift_tvd,run_group,0.0,,zdt1,nsgaii,adaptive_flat_parameter
phase_intent_shift_tvd,run_group,0.033333333333333326,,zdt1,nsgaii,adaptive_flat_parameter
phase_reward_range,run_group,0.01854879951397853,,zdt1,nsgaii,adaptive_flat_parameter
phase_family_shift_tvd,run_group,0.16666666666666669,,zdt1,nsgaii,adaptive_hierarchical_joint
phase_intent_shift_tvd,run_group,0.3666666666666667,,zdt1,nsgaii,adaptive_hierarchical_joint
phase_reward_range,run_group,0.04278256461420274,,zdt1,nsgaii,adaptive_hierarchical_joint
phase_family_shift_tvd,run_group,0.15000000000000002,,zdt2,nsgaii,adaptive_flat_operator
phase_intent_shift_tvd,run_group,0.0,,zdt2,nsgaii,adaptive_flat_operator
phase_reward_range,run_group,0.022671010799184516,,zdt2,nsgaii,adaptive_flat_operator
phase_family_shift_tvd,run_group,0.0,,zdt2,nsgaii,adaptive_flat_parameter
phase_intent_shift_tvd,run_group,0.06666666666666668,,zdt2,nsgaii,adaptive_flat_parameter
phase_reward_range,run_group,0.019356735705667982,,zdt2,nsgaii,adaptive_flat_parameter
phase_family_shift_tvd,run_group,0.11666666666666667,,zdt2,nsgaii,adaptive_hierarchical_joint
phase_intent_shift_tvd,run_group,0.35,,zdt2,nsgaii,adaptive_hierarchical_joint
phase_reward_range,run_group,0.024365335861593784,,zdt2,nsgaii,adaptive_hierarchical_joint
phase_family_shift_tvd,run_group,0.09999999999999998,,zdt3,nsgaii,adaptive_flat_operator
phase_intent_shift_tvd,run_group,0.0,,zdt3,nsgaii,adaptive_flat_operator
phase_reward_range,run_group,0.04325306950774496,,zdt3,nsgaii,adaptive_flat_operator
phase_family_shift_tvd,run_group,0.0,,zdt3,nsgaii,adaptive_flat_parameter
phase_intent_shift_tvd,run_group,0.06666666666666667,,zdt3,nsgaii,adaptive_flat_parameter
phase_reward_range,run_group,0.032396396171694125,,zdt3,nsgaii,adaptive_flat_parameter
phase_family_shift_tvd,run_group,0.20000000000000004,,zdt3,nsgaii,adaptive_hierarchical_joint
phase_intent_shift_tvd,run_group,0.33333333333333337,,zdt3,nsgaii,adaptive_hierarchical_joint
phase_reward_range,run_group,0.054766819946076684,,zdt3,nsgaii,adaptive_hierarchical_joint
