run_id,host,variant,variant_group,problem,seed,engine,population_size,max_evaluations,evaluations,time_ms,n_solutions,online_control_enabled,policy,credit_model,average_reward,average_bounded_reward,average_overhead_ms,family_switches,intent_switches,regime_switches,family_concentration,intent_concentration,regime_concentration,trace_steps,policy_state_available,family_share_sbx_like,family_share_de_like,regime_share_repair,regime_share_expand,regime_share_refine,intent_share_exploratory,intent_share_balanced,intent_share_local_refine,intent_share_mutation_heavy,intent_share_feasibility_biased,hv,hv_ref_point,igd_plus,policy_state_file
nsgaii__zdt1__fixed_sbx__seed0,nsgaii,fixed_sbx,fixed,zdt1,0,numpy,40,800,800,21.701399935409427,26,False,,,,,,0,0,0,1.0,,,0,False,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8271367863281234,"[1.1, 4.319756293365375]",0.3284569472290054,
nsgaii__zdt1__fixed_de__seed0,nsgaii,fixed_de,fixed,zdt1,0,numpy,40,800,800,28.279699967242777,38,False,,,,,,0,0,0,1.0,,,0,False,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.980824248969445,"[1.1, 4.319756293365375]",0.6434372001632725,
nsgaii__zdt1__adaptive_flat_operator__seed0,nsgaii,adaptive_flat_operator,adaptive,zdt1,0,numpy,40,800,800,33.43000006861985,21,True,adaptive_flat_operator,simple_improvement,0.2240770430633343,0.2240770430633343,0.25902105201231806,12,0,0,0.5678670360110804,1.0,1.0,19,True,0.3157894736842105,0.6842105263157895,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,4.031377862784046,"[1.1, 4.319756293365375]",0.21624704268597444,policy_states\nsgaii__zdt1__adaptive_flat_operator__seed0.json
nsgaii__zdt1__adaptive_flat_parameter__seed0,nsgaii,adaptive_flat_parameter,adaptive,zdt1,0,numpy,40,800,800,34.86619994509965,21,True,adaptive_flat_parameter,simple_improvement,0.24548639616903944,0.24548639616903944,0.24765264855599717,0,17,2,1.0,0.24099722991689748,0.9002770083102491,19,True,1.0,0.0,0.0,0.9473684210526315,0.05263157894736842,0.3684210526315789,0.15789473684210525,0.21052631578947367,0.10526315789473684,0.15789473684210525,3.6922497445320226,"[1.1, 4.319756293365375]",0.4477413839538004,policy_states\nsgaii__zdt1__adaptive_flat_parameter__seed0.json
nsgaii__zdt1__adaptive_hierarchical_joint__seed0,nsgaii,adaptive_hierarchical_joint,adaptive,zdt1,0,numpy,40,800,800,33.16089999862015,15,True,adaptive_hierarchical_joint,simple_improvement,0.2200584807270693,0.2200584807270693,0.24094737110365377,10,15,0,0.6121883656509695,0.20775623268698057,1.0,19,True,0.2631578947368421,0.7368421052631579,0.0,1.0,0.0,0.2631578947368421,0.21052631578947367,0.15789473684210525,0.21052631578947367,0.15789473684210525,3.781169607559153,"[1.1, 4.319756293365375]",0.38173039972213,policy_states\nsgaii__zdt1__adaptive_hierarchical_joint__seed0.json
nsgaii__zdt1__fixed_sbx__seed1,nsgaii,fixed_sbx,fixed,zdt1,1,numpy,40,800,800,29.346699942834675,18,False,,,,,,0,0,0,1.0,,,0,False,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.70457734762305,"[1.1, 4.319756293365375]",0.4751867458723228,
nsgaii__zdt1__fixed_de__seed1,nsgaii,fixed_de,fixed,zdt1,1,numpy,40,800,800,23.85860006324947,37,False,,,,,,0,0,0,1.0,,,0,False,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.030191688926506,"[1.1, 4.319756293365375]",0.6775342076400982,
nsgaii__zdt1__adaptive_flat_operator__seed1,nsgaii,adaptive_flat_operator,adaptive,zdt1,1,numpy,40,800,800,40.024699992500246,18,True,adaptive_flat_operator,simple_improvement,0.22850612054213018,0.22850612054213018,0.31853683513442155,6,0,2,0.5678670360110804,1.0,0.6675900277008311,19,True,0.3157894736842105,0.6842105263157895,0.0,0.7894736842105263,0.21052631578947367,0.0,1.0,0.0,0.0,0.0,3.975786196368747,"[1.1, 4.319756293365375]",0.24654029351452433,policy_states\nsgaii__zdt1__adaptive_flat_operator__seed1.json
nsgaii__zdt1__adaptive_flat_parameter__seed1,nsgaii,adaptive_flat_parameter,adaptive,zdt1,1,numpy,40,800,800,38.08730002492666,18,True,adaptive_flat_parameter,simple_improvement,0.23800540476119159,0.23800540476119159,0.30636316238853495,0,16,2,1.0,0.23545706371191133,0.9002770083102491,19,True,1.0,0.0,0.0,0.9473684210526315,0.05263157894736842,0.3684210526315789,0.15789473684210525,0.15789473684210525,0.15789473684210525,0.15789473684210525,3.847030731721528,"[1.1, 4.319756293365375]",0.3417889950753126,policy_states\nsgaii__zdt1__adaptive_flat_parameter__seed1.json
nsgaii__zdt1__adaptive_hierarchical_joint__seed1,nsgaii,adaptive_hierarchical_joint,adaptive,zdt1,1,numpy,40,800,800,36.934099975042045,25,True,adaptive_hierarchical_joint,simple_improvement,0.21904769809027952,0.21904769809027952,0.29247895642918975,12,15,0,0.5678670360110804,0.23545706371191133,1.0,19,True,0.3157894736842105,0.6842105263157895,0.0,1.0,0.0,0.3684210526315789,0.15789473684210525,0.15789473684210525,0.15789473684210525,0.15789473684210525,3.9809048755520613,"[1.1, 4.319756293365375]",0.24008447240316702,policy_states\nsgaii__zdt1__adaptive_hierarchical_joint__seed1.json
