host,problem,variant,variant_group,n_runs,mean_hv,mean_igd_plus,mean_time_ms,mean_average_reward,mean_average_overhead_ms,mean_family_concentration,mean_regime_concentration,mean_intent_concentration,mean_family_switches,mean_intent_switches,mean_regime_switches,mean_family_share_sbx_like,mean_family_share_de_like,mean_regime_share_repair,mean_regime_share_expand,mean_regime_share_refine,mean_intent_share_exploratory,mean_intent_share_balanced,mean_intent_share_local_refine,mean_intent_share_mutation_heavy,mean_intent_share_feasibility_biased,comparison_to_baseline,hv_delta_vs_baseline,runtime_ratio_vs_baseline
moead,dtlz2,adaptive_flat_operator,adaptive,10,13.006861836586959,0.20698450138512628,564.756309997756,0.18027698657652833,0.26677247334430976,0.8171419667590027,1.0,1.0,84.1,0.0,0.0,0.10710526315789473,0.8928947368421053,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,win,0.385334710831156,3.938856998174286
moead,dtlz2,adaptive_flat_parameter,adaptive,10,12.972673542140617,0.13883799564903995,557.3846500134096,0.23299156822898018,0.2636282756851104,1.0,1.0,0.4196385041551246,0.0,272.5,0.0,1.0,0.0,0.0,1.0,0.0,0.5107894736842106,0.06065789473684211,0.05052631578947368,0.3394736842105263,0.038552631578947366,win,0.3511464163848146,3.887443824025563
moead,dtlz2,adaptive_hierarchical_joint,adaptive,10,12.948726927370037,0.22622408028844884,563.0904800142162,0.1656643913462336,0.26620738183785425,0.848882271468144,1.0,0.323518351800554,73.2,356.4,0.0,0.08368421052631578,0.9163157894736841,0.0,1.0,0.0,0.37973684210526315,0.09078947368421053,0.09289473684210527,0.3631578947368421,0.07342105263157894,win,0.3271998016142348,3.9272387728047264
moead,dtlz2,fixed_de,fixed,10,12.621527125755803,0.2608042557228572,143.3807600173168,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,baseline,0.0,1.0
moead,dtlz2,fixed_sbx,fixed,10,12.93332515476009,0.11969842287820312,136.43229998415336,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,win,0.31179802900428655,0.9515384070197129
moead,zdt1,adaptive_flat_operator,adaptive,10,3.3142321445692233,0.5872029199014398,553.338619985152,0.33869900943401876,0.270321828521494,0.8550682132963988,0.9804993074792243,1.0,46.8,0.0,5.0,0.07960526315789473,0.9203947368421053,0.0,0.99,0.01,0.0,1.0,0.0,0.0,0.0,win,0.895569867007163,4.368136788685237
moead,zdt1,adaptive_flat_parameter,adaptive,10,3.3239184519819505,0.49750057023888516,561.1319200019352,0.32741457605782853,0.2834343950656292,1.0,0.9992136426592797,0.4250488227146814,0.0,183.9,0.2,1.0,0.0,0.0,0.9996052631578948,0.00039473684210526315,0.5457894736842105,0.053815789473684206,0.053815789473684206,0.30894736842105264,0.03763157894736842,win,0.9052561744198901,4.429658250009381
moead,zdt1,adaptive_hierarchical_joint,adaptive,10,3.5368343578261148,0.45056946399593983,580.7028300012462,0.30805785563809074,0.29311363084401054,0.8630986842105264,0.9633057479224376,0.38900346260387814,49.6,205.8,9.2,0.07539473684210526,0.9246052631578948,0.0,0.9809210526315789,0.019078947368421053,0.4818421052631579,0.06763157894736842,0.06855263157894737,0.3386842105263158,0.04328947368421053,win,1.1181720802640545,4.584153903969576
moead,zdt1,fixed_de,fixed,10,2.4186622775620603,1.27960493736436,126.67611999204382,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,baseline,0.0,1.0
moead,zdt1,fixed_sbx,fixed,10,3.1082760559165847,0.6153350961058468,170.26958998758346,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,win,0.6896137783545244,1.3441332904597774
