run_id,host,variant,variant_group,problem,suite,problem_n_var,problem_n_obj,seed,engine,population_size,max_evaluations,evaluations,time_ms,n_solutions,online_control_enabled,policy,credit_model,average_reward,average_bounded_reward,average_overhead_ms,family_switches,intent_switches,regime_switches,family_concentration,intent_concentration,regime_concentration,trace_steps,policy_state_available,profile_controller_time_ms,profile_start_step_time_ms,profile_router_time_ms,profile_policy_select_time_ms,profile_policy_update_time_ms,profile_trace_time_ms,profile_decode_time_ms,profile_variation_time_ms,profile_evaluation_time_ms,profile_survival_time_ms,profile_total_runtime_ms,family_share_sbx_like,family_share_de_like,regime_share_repair,regime_share_expand,regime_share_refine,intent_share_exploratory,intent_share_balanced,intent_share_local_refine,intent_share_mutation_heavy,intent_share_feasibility_biased,hv,hv_ref_point,igd_plus,policy_state_file
nsgaii__zcat1__fixed_sbx__seed0,nsgaii,fixed_sbx,fixed,zcat1,zcat,30,2,0,numpy,40,800,800,125.01489999704063,23,False,,,,,,0,0,0,1.0,,,0,False,,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.24914799947202,"[2.6005594341522866, 11.639253732643283]",0.3528212619330151,
nsgaii__zcat1__semantic_prototype_sbx__seed0,nsgaii,semantic_prototype_sbx,adaptive,zcat1,zcat,30,2,0,numpy,40,800,800,136.98940000904258,37,True,adaptive_flat_parameter,simple_improvement,0.22510961281318684,0.22510961281318684,0.7166052620098191,0,17,2,1.0,0.20775623268698057,0.8116343490304709,19,True,1.9842998881358653,0.0743999844416976,0.06469996878877282,1.1966999591095373,0.5010000022593886,0.14749997353646904,2.669399997103028,13.827300019329414,42.51609995844774,20.358699999633245,136.68369999504648,1.0,0.0,0.0,0.8947368421052632,0.10526315789473684,0.2631578947368421,0.21052631578947367,0.21052631578947367,0.15789473684210525,0.15789473684210525,24.41605164667118,"[2.6005594341522866, 11.639253732643283]",0.3954057967215626,policy_states\nsgaii__zcat1__semantic_prototype_sbx__seed0.json
nsgaii__zcat1__adaptive_hierarchical_joint__seed0,nsgaii,adaptive_hierarchical_joint,adaptive,zcat1,zcat,30,2,0,numpy,40,800,800,127.30700000247452,39,True,adaptive_hierarchical_joint,simple_improvement,0.2033419866265256,0.2033419866265256,0.69221578948935,9,17,2,0.5346260387811634,0.21329639889196672,0.9002770083102491,19,True,2.341199986403808,0.0602000072831288,0.043700041715055704,1.5088000072864816,0.5984999588690698,0.12999997125007212,2.482300071278587,9.072399989236146,38.508200013893656,20.923599964589812,126.85809998947661,0.3684210526315789,0.631578947368421,0.0,0.9473684210526315,0.05263157894736842,0.2631578947368421,0.15789473684210525,0.2631578947368421,0.15789473684210525,0.15789473684210525,23.470464549599573,"[2.6005594341522866, 11.639253732643283]",0.525245396621403,policy_states\nsgaii__zcat1__adaptive_hierarchical_joint__seed0.json
nsgaii__zcat1__adaptive_hierarchical_joint_no_regime__seed0,nsgaii,adaptive_hierarchical_joint_no_regime,adaptive,zcat1,zcat,30,2,0,numpy,40,800,800,138.53199999721255,22,True,adaptive_hierarchical_joint,simple_improvement,0.20411022136023005,0.20411022136023005,0.759384208848994,10,16,0,0.5678670360110804,0.21883656509695287,1.0,19,True,2.329300041310489,0.0658999924780801,0.04320002335589379,1.4918999950168654,0.5818000208819285,0.14650000957772136,2.9450999572873116,11.10770003288053,42.45279997121543,22.89509997353889,138.17039999412373,0.3157894736842105,0.6842105263157895,0.0,1.0,0.0,0.3157894736842105,0.15789473684210525,0.21052631578947367,0.15789473684210525,0.15789473684210525,24.7445164920263,"[2.6005594341522866, 11.639253732643283]",0.42241236080598227,policy_states\nsgaii__zcat1__adaptive_hierarchical_joint_no_regime__seed0.json
nsgaii__zcat1__fixed_sbx__seed1,nsgaii,fixed_sbx,fixed,zcat1,zcat,30,2,1,numpy,40,800,800,98.06010000465903,33,False,,,,,,0,0,0,1.0,,,0,False,,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.190887074106556,"[2.6005594341522866, 11.639253732643283]",0.30962631218936104,
nsgaii__zcat1__semantic_prototype_sbx__seed1,nsgaii,semantic_prototype_sbx,adaptive,zcat1,zcat,30,2,1,numpy,40,800,800,126.68390000180807,21,True,adaptive_flat_parameter,simple_improvement,0.23543490059113095,0.23543490059113095,0.5574631604280225,0,18,0,1.0,0.21883656509695287,1.0,19,True,1.7425999976694584,0.14579997514374554,0.06150001718197018,0.9926999773597345,0.40779999108053744,0.13480003690347075,2.4084999749902636,10.511300031794235,40.20140001375694,21.035000012489036,126.41679999069311,1.0,0.0,0.0,1.0,0.0,0.3157894736842105,0.15789473684210525,0.21052631578947367,0.15789473684210525,0.15789473684210525,23.105480875950867,"[2.6005594341522866, 11.639253732643283]",0.4906605282657475,policy_states\nsgaii__zcat1__semantic_prototype_sbx__seed1.json
nsgaii__zcat1__adaptive_hierarchical_joint__seed1,nsgaii,adaptive_hierarchical_joint,adaptive,zcat1,zcat,30,2,1,numpy,40,800,800,127.75859999237582,30,True,adaptive_hierarchical_joint,simple_improvement,0.2130800208746007,0.2130800208746007,0.6897105271682927,9,13,2,0.5346260387811634,0.21329639889196672,0.8116343490304709,19,True,2.13049998274073,0.06310000026132911,0.043400024878792465,1.384399991366081,0.5105000018374994,0.1290999643970281,2.501399998436682,11.35049993172288,34.49069999624044,23.488399994676,127.44670000392944,0.3684210526315789,0.631578947368421,0.0,0.8947368421052632,0.10526315789473684,0.2631578947368421,0.15789473684210525,0.2631578947368421,0.15789473684210525,0.15789473684210525,23.656778355927397,"[2.6005594341522866, 11.639253732643283]",0.5259052690816518,policy_states\nsgaii__zcat1__adaptive_hierarchical_joint__seed1.json
nsgaii__zcat1__adaptive_hierarchical_joint_no_regime__seed1,nsgaii,adaptive_hierarchical_joint_no_regime,adaptive,zcat1,zcat,30,2,1,numpy,40,800,800,125.89180000941269,25,True,adaptive_hierarchical_joint,simple_improvement,0.1986219173342952,0.1986219173342952,0.6515526306190479,10,15,0,0.5678670360110804,0.21883656509695287,1.0,19,True,2.115900060744025,0.063000014051795,0.03600001218728721,1.4062000263947994,0.4948999994667247,0.11580000864341855,2.5669999449746683,8.429099980276078,41.281299985712394,21.867799980100244,125.54590000945609,0.3157894736842105,0.6842105263157895,0.0,1.0,0.0,0.3157894736842105,0.15789473684210525,0.15789473684210525,0.15789473684210525,0.21052631578947367,22.789402079876687,"[2.6005594341522866, 11.639253732643283]",0.6031284834092422,policy_states\nsgaii__zcat1__adaptive_hierarchical_joint_no_regime__seed1.json
nsgaii__zcat1__fixed_sbx__seed2,nsgaii,fixed_sbx,fixed,zcat1,zcat,30,2,2,numpy,40,800,800,76.81860000593588,33,False,,,,,,0,0,0,1.0,,,0,False,,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.133306318803545,"[2.6005594341522866, 11.639253732643283]",0.3873919067861243,
nsgaii__zcat1__semantic_prototype_sbx__seed2,nsgaii,semantic_prototype_sbx,adaptive,zcat1,zcat,30,2,2,numpy,40,800,800,110.48849999497179,24,True,adaptive_flat_parameter,simple_improvement,0.2486706868376929,0.2486706868376929,0.5971684195652702,0,18,0,1.0,0.20775623268698057,1.0,19,True,1.8501000013202429,0.06760003452654928,0.13330001092981547,1.069600009941496,0.46179996570572257,0.1177999802166596,2.615500008687377,10.213000001385808,31.633000005967915,17.108600019128062,110.27160000230651,1.0,0.0,0.0,1.0,0.0,0.2631578947368421,0.21052631578947367,0.21052631578947367,0.15789473684210525,0.15789473684210525,24.897890334323186,"[2.6005594341522866, 11.639253732643283]",0.35933343844934695,policy_states\nsgaii__zcat1__semantic_prototype_sbx__seed2.json
