scope_type,suite,host,comparison_name,left_variant,right_variant,cases,wins,losses,ties,mean_hv_gap,median_hv_gap,mean_runtime_ratio,median_runtime_ratio,mean_reward_gap,median_reward_gap,mean_igd_plus_gap,median_igd_plus_gap
host,all,moead,semantic_prototype_sbx_vs_fixed_sbx,semantic_prototype_sbx,fixed_sbx,7,7,0,0,0.9162140930936804,0.9118241201497241,4.072960511748909,4.222932797607971,0.32034165388328384,0.3342990657805351,-0.09587403181770734,-0.11783452586696164
host,all,moead,semantic_prototype_sbx_vs_adaptive_hierarchical_joint,semantic_prototype_sbx,adaptive_hierarchical_joint,7,3,4,0,0.16267068021406247,-0.15381450628006021,0.9814679073541249,0.980312183761165,0.04976774458484106,0.05215566066013977,-0.04945493037818688,-0.08738608463940889
host,all,moead,adaptive_hierarchical_joint_vs_adaptive_hierarchical_joint_no_regime,adaptive_hierarchical_joint,adaptive_hierarchical_joint_no_regime,7,3,3,1,0.054805051923468,0.0,1.0152928865768467,1.0202871448372146,-0.0005050267082193757,-0.0005205770765787099,0.0010637290147767406,0.0060406323836008635
host,all,nsgaii,semantic_prototype_sbx_vs_fixed_sbx,semantic_prototype_sbx,fixed_sbx,7,2,5,0,-0.1852291101594122,-0.12638205066367858,1.4153738015007822,1.373066126349554,0.2306388155234285,0.23759051859903163,0.0214123013020391,0.021025891375619166
host,all,nsgaii,semantic_prototype_sbx_vs_adaptive_hierarchical_joint,semantic_prototype_sbx,adaptive_hierarchical_joint,7,5,2,0,0.28502780161628766,0.10943230470776655,1.0113967427731632,1.0380737893400354,0.032580848609417574,0.03287041189407697,-0.029063664823275603,-0.050638634423758044
host,all,nsgaii,adaptive_hierarchical_joint_vs_adaptive_hierarchical_joint_no_regime,adaptive_hierarchical_joint,adaptive_hierarchical_joint_no_regime,7,4,2,1,0.10381605895466205,0.06783347934477302,0.9773435415010745,0.9659752425288364,0.0017966239708811585,0.0006991218774904662,-0.019047843196870966,-0.0001449356139553437
overall,all,all_hosts,semantic_prototype_sbx_vs_fixed_sbx,semantic_prototype_sbx,fixed_sbx,14,9,5,0,0.3654924914671341,0.016945404755724813,2.744167156624846,1.8329664166376385,0.27549023470335615,0.24084048217435206,-0.03723086525783413,-0.005133022611824051
overall,all,all_hosts,semantic_prototype_sbx_vs_adaptive_hierarchical_joint,semantic_prototype_sbx,adaptive_hierarchical_joint,14,8,6,0,0.22384924091517508,0.062031717571275014,0.9964323250636441,0.9951679345290048,0.04117429659712931,0.03766051628760615,-0.03925929760073125,-0.06901235953158347
overall,all,all_hosts,adaptive_hierarchical_joint_vs_adaptive_hierarchical_joint_no_regime,adaptive_hierarchical_joint,adaptive_hierarchical_joint_no_regime,14,7,5,2,0.07931055543906503,0.005625352891492241,0.9963182140389606,1.0049288261426348,0.0006457986313308914,0.0,-0.008992057091047112,0.0
suite,anchor,all_hosts,semantic_prototype_sbx_vs_fixed_sbx,semantic_prototype_sbx,fixed_sbx,6,4,2,0,0.005775308842546845,0.001994098643140596,3.035563319989919,2.930506407836084,0.2535549513462994,0.23523277236602597,-0.01068874354760882,0.008158017384241573
suite,anchor,all_hosts,semantic_prototype_sbx_vs_adaptive_hierarchical_joint,semantic_prototype_sbx,adaptive_hierarchical_joint,6,2,4,0,-0.11403814775099767,-0.1738207704040169,0.9683002301812449,0.9635352649126818,0.03463723194037159,0.029918886721266733,0.04234251115017698,0.0673868794473089
suite,anchor,all_hosts,adaptive_hierarchical_joint_vs_adaptive_hierarchical_joint_no_regime,adaptive_hierarchical_joint,adaptive_hierarchical_joint_no_regime,6,1,3,2,0.005521025097384058,-0.0009145840947659689,1.0081372641980468,1.0139471891326226,-0.0007590747368444913,-0.000708883760347459,0.0036175342831987665,0.002698848316237734
suite,zcat,all_hosts,semantic_prototype_sbx_vs_fixed_sbx,semantic_prototype_sbx,fixed_sbx,8,5,3,0,0.6352803784355745,0.49999839082105524,2.525620034101041,1.6993258190225162,0.2919416972211487,0.2878630951892652,-0.057137456540503104,-0.036835742752101136
suite,zcat,all_hosts,semantic_prototype_sbx_vs_adaptive_hierarchical_joint,semantic_prototype_sbx,adaptive_hierarchical_joint,8,6,2,0,0.47726478241480463,0.5416239829468683,1.0175313962254433,1.0120415336744168,0.04607709508969761,0.04425003176337536,-0.10046065416391241,-0.09412583473369385
suite,zcat,all_hosts,adaptive_hierarchical_joint_vs_adaptive_hierarchical_joint_no_regime,adaptive_hierarchical_joint,adaptive_hierarchical_joint_no_regime,8,6,2,0,0.13465270319532574,0.11727677852798557,0.9874539264196458,0.9925110126104338,0.0016994536574624283,0.0008127782622678326,-0.01844925062173152,-0.010368687781505542
suite_host,anchor,moead,semantic_prototype_sbx_vs_fixed_sbx,semantic_prototype_sbx,fixed_sbx,3,3,0,0,0.07731110868236486,0.030079154181221535,4.5606790417015235,4.580869378178345,0.2883925156973274,0.30477140280517345,-0.047033286125913454,-0.04240490528161556
suite_host,anchor,moead,semantic_prototype_sbx_vs_adaptive_hierarchical_joint,semantic_prototype_sbx,adaptive_hierarchical_joint,3,1,2,0,-0.10147541650930932,-0.17308385149486538,0.9691275711955095,0.9730896004219816,0.03995460504865317,0.033179917843475126,0.015795891418402968,0.04693110624294533
suite_host,anchor,moead,adaptive_hierarchical_joint_vs_adaptive_hierarchical_joint_no_regime,adaptive_hierarchical_joint,adaptive_hierarchical_joint_no_regime,3,0,2,1,-0.004525477290249065,-0.0018291681895319378,1.0199116821365277,1.0202871448372146,-0.0012786009259541653,-0.0017521639781284404,0.018831448799228157,0.011482395089038366
suite_host,anchor,nsgaii,semantic_prototype_sbx_vs_fixed_sbx,semantic_prototype_sbx,fixed_sbx,3,1,2,0,-0.06576049099727117,-0.07471107765836305,1.5104475982783134,1.4622534197374313,0.2187173869952714,0.23038491515537435,0.025655799030695814,0.021025891375619166
suite_host,anchor,nsgaii,semantic_prototype_sbx_vs_adaptive_hierarchical_joint,semantic_prototype_sbx,adaptive_hierarchical_joint,3,1,2,0,-0.12660087899268602,-0.1745576893131684,0.9674728891669804,0.9382520847103719,0.029319858832090012,0.02665785559905834,0.06888913088195099,0.09833634055507712
suite_host,anchor,nsgaii,adaptive_hierarchical_joint_vs_adaptive_hierarchical_joint_no_regime,adaptive_hierarchical_joint,adaptive_hierarchical_joint_no_regime,3,1,1,1,0.015567527485017182,0.0,0.9963628462595661,1.002250418857239,-0.0002395485477348173,0.0,-0.011596380232830624,0.0
suite_host,zcat,moead,semantic_prototype_sbx_vs_fixed_sbx,semantic_prototype_sbx,fixed_sbx,4,4,0,0,1.545391331402167,1.4068718055822034,3.707171614284449,4.2092490902933175,0.3443035075227512,0.34601727139968996,-0.13250459108655277,-0.13621668356504912
suite_host,zcat,moead,semantic_prototype_sbx_vs_adaptive_hierarchical_joint,semantic_prototype_sbx,adaptive_hierarchical_joint,4,2,2,0,0.3607802527565913,0.3692037897749536,0.9907231594730866,0.9951679345290048,0.05712759923698198,0.057634702322111764,-0.09839304672562926,-0.09412583473369385
suite_host,zcat,moead,adaptive_hierarchical_joint_vs_adaptive_hierarchical_joint_no_regime,adaptive_hierarchical_joint,adaptive_hierarchical_joint_no_regime,4,3,1,0,0.09930294883375579,0.08456178459603869,1.011828789907086,1.015535800944307,7.515395508171652e-05,-7.440114690324129e-05,-0.012262060823561821,-0.01298073103129277
suite_host,zcat,nsgaii,semantic_prototype_sbx_vs_fixed_sbx,semantic_prototype_sbx,fixed_sbx,4,1,3,0,-0.274830574531018,-0.19872190157570024,1.3440684539176335,1.3420545607599863,0.2395798869195463,0.23965095224057914,0.018229678005546562,0.010630658645632646
suite_host,zcat,nsgaii,semantic_prototype_sbx_vs_adaptive_hierarchical_joint,semantic_prototype_sbx,adaptive_hierarchical_joint,4,4,0,0,0.593749312073018,0.5485967833930996,1.0443396329778003,1.0452629633351225,0.03502659094241325,0.03305257309575878,-0.10252826160219555,-0.10614629588218816
suite_host,zcat,nsgaii,adaptive_hierarchical_joint_vs_adaptive_hierarchical_joint_no_regime,adaptive_hierarchical_joint,adaptive_hierarchical_joint_no_regime,4,3,1,0,0.1700024575568957,0.11727677852798557,0.9630790629322057,0.9497258873747914,0.00332375335984314,0.004685399588319927,-0.02463644041990122,-0.010368687781505542
