run_id,host,variant,variant_group,problem,suite,problem_n_var,problem_n_obj,seed,engine,population_size,max_evaluations,evaluations,time_ms,n_solutions,online_control_enabled,policy,credit_model,average_reward,average_bounded_reward,average_overhead_ms,family_switches,intent_switches,regime_switches,family_concentration,intent_concentration,regime_concentration,trace_steps,policy_state_available,profile_controller_time_ms,profile_start_step_time_ms,profile_router_time_ms,profile_policy_select_time_ms,profile_policy_update_time_ms,profile_trace_time_ms,profile_decode_time_ms,profile_variation_time_ms,profile_evaluation_time_ms,profile_survival_time_ms,profile_total_runtime_ms,family_share_sbx_like,family_share_de_like,regime_share_repair,regime_share_expand,regime_share_refine,intent_share_exploratory,intent_share_balanced,intent_share_local_refine,intent_share_mutation_heavy,intent_share_feasibility_biased,hv,hv_ref_point,igd_plus,policy_state_file
nsgaii__zcat1__fixed_sbx__seed0,nsgaii,fixed_sbx,fixed,zcat1,zcat,30,2,0,numpy,40,800,800,43.31599999568425,23,False,,,,,,0,0,0,1.0,,,0,False,,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.24914799947202,"[2.6005594341522866, 11.639253732643283]",0.3528212619330151,
nsgaii__zcat1__semantic_prototype_sbx__seed0,nsgaii,semantic_prototype_sbx,adaptive,zcat1,zcat,30,2,0,numpy,40,800,800,62.07469999208115,37,True,adaptive_flat_parameter,simple_improvement,0.22510961281318684,0.22510961281318684,0.3615947360614021,0,17,2,1.0,0.20775623268698057,0.8116343490304709,19,True,0.9303000260842964,0.037200021324679255,0.027699919883161783,0.5427000432973728,0.251100049354136,0.07159999222494662,1.6500000056112185,6.1812000058125705,18.90180002374109,9.792999990168028,61.87389999104198,1.0,0.0,0.0,0.8947368421052632,0.10526315789473684,0.2631578947368421,0.21052631578947367,0.21052631578947367,0.15789473684210525,0.15789473684210525,24.41605164667118,"[2.6005594341522866, 11.639253732643283]",0.3954057967215626,policy_states\nsgaii__zcat1__semantic_prototype_sbx__seed0.json
nsgaii__zcat1__adaptive_hierarchical_joint__seed0,nsgaii,adaptive_hierarchical_joint,adaptive,zcat1,zcat,30,2,0,numpy,40,800,800,62.561700004152954,39,True,adaptive_hierarchical_joint,simple_improvement,0.2033419866265256,0.2033419866265256,0.3524210516939332,9,17,2,0.5346260387811634,0.21329639889196672,0.9002770083102491,19,True,1.109900011215359,0.04610001633409411,0.02090001362375915,0.6949999806238338,0.28050001128576696,0.06739998934790492,1.2507999636000022,4.602100030751899,20.354399995994754,9.626099985325709,62.39670001377817,0.3684210526315789,0.631578947368421,0.0,0.9473684210526315,0.05263157894736842,0.2631578947368421,0.15789473684210525,0.2631578947368421,0.15789473684210525,0.15789473684210525,23.470464549599573,"[2.6005594341522866, 11.639253732643283]",0.525245396621403,policy_states\nsgaii__zcat1__adaptive_hierarchical_joint__seed0.json
nsgaii__zcat1__adaptive_hierarchical_joint_no_regime__seed0,nsgaii,adaptive_hierarchical_joint_no_regime,adaptive,zcat1,zcat,30,2,0,numpy,40,800,800,57.003900001291186,22,True,adaptive_hierarchical_joint,simple_improvement,0.20411022136023005,0.20411022136023005,0.28731578832345184,10,16,0,0.5678670360110804,0.21883656509695287,1.0,19,True,1.013300017802976,0.02750000567175448,0.018300037481822073,0.6346000009216368,0.2703999780351296,0.06249999569263309,1.305500030866824,4.423299978952855,17.224400071427226,10.74260006134864,56.844699996872805,0.3157894736842105,0.6842105263157895,0.0,1.0,0.0,0.3157894736842105,0.15789473684210525,0.21052631578947367,0.15789473684210525,0.15789473684210525,24.7445164920263,"[2.6005594341522866, 11.639253732643283]",0.42241236080598227,policy_states\nsgaii__zcat1__adaptive_hierarchical_joint_no_regime__seed0.json
nsgaii__zcat1__fixed_sbx__seed1,nsgaii,fixed_sbx,fixed,zcat1,zcat,30,2,1,numpy,40,800,800,48.88519999803975,33,False,,,,,,0,0,0,1.0,,,0,False,,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.190887074106556,"[2.6005594341522866, 11.639253732643283]",0.30962631218936104,
nsgaii__zcat1__semantic_prototype_sbx__seed1,nsgaii,semantic_prototype_sbx,adaptive,zcat1,zcat,30,2,1,numpy,40,800,800,62.23990001308266,21,True,adaptive_flat_parameter,simple_improvement,0.23543490059113095,0.23543490059113095,0.3562736835048877,0,18,0,1.0,0.21883656509695287,1.0,19,True,0.9282000974053517,0.03520003519952297,0.025100016500800848,0.5630000232486054,0.23700004385318607,0.06789997860323638,1.2608999968506396,6.180600030347705,17.654499999480322,10.810100022354163,62.08170000172686,1.0,0.0,0.0,1.0,0.0,0.3157894736842105,0.15789473684210525,0.21052631578947367,0.15789473684210525,0.15789473684210525,23.105480875950867,"[2.6005594341522866, 11.639253732643283]",0.4906605282657475,policy_states\nsgaii__zcat1__semantic_prototype_sbx__seed1.json
nsgaii__zcat1__adaptive_hierarchical_joint__seed1,nsgaii,adaptive_hierarchical_joint,adaptive,zcat1,zcat,30,2,1,numpy,40,800,800,58.23720000626054,30,True,adaptive_hierarchical_joint,simple_improvement,0.2130800208746007,0.2130800208746007,0.29989999816998053,9,13,2,0.5346260387811634,0.21329639889196672,0.8116343490304709,19,True,1.0662998975021765,0.032299969461746514,0.01969996083062142,0.673700007610023,0.2713999565457925,0.06920000305399299,1.1498999811010435,4.921100029605441,17.820500026573427,9.596800024155527,58.07220000133384,0.3684210526315789,0.631578947368421,0.0,0.8947368421052632,0.10526315789473684,0.2631578947368421,0.15789473684210525,0.2631578947368421,0.15789473684210525,0.15789473684210525,23.656778355927397,"[2.6005594341522866, 11.639253732643283]",0.5259052690816518,policy_states\nsgaii__zcat1__adaptive_hierarchical_joint__seed1.json
nsgaii__zcat1__adaptive_hierarchical_joint_no_regime__seed1,nsgaii,adaptive_hierarchical_joint_no_regime,adaptive,zcat1,zcat,30,2,1,numpy,40,800,800,56.48959999962244,25,True,adaptive_hierarchical_joint,simple_improvement,0.1986219173342952,0.1986219173342952,0.3054000002233998,10,15,0,0.5678670360110804,0.21883656509695287,1.0,19,True,1.0602999536786228,0.034700045944191515,0.023200002033263445,0.6775999936508015,0.2600999578135088,0.06469995423685759,1.1541999847395346,3.9498999976785854,17.674999966402538,9.650699954363517,56.26029999984894,0.3157894736842105,0.6842105263157895,0.0,1.0,0.0,0.3157894736842105,0.15789473684210525,0.15789473684210525,0.15789473684210525,0.21052631578947367,22.789402079876687,"[2.6005594341522866, 11.639253732643283]",0.6031284834092422,policy_states\nsgaii__zcat1__adaptive_hierarchical_joint_no_regime__seed1.json
nsgaii__zcat1__fixed_sbx__seed2,nsgaii,fixed_sbx,fixed,zcat1,zcat,30,2,2,numpy,40,800,800,47.388200007844716,33,False,,,,,,0,0,0,1.0,,,0,False,,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.133306318803545,"[2.6005594341522866, 11.639253732643283]",0.3873919067861243,
nsgaii__zcat1__semantic_prototype_sbx__seed2,nsgaii,semantic_prototype_sbx,adaptive,zcat1,zcat,30,2,2,numpy,40,800,800,62.93600000208244,24,True,adaptive_flat_parameter,simple_improvement,0.2486706868376929,0.2486706868376929,0.33637368592041494,0,18,0,1.0,0.20775623268698057,1.0,19,True,0.9493999823462218,0.03579999611247331,0.022299995180219412,0.5852999747730792,0.24179999309126288,0.06420002318918705,1.2852999498136342,6.175000002258457,17.755699940607883,11.152599996421486,62.68929998623207,1.0,0.0,0.0,1.0,0.0,0.2631578947368421,0.21052631578947367,0.21052631578947367,0.15789473684210525,0.15789473684210525,24.897890334323186,"[2.6005594341522866, 11.639253732643283]",0.35933343844934695,policy_states\nsgaii__zcat1__semantic_prototype_sbx__seed2.json
nsgaii__zcat1__adaptive_hierarchical_joint__seed2,nsgaii,adaptive_hierarchical_joint,adaptive,zcat1,zcat,30,2,2,numpy,40,800,800,58.81329999829177,35,True,adaptive_hierarchical_joint,simple_improvement,0.21974225197458133,0.21974225197458133,0.3069526336682764,7,15,2,0.5346260387811634,0.21883656509695287,0.8116343490304709,19,True,1.0890999401453882,0.03880001895595342,0.02239999594166875,0.704599980963394,0.2570999786257744,0.06619996565859765,1.3713999796891585,3.829500012216158,19.633899995824322,9.619500051485375,58.63840000529308,0.3684210526315789,0.631578947368421,0.0,0.8947368421052632,0.10526315789473684,0.3157894736842105,0.15789473684210525,0.21052631578947367,0.15789473684210525,0.15789473684210525,25.250836566451994,"[2.6005594341522866, 11.639253732643283]",0.3397671516067836,policy_states\nsgaii__zcat1__adaptive_hierarchical_joint__seed2.json
nsgaii__zcat1__adaptive_hierarchical_joint_no_regime__seed2,nsgaii,adaptive_hierarchical_joint_no_regime,adaptive,zcat1,zcat,30,2,2,numpy,40,800,800,61.757600007695146,23,True,adaptive_hierarchical_joint,simple_improvement,0.21149454548365654,0.21149454548365654,0.31788947327234046,10,15,0,0.5678670360110804,0.21883656509695287,1.0,19,True,1.1019000230589882,0.03640000068116933,0.020400009816512465,0.6784000142943114,0.29620001441799104,0.07049998384900391,1.2501000019256026,4.841399990255013,18.718099992838688,10.884999996051192,61.52540000039153,0.3157894736842105,0.6842105263157895,0.0,1.0,0.0,0.3157894736842105,0.15789473684210525,0.21052631578947367,0.15789473684210525,0.15789473684210525,24.31653646071077,"[2.6005594341522866, 11.639253732643283]",0.42117026839014166,policy_states\nsgaii__zcat1__adaptive_hierarchical_joint_no_regime__seed2.json
nsgaii__zcat1__fixed_sbx__seed3,nsgaii,fixed_sbx,fixed,zcat1,zcat,30,2,3,numpy,40,800,800,45.763000001898035,24,False,,,,,,0,0,0,1.0,,,0,False,,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.45400929426478,"[2.6005594341522866, 11.639253732643283]",0.3094703703978446,
nsgaii__zcat1__semantic_prototype_sbx__seed3,nsgaii,semantic_prototype_sbx,adaptive,zcat1,zcat,30,2,3,numpy,40,800,800,58.432299993000925,34,True,adaptive_flat_parameter,simple_improvement,0.24201632136581236,0.24201632136581236,0.2917315807855247,0,18,0,1.0,0.21883656509695287,1.0,19,True,0.8771999418968335,0.031000032322481275,0.03459997242316604,0.49149998812936246,0.2514999941922724,0.06859995482955128,1.1294000287307426,4.986400017514825,18.019499999354593,9.73570000496693,58.28149999433663,1.0,0.0,0.0,1.0,0.0,0.3157894736842105,0.15789473684210525,0.21052631578947367,0.15789473684210525,0.15789473684210525,23.071113864362548,"[2.6005594341522866, 11.639253732643283]",0.3551448547104187,policy_states\nsgaii__zcat1__semantic_prototype_sbx__seed3.json
nsgaii__zcat1__adaptive_hierarchical_joint__seed3,nsgaii,adaptive_hierarchical_joint,adaptive,zcat1,zcat,30,2,3,numpy,40,800,800,55.15660000673961,16,True,adaptive_hierarchical_joint,simple_improvement,0.2131160957866999,0.2131160957866999,0.27996841986590115,6,16,2,0.5678670360110804,0.21883656509695287,0.8116343490304709,19,True,0.9999000321840867,0.029400005587376654,0.02990000939462334,0.6348999886540696,0.2437000221107155,0.062000006437301636,1.120499990065582,4.150799999479204,16.900700007681735,9.741899979417212,54.942400005529635,0.3157894736842105,0.6842105263157895,0.0,0.8947368421052632,0.10526315789473684,0.3157894736842105,0.15789473684210525,0.21052631578947367,0.15789473684210525,0.15789473684210525,24.271078042311625,"[2.6005594341522866, 11.639253732643283]",0.41625145736310215,policy_states\nsgaii__zcat1__adaptive_hierarchical_joint__seed3.json
nsgaii__zcat1__adaptive_hierarchical_joint_no_regime__seed3,nsgaii,adaptive_hierarchical_joint_no_regime,adaptive,zcat1,zcat,30,2,3,numpy,40,800,800,86.56779999728315,36,True,adaptive_hierarchical_joint,simple_improvement,0.2163130905680909,0.2163130905680909,0.4443157882441914,10,16,0,0.5678670360110804,0.20775623268698057,1.0,19,True,1.6364000621251762,0.04280003486201167,0.020300052710808814,1.1251000105403364,0.35589997423812747,0.09229998977389187,1.7014999903040007,5.208399990806356,24.811900017084554,15.324599997256882,86.17980001145042,0.3157894736842105,0.6842105263157895,0.0,1.0,0.0,0.2631578947368421,0.21052631578947367,0.21052631578947367,0.15789473684210525,0.15789473684210525,23.89413997368439,"[2.6005594341522866, 11.639253732643283]",0.5424051246026937,policy_states\nsgaii__zcat1__adaptive_hierarchical_joint_no_regime__seed3.json
nsgaii__zcat1__fixed_sbx__seed4,nsgaii,fixed_sbx,fixed,zcat1,zcat,30,2,4,numpy,40,800,800,41.826999993645586,29,False,,,,,,0,0,0,1.0,,,0,False,,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.679500543779056,"[2.6005594341522866, 11.639253732643283]",0.3524954286307796,
nsgaii__zcat1__semantic_prototype_sbx__seed4,nsgaii,semantic_prototype_sbx,adaptive,zcat1,zcat,30,2,4,numpy,40,800,800,61.9758999964688,36,True,adaptive_flat_parameter,simple_improvement,0.23960733880688695,0.23960733880688695,0.3070052625844255,0,18,0,1.0,0.21883656509695287,1.0,19,True,0.8853000326780602,0.03460000152699649,0.03219996870029718,0.5105000018374994,0.2434000198263675,0.06460004078689963,1.2680999498115852,5.534000039915554,19.988499974715523,11.145799988298677,61.82560000161175,1.0,0.0,0.0,1.0,0.0,0.3157894736842105,0.15789473684210525,0.21052631578947367,0.15789473684210525,0.15789473684210525,24.940041592297895,"[2.6005594341522866, 11.639253732643283]",0.3639681416765852,policy_states\nsgaii__zcat1__semantic_prototype_sbx__seed4.json
nsgaii__zcat1__adaptive_hierarchical_joint__seed4,nsgaii,adaptive_hierarchical_joint,adaptive,zcat1,zcat,30,2,4,numpy,40,800,800,60.96689999685623,26,True,adaptive_hierarchical_joint,simple_improvement,0.20398650115860417,0.20398650115860417,0.3206421058980356,9,15,2,0.5124653739612188,0.24099722991689748,0.7340720221606647,19,True,1.143500063335523,0.03460001607891172,0.022100008209235966,0.7322000310523435,0.2806000120472163,0.07399999594781548,1.3017000310355797,4.5313000155147165,18.06459999352228,10.738899989519268,60.802799998782575,0.42105263157894735,0.5789473684210527,0.0,0.8421052631578947,0.15789473684210525,0.3684210526315789,0.15789473684210525,0.21052631578947367,0.10526315789473684,0.15789473684210525,23.204064169167257,"[2.6005594341522866, 11.639253732643283]",0.6201911037118039,policy_states\nsgaii__zcat1__adaptive_hierarchical_joint__seed4.json
nsgaii__zcat1__adaptive_hierarchical_joint_no_regime__seed4,nsgaii,adaptive_hierarchical_joint_no_regime,adaptive,zcat1,zcat,30,2,4,numpy,40,800,800,62.18389999412466,21,True,adaptive_hierarchical_joint,simple_improvement,0.19655981275888634,0.19655981275888634,0.2983315774288617,12,17,0,0.5346260387811634,0.24099722991689748,1.0,19,True,1.0644998837960884,0.03309996100142598,0.02039998071268201,0.6803999713156372,0.26599997363518924,0.06459999713115394,1.2070000229869038,4.408200009493157,19.414300040807575,11.198800028068945,62.02280000434257,0.3684210526315789,0.631578947368421,0.0,1.0,0.0,0.3684210526315789,0.15789473684210525,0.21052631578947367,0.10526315789473684,0.15789473684210525,22.525669275976743,"[2.6005594341522866, 11.639253732643283]",0.7511960428806987,policy_states\nsgaii__zcat1__adaptive_hierarchical_joint_no_regime__seed4.json
nsgaii__zcat1__fixed_sbx__seed5,nsgaii,fixed_sbx,fixed,zcat1,zcat,30,2,5,numpy,40,800,800,59.699100005673245,26,False,,,,,,0,0,0,1.0,,,0,False,,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.77856251128655,"[2.6005594341522866, 11.639253732643283]",0.360738508829463,
nsgaii__zcat1__semantic_prototype_sbx__seed5,nsgaii,semantic_prototype_sbx,adaptive,zcat1,zcat,30,2,5,numpy,40,800,800,64.17760001204442,36,True,adaptive_flat_parameter,simple_improvement,0.23558135800514535,0.23558135800514535,0.3350105253048241,0,18,0,1.0,0.21883656509695287,1.0,19,True,0.9966001525754109,0.037300007534213364,0.024000066332519054,0.6167000683490187,0.2496999950380996,0.0689000153215602,1.2946000060765073,5.876600043848157,18.057300010696054,11.584799969568849,64.01679999544285,1.0,0.0,0.0,1.0,0.0,0.3157894736842105,0.15789473684210525,0.21052631578947367,0.15789473684210525,0.15789473684210525,24.752575779678782,"[2.6005594341522866, 11.639253732643283]",0.390011481429162,policy_states\nsgaii__zcat1__semantic_prototype_sbx__seed5.json
nsgaii__zcat1__adaptive_hierarchical_joint__seed5,nsgaii,adaptive_hierarchical_joint,adaptive,zcat1,zcat,30,2,5,numpy,40,800,800,57.943299994803965,14,True,adaptive_hierarchical_joint,simple_improvement,0.21538614185721516,0.21538614185721516,0.29955789259953525,7,16,2,0.5346260387811634,0.21329639889196672,0.7340720221606647,19,True,0.9791999036679044,0.027399975806474686,0.01749992952682078,0.6431000074371696,0.23960000544320792,0.0515999854542315,1.2525000056484714,4.075699980603531,18.25199997983873,9.65549997636117,57.77790000138339,0.3684210526315789,0.631578947368421,0.0,0.8421052631578947,0.15789473684210525,0.2631578947368421,0.15789473684210525,0.2631578947368421,0.15789473684210525,0.15789473684210525,25.256135108616455,"[2.6005594341522866, 11.639253732643283]",0.33248807486513315,policy_states\nsgaii__zcat1__adaptive_hierarchical_joint__seed5.json
