problem,n_obj,algorithm,runs,mean_hv,mean_igd_plus,mean_archive_subset_hv,mean_archive_subset_igd_plus,mean_time_ms,mean_archive_size,mean_archive_subset_size,mean_hybrid_archive_reference_generations,mean_hybrid_local_only_generations,mean_hybrid_no_split_generations,hybrid_fallback_runs,hybrid_local_only_runs
dtlz1,2,nsgaii_archive_hybrid,10,5.024706379843195,0.0038439300029007397,5.025186475001016,0.0033990320115088305,10830.772606200002,684.2,80.0,224.0,0.0,0.0,0,0
dtlz1,2,nsgaii_archive_off,10,5.025538028124196,0.003017882291775624,,,10238.811905499984,0.0,0.0,0.0,0.0,0.0,0,0
dtlz1,2,nsgaii_archive_passive,10,5.025538028124196,0.003017882291775624,5.02572942127223,0.0028746327668735033,10643.490746799991,913.2,80.0,0.0,0.0,0.0,0,0
dtlz1,3,nsgaii_archive_hybrid,10,108953.7781094055,0.02640012869674918,108953.8221441119,0.026503100153127474,14811.255215800065,1008.2,80.0,274.0,0.0,0.0,0,0
dtlz1,3,nsgaii_archive_off,10,108953.811268056,0.02428724958319651,,,13870.559567899862,0.0,0.0,0.0,0.0,0.0,0,0
dtlz1,3,nsgaii_archive_passive,10,108953.811268056,0.02428724958319651,108953.82918548684,0.024137382519412158,14452.046416200028,1322.1,80.0,0.0,0.0,0.0,0,0
dtlz1,5,nsgaii_archive_hybrid,10,47619743978315.86,27.37632717219798,47665670199689.01,27.450964541517738,27537.732503999996,1100.5,80.0,374.0,0.0,0.0,0,0
dtlz1,5,nsgaii_archive_off,10,47685013615072.086,23.845345853974393,,,23408.58201369993,0.0,0.0,0.0,0.0,0.0,0,0
dtlz1,5,nsgaii_archive_passive,10,47685013615072.086,23.845345853974393,47682847721117.43,22.680169406457967,27534.32927060012,1100.2,80.0,0.0,0.0,0.0,0,0
dtlz2,2,nsgaii_archive_hybrid,10,4.359768194581574,0.5933575676801002,4.362961512102987,0.5931772712089914,10369.039808500043,1379.2,80.0,199.0,0.0,0.0,0,0
dtlz2,2,nsgaii_archive_off,10,4.361631440738523,0.593161772674605,,,9362.283721700009,0.0,0.0,0.0,0.0,0.0,0,0
dtlz2,2,nsgaii_archive_passive,10,4.361631440738523,0.593161772674605,4.362955346695449,0.5931611837929709,9731.547341299985,1497.8,80.0,0.0,0.0,0.0,0,0
dtlz2,3,nsgaii_archive_hybrid,10,108950.59576224291,0.6452659839534591,108952.21648888224,0.6322260138700999,17744.89991550004,3423.1,80.0,249.0,0.0,0.0,0,0
dtlz2,3,nsgaii_archive_off,10,108951.30140019539,0.631075635779001,,,12908.900629899927,0.0,0.0,0.0,0.0,0.0,0,0
dtlz2,3,nsgaii_archive_passive,10,108951.30140019539,0.631075635779001,108952.84346498278,0.6302558116043343,16353.329313400081,5006.5,80.0,0.0,0.0,0.0,0,0
dtlz2,5,nsgaii_archive_hybrid,10,47687493374421.555,1.709468238105518,47688763616374.31,0.5229126591327389,26774.8674245001,1339.1,80.0,324.0,0.0,0.0,0,0
dtlz2,5,nsgaii_archive_off,10,47688764086529.11,0.13564365164932973,,,20566.5304811002,0.0,0.0,0.0,0.0,0.0,0,0
dtlz2,5,nsgaii_archive_passive,10,47688764086529.11,0.13564365164932973,47688764375669.664,0.15029137798267656,25600.10407269983,2400.9,80.0,0.0,0.0,0.0,0,0
dtlz7,2,nsgaii_archive_hybrid,10,1.5085914599173993,2.152596835705613,1.513237499490325,2.1526989640272065,11754.377229200054,1040.5,80.0,224.0,0.0,0.0,0,0
dtlz7,2,nsgaii_archive_off,10,1.5124199652702106,2.1526023654326876,,,10930.96100430007,0.0,0.0,0.0,0.0,0.0,0,0
dtlz7,2,nsgaii_archive_passive,10,1.5124199652702106,2.1526023654326876,1.513283746890102,2.1527173663276455,11299.277762000018,1090.8,80.0,0.0,0.0,0.0,0,0
dtlz7,3,nsgaii_archive_hybrid,10,91601.54552134345,2.6492311727455835,91600.57815765907,2.6492311727455835,18383.40336980018,1510.8,80.0,274.0,0.0,0.0,0,0
dtlz7,3,nsgaii_archive_off,10,91625.71796658679,2.6460884995192724,,,15632.029876599972,0.0,0.0,0.0,0.0,0.0,0,0
dtlz7,3,nsgaii_archive_passive,10,91625.71796658679,2.6460884995192724,91624.67197965355,2.6460884995192724,17214.546250900003,2216.0,80.0,0.0,0.0,0.0,0,0
dtlz7,5,nsgaii_archive_hybrid,10,47363739898361.19,3.4637541198171133,47366818814931.14,3.4318553991272323,39608.18011930005,3265.4,80.0,374.0,0.0,0.0,0,0
dtlz7,5,nsgaii_archive_off,10,47367356264511.98,3.428698976638097,,,27006.52781419985,0.0,0.0,0.0,0.0,0.0,0,0
dtlz7,5,nsgaii_archive_passive,10,47367356264511.98,3.428698976638097,47367232845223.77,3.429015368554654,36289.326115700074,4287.4,80.0,0.0,0.0,0.0,0,0
