suite,problem,algorithm,engine,seed,metric,value,n_var,n_obj
NSGAII_archive_family_DTLZ,dtlz1,nsgaii_archive_off,numpy,0,hv,5.025646198434629,6,2
NSGAII_archive_family_DTLZ,dtlz1,nsgaii_archive_off,numpy,0,igd_plus,0.0029541299248887,6,2
NSGAII_archive_family_DTLZ,dtlz1,nsgaii_archive_off,numpy,1,hv,5.026241467473605,6,2
NSGAII_archive_family_DTLZ,dtlz1,nsgaii_archive_off,numpy,1,igd_plus,0.0022641078120113,6,2
NSGAII_archive_family_DTLZ,dtlz1,nsgaii_archive_off,numpy,2,hv,5.024764558842626,6,2
NSGAII_archive_family_DTLZ,dtlz1,nsgaii_archive_off,numpy,2,igd_plus,0.0038851171421113,6,2
NSGAII_archive_family_DTLZ,dtlz1,nsgaii_archive_off,numpy,3,hv,5.026751544826803,6,2
NSGAII_archive_family_DTLZ,dtlz1,nsgaii_archive_off,numpy,3,igd_plus,0.0016233135952874,6,2
NSGAII_archive_family_DTLZ,dtlz1,nsgaii_archive_off,numpy,4,hv,5.026706650168662,6,2
NSGAII_archive_family_DTLZ,dtlz1,nsgaii_archive_off,numpy,4,igd_plus,0.001648282388322,6,2
NSGAII_archive_family_DTLZ,dtlz1,nsgaii_archive_off,numpy,5,hv,5.026309360488363,6,2
NSGAII_archive_family_DTLZ,dtlz1,nsgaii_archive_off,numpy,5,igd_plus,0.0021159094296242,6,2
NSGAII_archive_family_DTLZ,dtlz1,nsgaii_archive_off,numpy,6,hv,5.024225997719703,6,2
NSGAII_archive_family_DTLZ,dtlz1,nsgaii_archive_off,numpy,6,igd_plus,0.0044547695102268,6,2
NSGAII_archive_family_DTLZ,dtlz1,nsgaii_archive_off,numpy,7,hv,5.025768019532739,6,2
NSGAII_archive_family_DTLZ,dtlz1,nsgaii_archive_off,numpy,7,igd_plus,0.0027957347773213,6,2
NSGAII_archive_family_DTLZ,dtlz1,nsgaii_archive_off,numpy,8,hv,5.024085792218809,6,2
NSGAII_archive_family_DTLZ,dtlz1,nsgaii_archive_off,numpy,8,igd_plus,0.0046479659337976,6,2
NSGAII_archive_family_DTLZ,dtlz1,nsgaii_archive_off,numpy,9,hv,5.024880691536021,6,2
NSGAII_archive_family_DTLZ,dtlz1,nsgaii_archive_off,numpy,9,igd_plus,0.0037894924041652,6,2
NSGAII_archive_family_DTLZ,dtlz1,nsgaii_archive_passive,numpy,0,hv,5.025646198434629,6,2
NSGAII_archive_family_DTLZ,dtlz1,nsgaii_archive_passive,numpy,0,igd_plus,0.0029541299248887,6,2
NSGAII_archive_family_DTLZ,dtlz1,nsgaii_archive_passive,numpy,0,archive_subset_hv,5.0257252529058425,6,2
NSGAII_archive_family_DTLZ,dtlz1,nsgaii_archive_passive,numpy,0,archive_subset_igd_plus,0.0028499030787127,6,2
NSGAII_archive_family_DTLZ,dtlz1,nsgaii_archive_passive,numpy,1,hv,5.026241467473605,6,2
NSGAII_archive_family_DTLZ,dtlz1,nsgaii_archive_passive,numpy,1,igd_plus,0.0022641078120113,6,2
NSGAII_archive_family_DTLZ,dtlz1,nsgaii_archive_passive,numpy,1,archive_subset_hv,5.026376579717552,6,2
NSGAII_archive_family_DTLZ,dtlz1,nsgaii_archive_passive,numpy,1,archive_subset_igd_plus,0.0021932228969476,6,2
NSGAII_archive_family_DTLZ,dtlz1,nsgaii_archive_passive,numpy,2,hv,5.024764558842626,6,2
NSGAII_archive_family_DTLZ,dtlz1,nsgaii_archive_passive,numpy,2,igd_plus,0.0038851171421113,6,2
NSGAII_archive_family_DTLZ,dtlz1,nsgaii_archive_passive,numpy,2,archive_subset_hv,5.025039378837028,6,2
NSGAII_archive_family_DTLZ,dtlz1,nsgaii_archive_passive,numpy,2,archive_subset_igd_plus,0.003604569477453,6,2
NSGAII_archive_family_DTLZ,dtlz1,nsgaii_archive_passive,numpy,3,hv,5.026751544826803,6,2
NSGAII_archive_family_DTLZ,dtlz1,nsgaii_archive_passive,numpy,3,igd_plus,0.0016233135952874,6,2
NSGAII_archive_family_DTLZ,dtlz1,nsgaii_archive_passive,numpy,3,archive_subset_hv,5.027063222119431,6,2
NSGAII_archive_family_DTLZ,dtlz1,nsgaii_archive_passive,numpy,3,archive_subset_igd_plus,0.0014279512983121,6,2
NSGAII_archive_family_DTLZ,dtlz1,nsgaii_archive_passive,numpy,4,hv,5.026706650168662,6,2
NSGAII_archive_family_DTLZ,dtlz1,nsgaii_archive_passive,numpy,4,igd_plus,0.001648282388322,6,2
NSGAII_archive_family_DTLZ,dtlz1,nsgaii_archive_passive,numpy,4,archive_subset_hv,5.026885824728187,6,2
NSGAII_archive_family_DTLZ,dtlz1,nsgaii_archive_passive,numpy,4,archive_subset_igd_plus,0.001609091199243,6,2
NSGAII_archive_family_DTLZ,dtlz1,nsgaii_archive_passive,numpy,5,hv,5.026309360488363,6,2
NSGAII_archive_family_DTLZ,dtlz1,nsgaii_archive_passive,numpy,5,igd_plus,0.0021159094296242,6,2
NSGAII_archive_family_DTLZ,dtlz1,nsgaii_archive_passive,numpy,5,archive_subset_hv,5.026483665080512,6,2
NSGAII_archive_family_DTLZ,dtlz1,nsgaii_archive_passive,numpy,5,archive_subset_igd_plus,0.0020525670857413,6,2
NSGAII_archive_family_DTLZ,dtlz1,nsgaii_archive_passive,numpy,6,hv,5.024225997719703,6,2
NSGAII_archive_family_DTLZ,dtlz1,nsgaii_archive_passive,numpy,6,igd_plus,0.0044547695102268,6,2
NSGAII_archive_family_DTLZ,dtlz1,nsgaii_archive_passive,numpy,6,archive_subset_hv,5.024460745993287,6,2
NSGAII_archive_family_DTLZ,dtlz1,nsgaii_archive_passive,numpy,6,archive_subset_igd_plus,0.0042790946132389,6,2
NSGAII_archive_family_DTLZ,dtlz1,nsgaii_archive_passive,numpy,7,hv,5.025768019532739,6,2
NSGAII_archive_family_DTLZ,dtlz1,nsgaii_archive_passive,numpy,7,igd_plus,0.0027957347773213,6,2
NSGAII_archive_family_DTLZ,dtlz1,nsgaii_archive_passive,numpy,7,archive_subset_hv,5.026017241495913,6,2
NSGAII_archive_family_DTLZ,dtlz1,nsgaii_archive_passive,numpy,7,archive_subset_igd_plus,0.0025249933916968,6,2
NSGAII_archive_family_DTLZ,dtlz1,nsgaii_archive_passive,numpy,8,hv,5.024085792218809,6,2
NSGAII_archive_family_DTLZ,dtlz1,nsgaii_archive_passive,numpy,8,igd_plus,0.0046479659337976,6,2
NSGAII_archive_family_DTLZ,dtlz1,nsgaii_archive_passive,numpy,8,archive_subset_hv,5.024211419165334,6,2
NSGAII_archive_family_DTLZ,dtlz1,nsgaii_archive_passive,numpy,8,archive_subset_igd_plus,0.0045674740924585,6,2
NSGAII_archive_family_DTLZ,dtlz1,nsgaii_archive_passive,numpy,9,hv,5.024880691536021,6,2
NSGAII_archive_family_DTLZ,dtlz1,nsgaii_archive_passive,numpy,9,igd_plus,0.0037894924041652,6,2
NSGAII_archive_family_DTLZ,dtlz1,nsgaii_archive_passive,numpy,9,archive_subset_hv,5.025030882679221,6,2
NSGAII_archive_family_DTLZ,dtlz1,nsgaii_archive_passive,numpy,9,archive_subset_igd_plus,0.0036374605349305,6,2
NSGAII_archive_family_DTLZ,dtlz1,nsgaii_archive_hybrid,numpy,0,hv,5.026086920184947,6,2
NSGAII_archive_family_DTLZ,dtlz1,nsgaii_archive_hybrid,numpy,0,igd_plus,0.002391112834882,6,2
NSGAII_archive_family_DTLZ,dtlz1,nsgaii_archive_hybrid,numpy,0,archive_subset_hv,5.026483700403338,6,2
NSGAII_archive_family_DTLZ,dtlz1,nsgaii_archive_hybrid,numpy,0,archive_subset_igd_plus,0.0020160788895897,6,2
NSGAII_archive_family_DTLZ,dtlz1,nsgaii_archive_hybrid,numpy,1,hv,5.025741751441177,6,2
NSGAII_archive_family_DTLZ,dtlz1,nsgaii_archive_hybrid,numpy,1,igd_plus,0.0027772270955641,6,2
NSGAII_archive_family_DTLZ,dtlz1,nsgaii_archive_hybrid,numpy,1,archive_subset_hv,5.026324804946788,6,2
NSGAII_archive_family_DTLZ,dtlz1,nsgaii_archive_hybrid,numpy,1,archive_subset_igd_plus,0.002177085487448,6,2
NSGAII_archive_family_DTLZ,dtlz1,nsgaii_archive_hybrid,numpy,2,hv,5.016832384709578,6,2
NSGAII_archive_family_DTLZ,dtlz1,nsgaii_archive_hybrid,numpy,2,igd_plus,0.0118350404167988,6,2
NSGAII_archive_family_DTLZ,dtlz1,nsgaii_archive_hybrid,numpy,2,archive_subset_hv,5.016840749486203,6,2
NSGAII_archive_family_DTLZ,dtlz1,nsgaii_archive_hybrid,numpy,2,archive_subset_igd_plus,0.0118350404167988,6,2
NSGAII_archive_family_DTLZ,dtlz1,nsgaii_archive_hybrid,numpy,3,hv,5.022388419410603,6,2
NSGAII_archive_family_DTLZ,dtlz1,nsgaii_archive_hybrid,numpy,3,igd_plus,0.0065274027901512,6,2
NSGAII_archive_family_DTLZ,dtlz1,nsgaii_archive_hybrid,numpy,3,archive_subset_hv,5.022915413158087,6,2
NSGAII_archive_family_DTLZ,dtlz1,nsgaii_archive_hybrid,numpy,3,archive_subset_igd_plus,0.0061272343696083,6,2
NSGAII_archive_family_DTLZ,dtlz1,nsgaii_archive_hybrid,numpy,4,hv,5.026100453849822,6,2
NSGAII_archive_family_DTLZ,dtlz1,nsgaii_archive_hybrid,numpy,4,igd_plus,0.0023098199195891,6,2
NSGAII_archive_family_DTLZ,dtlz1,nsgaii_archive_hybrid,numpy,4,archive_subset_hv,5.0266637267391046,6,2
NSGAII_archive_family_DTLZ,dtlz1,nsgaii_archive_hybrid,numpy,4,archive_subset_igd_plus,0.0018219563363392,6,2
NSGAII_archive_family_DTLZ,dtlz1,nsgaii_archive_hybrid,numpy,5,hv,5.025614225435063,6,2
NSGAII_archive_family_DTLZ,dtlz1,nsgaii_archive_hybrid,numpy,5,igd_plus,0.0029214571359942,6,2
NSGAII_archive_family_DTLZ,dtlz1,nsgaii_archive_hybrid,numpy,5,archive_subset_hv,5.02621130653146,6,2
NSGAII_archive_family_DTLZ,dtlz1,nsgaii_archive_hybrid,numpy,5,archive_subset_igd_plus,0.0023236212653732,6,2
NSGAII_archive_family_DTLZ,dtlz1,nsgaii_archive_hybrid,numpy,6,hv,5.026519409493877,6,2
NSGAII_archive_family_DTLZ,dtlz1,nsgaii_archive_hybrid,numpy,6,igd_plus,0.0019351566765519,6,2
NSGAII_archive_family_DTLZ,dtlz1,nsgaii_archive_hybrid,numpy,6,archive_subset_hv,5.026569549036801,6,2
NSGAII_archive_family_DTLZ,dtlz1,nsgaii_archive_hybrid,numpy,6,archive_subset_igd_plus,0.0019912138639496,6,2
NSGAII_archive_family_DTLZ,dtlz1,nsgaii_archive_hybrid,numpy,7,hv,5.025926913265529,6,2
NSGAII_archive_family_DTLZ,dtlz1,nsgaii_archive_hybrid,numpy,7,igd_plus,0.002605934950011,6,2
NSGAII_archive_family_DTLZ,dtlz1,nsgaii_archive_hybrid,numpy,7,archive_subset_hv,5.026788712552895,6,2
NSGAII_archive_family_DTLZ,dtlz1,nsgaii_archive_hybrid,numpy,7,archive_subset_igd_plus,0.0017327520450246,6,2
NSGAII_archive_family_DTLZ,dtlz1,nsgaii_archive_hybrid,numpy,8,hv,5.025839803802654,6,2
NSGAII_archive_family_DTLZ,dtlz1,nsgaii_archive_hybrid,numpy,8,igd_plus,0.0026381271651175,6,2
NSGAII_archive_family_DTLZ,dtlz1,nsgaii_archive_hybrid,numpy,8,archive_subset_hv,5.026306005427076,6,2
NSGAII_archive_family_DTLZ,dtlz1,nsgaii_archive_hybrid,numpy,8,archive_subset_igd_plus,0.0022521967914615,6,2
NSGAII_archive_family_DTLZ,dtlz1,nsgaii_archive_hybrid,numpy,9,hv,5.026013516838702,6,2
NSGAII_archive_family_DTLZ,dtlz1,nsgaii_archive_hybrid,numpy,9,igd_plus,0.0024980210443471,6,2
NSGAII_archive_family_DTLZ,dtlz1,nsgaii_archive_hybrid,numpy,9,archive_subset_hv,5.026760781728415,6,2
NSGAII_archive_family_DTLZ,dtlz1,nsgaii_archive_hybrid,numpy,9,archive_subset_igd_plus,0.001713140649495,6,2
NSGAII_archive_family_DTLZ,dtlz2,nsgaii_archive_off,numpy,0,hv,4.361182446822016,11,2
NSGAII_archive_family_DTLZ,dtlz2,nsgaii_archive_off,numpy,0,igd_plus,0.5931779034560724,11,2
NSGAII_archive_family_DTLZ,dtlz2,nsgaii_archive_off,numpy,1,hv,4.361792180102566,11,2
NSGAII_archive_family_DTLZ,dtlz2,nsgaii_archive_off,numpy,1,igd_plus,0.5931716169972531,11,2
NSGAII_archive_family_DTLZ,dtlz2,nsgaii_archive_off,numpy,2,hv,4.361875449122452,11,2
NSGAII_archive_family_DTLZ,dtlz2,nsgaii_archive_off,numpy,2,igd_plus,0.5931527816147935,11,2
NSGAII_archive_family_DTLZ,dtlz2,nsgaii_archive_off,numpy,3,hv,4.36197615392891,11,2
NSGAII_archive_family_DTLZ,dtlz2,nsgaii_archive_off,numpy,3,igd_plus,0.5931318258312926,11,2
NSGAII_archive_family_DTLZ,dtlz2,nsgaii_archive_off,numpy,4,hv,4.361527882455378,11,2
NSGAII_archive_family_DTLZ,dtlz2,nsgaii_archive_off,numpy,4,igd_plus,0.5931533166309448,11,2
NSGAII_archive_family_DTLZ,dtlz2,nsgaii_archive_off,numpy,5,hv,4.361293197434392,11,2
NSGAII_archive_family_DTLZ,dtlz2,nsgaii_archive_off,numpy,5,igd_plus,0.5931198127653775,11,2
NSGAII_archive_family_DTLZ,dtlz2,nsgaii_archive_off,numpy,6,hv,4.361985777822887,11,2
NSGAII_archive_family_DTLZ,dtlz2,nsgaii_archive_off,numpy,6,igd_plus,0.5931684840413054,11,2
NSGAII_archive_family_DTLZ,dtlz2,nsgaii_archive_off,numpy,7,hv,4.36178672038534,11,2
NSGAII_archive_family_DTLZ,dtlz2,nsgaii_archive_off,numpy,7,igd_plus,0.5931442198897589,11,2
NSGAII_archive_family_DTLZ,dtlz2,nsgaii_archive_off,numpy,8,hv,4.361607245978493,11,2
NSGAII_archive_family_DTLZ,dtlz2,nsgaii_archive_off,numpy,8,igd_plus,0.5932163417920686,11,2
NSGAII_archive_family_DTLZ,dtlz2,nsgaii_archive_off,numpy,9,hv,4.3612873533328,11,2
NSGAII_archive_family_DTLZ,dtlz2,nsgaii_archive_off,numpy,9,igd_plus,0.5931814237271843,11,2
NSGAII_archive_family_DTLZ,dtlz2,nsgaii_archive_passive,numpy,0,hv,4.361182446822016,11,2
NSGAII_archive_family_DTLZ,dtlz2,nsgaii_archive_passive,numpy,0,igd_plus,0.5931779034560724,11,2
NSGAII_archive_family_DTLZ,dtlz2,nsgaii_archive_passive,numpy,0,archive_subset_hv,4.362976504115996,11,2
NSGAII_archive_family_DTLZ,dtlz2,nsgaii_archive_passive,numpy,0,archive_subset_igd_plus,0.5931717765428245,11,2
NSGAII_archive_family_DTLZ,dtlz2,nsgaii_archive_passive,numpy,1,hv,4.361792180102566,11,2
NSGAII_archive_family_DTLZ,dtlz2,nsgaii_archive_passive,numpy,1,igd_plus,0.5931716169972531,11,2
NSGAII_archive_family_DTLZ,dtlz2,nsgaii_archive_passive,numpy,1,archive_subset_hv,4.362778192355216,11,2
NSGAII_archive_family_DTLZ,dtlz2,nsgaii_archive_passive,numpy,1,archive_subset_igd_plus,0.5931984436416179,11,2
NSGAII_archive_family_DTLZ,dtlz2,nsgaii_archive_passive,numpy,2,hv,4.361875449122452,11,2
NSGAII_archive_family_DTLZ,dtlz2,nsgaii_archive_passive,numpy,2,igd_plus,0.5931527816147935,11,2
NSGAII_archive_family_DTLZ,dtlz2,nsgaii_archive_passive,numpy,2,archive_subset_hv,4.363008339141532,11,2
NSGAII_archive_family_DTLZ,dtlz2,nsgaii_archive_passive,numpy,2,archive_subset_igd_plus,0.593142408680503,11,2
NSGAII_archive_family_DTLZ,dtlz2,nsgaii_archive_passive,numpy,3,hv,4.36197615392891,11,2
NSGAII_archive_family_DTLZ,dtlz2,nsgaii_archive_passive,numpy,3,igd_plus,0.5931318258312926,11,2
NSGAII_archive_family_DTLZ,dtlz2,nsgaii_archive_passive,numpy,3,archive_subset_hv,4.36271490335927,11,2
NSGAII_archive_family_DTLZ,dtlz2,nsgaii_archive_passive,numpy,3,archive_subset_igd_plus,0.5931791081905677,11,2
NSGAII_archive_family_DTLZ,dtlz2,nsgaii_archive_passive,numpy,4,hv,4.361527882455378,11,2
NSGAII_archive_family_DTLZ,dtlz2,nsgaii_archive_passive,numpy,4,igd_plus,0.5931533166309448,11,2
NSGAII_archive_family_DTLZ,dtlz2,nsgaii_archive_passive,numpy,4,archive_subset_hv,4.363085967050167,11,2
NSGAII_archive_family_DTLZ,dtlz2,nsgaii_archive_passive,numpy,4,archive_subset_igd_plus,0.5931625531099219,11,2
NSGAII_archive_family_DTLZ,dtlz2,nsgaii_archive_passive,numpy,5,hv,4.361293197434392,11,2
NSGAII_archive_family_DTLZ,dtlz2,nsgaii_archive_passive,numpy,5,igd_plus,0.5931198127653775,11,2
NSGAII_archive_family_DTLZ,dtlz2,nsgaii_archive_passive,numpy,5,archive_subset_hv,4.36309726742996,11,2
NSGAII_archive_family_DTLZ,dtlz2,nsgaii_archive_passive,numpy,5,archive_subset_igd_plus,0.593123616980022,11,2
NSGAII_archive_family_DTLZ,dtlz2,nsgaii_archive_passive,numpy,6,hv,4.361985777822887,11,2
NSGAII_archive_family_DTLZ,dtlz2,nsgaii_archive_passive,numpy,6,igd_plus,0.5931684840413054,11,2
NSGAII_archive_family_DTLZ,dtlz2,nsgaii_archive_passive,numpy,6,archive_subset_hv,4.36302366262653,11,2
NSGAII_archive_family_DTLZ,dtlz2,nsgaii_archive_passive,numpy,6,archive_subset_igd_plus,0.5931492662354143,11,2
NSGAII_archive_family_DTLZ,dtlz2,nsgaii_archive_passive,numpy,7,hv,4.36178672038534,11,2
NSGAII_archive_family_DTLZ,dtlz2,nsgaii_archive_passive,numpy,7,igd_plus,0.5931442198897589,11,2
NSGAII_archive_family_DTLZ,dtlz2,nsgaii_archive_passive,numpy,7,archive_subset_hv,4.363052060024953,11,2
NSGAII_archive_family_DTLZ,dtlz2,nsgaii_archive_passive,numpy,7,archive_subset_igd_plus,0.5931223671449737,11,2
NSGAII_archive_family_DTLZ,dtlz2,nsgaii_archive_passive,numpy,8,hv,4.361607245978493,11,2
NSGAII_archive_family_DTLZ,dtlz2,nsgaii_archive_passive,numpy,8,igd_plus,0.5932163417920686,11,2
NSGAII_archive_family_DTLZ,dtlz2,nsgaii_archive_passive,numpy,8,archive_subset_hv,4.3628367699925,11,2
NSGAII_archive_family_DTLZ,dtlz2,nsgaii_archive_passive,numpy,8,archive_subset_igd_plus,0.5932062401863689,11,2
NSGAII_archive_family_DTLZ,dtlz2,nsgaii_archive_passive,numpy,9,hv,4.3612873533328,11,2
NSGAII_archive_family_DTLZ,dtlz2,nsgaii_archive_passive,numpy,9,igd_plus,0.5931814237271843,11,2
NSGAII_archive_family_DTLZ,dtlz2,nsgaii_archive_passive,numpy,9,archive_subset_hv,4.362979800858363,11,2
NSGAII_archive_family_DTLZ,dtlz2,nsgaii_archive_passive,numpy,9,archive_subset_igd_plus,0.5931560572174943,11,2
NSGAII_archive_family_DTLZ,dtlz2,nsgaii_archive_hybrid,numpy,0,hv,4.359230434952524,11,2
NSGAII_archive_family_DTLZ,dtlz2,nsgaii_archive_hybrid,numpy,0,igd_plus,0.5934502688505592,11,2
NSGAII_archive_family_DTLZ,dtlz2,nsgaii_archive_hybrid,numpy,0,archive_subset_hv,4.362728605023524,11,2
NSGAII_archive_family_DTLZ,dtlz2,nsgaii_archive_hybrid,numpy,0,archive_subset_igd_plus,0.5931779041041862,11,2
NSGAII_archive_family_DTLZ,dtlz2,nsgaii_archive_hybrid,numpy,1,hv,4.359417271809495,11,2
NSGAII_archive_family_DTLZ,dtlz2,nsgaii_archive_hybrid,numpy,1,igd_plus,0.593254089222023,11,2
NSGAII_archive_family_DTLZ,dtlz2,nsgaii_archive_hybrid,numpy,1,archive_subset_hv,4.363051160997239,11,2
NSGAII_archive_family_DTLZ,dtlz2,nsgaii_archive_hybrid,numpy,1,archive_subset_igd_plus,0.5931548247968206,11,2
NSGAII_archive_family_DTLZ,dtlz2,nsgaii_archive_hybrid,numpy,2,hv,4.360329362707504,11,2
NSGAII_archive_family_DTLZ,dtlz2,nsgaii_archive_hybrid,numpy,2,igd_plus,0.5932600848344509,11,2
NSGAII_archive_family_DTLZ,dtlz2,nsgaii_archive_hybrid,numpy,2,archive_subset_hv,4.362884851561431,11,2
NSGAII_archive_family_DTLZ,dtlz2,nsgaii_archive_hybrid,numpy,2,archive_subset_igd_plus,0.5932307046547731,11,2
NSGAII_archive_family_DTLZ,dtlz2,nsgaii_archive_hybrid,numpy,3,hv,4.361034483604623,11,2
NSGAII_archive_family_DTLZ,dtlz2,nsgaii_archive_hybrid,numpy,3,igd_plus,0.5932549215538135,11,2
NSGAII_archive_family_DTLZ,dtlz2,nsgaii_archive_hybrid,numpy,3,archive_subset_hv,4.3628741531330535,11,2
NSGAII_archive_family_DTLZ,dtlz2,nsgaii_archive_hybrid,numpy,3,archive_subset_igd_plus,0.5932128215526612,11,2
NSGAII_archive_family_DTLZ,dtlz2,nsgaii_archive_hybrid,numpy,4,hv,4.359726652561026,11,2
NSGAII_archive_family_DTLZ,dtlz2,nsgaii_archive_hybrid,numpy,4,igd_plus,0.5933370947819496,11,2
NSGAII_archive_family_DTLZ,dtlz2,nsgaii_archive_hybrid,numpy,4,archive_subset_hv,4.362859840897067,11,2
NSGAII_archive_family_DTLZ,dtlz2,nsgaii_archive_hybrid,numpy,4,archive_subset_igd_plus,0.5931695782948055,11,2
NSGAII_archive_family_DTLZ,dtlz2,nsgaii_archive_hybrid,numpy,5,hv,4.359523136960264,11,2
NSGAII_archive_family_DTLZ,dtlz2,nsgaii_archive_hybrid,numpy,5,igd_plus,0.5933812006530865,11,2
NSGAII_archive_family_DTLZ,dtlz2,nsgaii_archive_hybrid,numpy,5,archive_subset_hv,4.363206721835819,11,2
