problem,n_obj,algorithm,runs,mean_hv,mean_igd_plus,mean_archive_subset_hv,mean_archive_subset_igd_plus,mean_time_ms,mean_archive_size,mean_archive_subset_size,mean_hybrid_archive_reference_generations,mean_hybrid_local_only_generations,mean_hybrid_no_split_generations,hybrid_fallback_runs,hybrid_local_only_runs
wfg1,2,nsgaii_archive_hybrid,10,3.801943264232117,0.7170718941262935,3.8023120306196247,0.7170712660207875,11213.763890500195,133.0,79.2,224.0,0.0,0.0,0,0
wfg1,2,nsgaii_archive_off,10,3.7723783159903235,0.7272327367134175,,,10727.48253359996,0.0,0.0,0.0,0.0,0.0,0,0
wfg1,2,nsgaii_archive_passive,10,3.7723783159903235,0.7272327367134175,3.7725510742505035,0.7272518467495158,11093.238328700045,142.5,80.0,0.0,0.0,0.0,0,0
wfg1,3,nsgaii_archive_hybrid,10,40.2754824772161,0.4349911324125599,40.611438128274386,0.42328176571683407,16624.850063399936,1704.0,80.0,274.0,0.0,0.0,0,0
wfg1,3,nsgaii_archive_off,10,40.682903758499705,0.420756522373445,,,13992.749086799997,0.0,0.0,0.0,0.0,0.0,0,0
wfg1,3,nsgaii_archive_passive,10,40.682903758499705,0.420756522373445,40.8161310202696,0.4161488934289242,14802.31626920013,2035.1,80.0,0.0,0.0,0.0,0,0
wfg1,5,nsgaii_archive_hybrid,10,6459.446612521849,0.4928748469462739,6480.725414772467,0.4833973962015371,130954.2800383999,16064.6,80.0,374.0,0.0,0.0,0,0
wfg1,5,nsgaii_archive_off,10,6242.8454824462815,0.48794958375350805,,,28423.7165632001,0.0,0.0,0.0,0.0,0.0,0,0
wfg1,5,nsgaii_archive_passive,10,6242.8454824462815,0.48794958375350805,6266.220955460045,0.4894084817525897,86742.55927770029,12848.6,80.0,0.0,0.0,0.0,0,0
wfg4,2,nsgaii_archive_hybrid,10,7.045151830584226,0.01938757210886592,7.08382942306387,0.011586986528133843,11699.693920899881,602.6,80.0,224.0,0.0,0.0,0,0
wfg4,2,nsgaii_archive_off,10,7.092895089876869,0.013332724432614771,,,10981.629507200068,0.0,0.0,0.0,0.0,0.0,0,0
wfg4,2,nsgaii_archive_passive,10,7.092895089876869,0.013332724432614771,7.111345745103053,0.009928526572356131,11299.140987200008,673.7,80.0,0.0,0.0,0.0,0,0
wfg4,3,nsgaii_archive_hybrid,10,60.80826724388601,0.3211946769022539,64.52398422600434,0.22446391375526448,21007.695223699917,3295.4,80.0,274.0,0.0,0.0,0,0
wfg4,3,nsgaii_archive_off,10,63.567958143105635,0.23914569335688332,,,15372.477268599958,0.0,0.0,0.0,0.0,0.0,0,0
wfg4,3,nsgaii_archive_passive,10,63.567958143105635,0.23914569335688332,64.24422867856975,0.22882021101826694,17284.900996500255,3795.1,80.0,0.0,0.0,0.0,0,0
wfg4,5,nsgaii_archive_hybrid,10,9860.586316379762,0.9362722913156976,11822.94489553099,0.6464727844576351,137997.02429039992,14288.4,80.0,374.0,0.0,0.0,0,0
wfg4,5,nsgaii_archive_off,10,11626.54209480037,0.6216254309447192,,,43160.67359820008,0.0,0.0,0.0,0.0,0.0,0,0
wfg4,5,nsgaii_archive_passive,10,11626.54209480037,0.6216254309447192,11605.738250539283,0.6659749150446828,118686.82190160018,15257.0,80.0,0.0,0.0,0.0,0,0
wfg9,2,nsgaii_archive_hybrid,10,6.485934550032033,0.08540388311717166,6.561420312408108,0.06993446031578916,14343.14754320003,1046.7,80.0,249.0,0.0,0.0,0,0
wfg9,2,nsgaii_archive_off,10,6.641412187506299,0.05758493241712783,,,13043.079596000007,0.0,0.0,0.0,0.0,0.0,0,0
wfg9,2,nsgaii_archive_passive,10,6.641412187506299,0.05758493241712783,6.656173836019006,0.0553227670072657,13762.007108100079,1450.3,80.0,0.0,0.0,0.0,0,0
wfg9,3,nsgaii_archive_hybrid,10,50.6900374547741,0.4890209869548772,58.78940540659323,0.2898858273521288,26115.85480120011,2550.5,80.0,299.0,0.0,0.0,0,0
wfg9,3,nsgaii_archive_off,10,59.13393055976796,0.2822292330026869,,,20501.175679899643,0.0,0.0,0.0,0.0,0.0,0,0
wfg9,3,nsgaii_archive_passive,10,59.13393055976796,0.2822292330026869,59.60573949972273,0.2724812994303601,26333.67366970015,6907.9,80.0,0.0,0.0,0.0,0,0
wfg9,5,nsgaii_archive_hybrid,10,5400.312554418439,1.713005340685148,9811.06316181364,0.9940180517652056,76695.05718659985,2403.1,80.0,399.0,0.0,0.0,0,0
wfg9,5,nsgaii_archive_off,10,10191.56556187593,0.9165147555939133,,,61294.52063190037,0.0,0.0,0.0,0.0,0.0,0,0
wfg9,5,nsgaii_archive_passive,10,10191.56556187593,0.9165147555939133,10648.031957210313,0.7669295391350747,77236.73376629993,6581.1,80.0,0.0,0.0,0.0,0,0
