problem,problem_label,n_var,n_obj,algorithm,algorithm_base,engine,seed,evaluations,time_ms,hv,indicator_igd_plus,archive_subset_hv,archive_subset_igd_plus,archive_mode,archive_execution_mode,archive_survival_path,archive_size,archive_subset_size,hybrid_status,hybrid_fallback_reason,hybrid_split_front_mode,hybrid_split_front_reason,hybrid_generations,hybrid_archive_reference_generations,hybrid_local_only_generations,hybrid_no_split_generations,output_dir
wfg1,WFG1,22,2,nsgaii_archive_off,nsgaii,numpy,0,18000,10438.312528000097,3.726899173868048,0.7329992988523865,,,off,standard,standard,0,0,inactive,,inactive,,0,0,0,0,/home/nico/Documents/GitHub/VAMOS/results/archive_family_pilot_core/NSGAII_archive_family_WFG/raw_runs/NSGAII_archive_family_WFG/nsgaii_archive_off/WFG1/nsgaii/numpy/seed_0
wfg1,WFG1,22,2,nsgaii_archive_off,nsgaii,numpy,1,18000,10630.50276300055,4.037258352684515,0.6670820940816036,,,off,standard,standard,0,0,inactive,,inactive,,0,0,0,0,/home/nico/Documents/GitHub/VAMOS/results/archive_family_pilot_core/NSGAII_archive_family_WFG/raw_runs/NSGAII_archive_family_WFG/nsgaii_archive_off/WFG1/nsgaii/numpy/seed_1
wfg1,WFG1,22,2,nsgaii_archive_off,nsgaii,numpy,2,18000,10886.98115399984,3.5632637969817846,0.7933269747629749,,,off,standard,standard,0,0,inactive,,inactive,,0,0,0,0,/home/nico/Documents/GitHub/VAMOS/results/archive_family_pilot_core/NSGAII_archive_family_WFG/raw_runs/NSGAII_archive_family_WFG/nsgaii_archive_off/WFG1/nsgaii/numpy/seed_2
wfg1,WFG1,22,2,nsgaii_archive_off,nsgaii,numpy,3,18000,10675.842451999415,3.737516109878362,0.7531695647389594,,,off,standard,standard,0,0,inactive,,inactive,,0,0,0,0,/home/nico/Documents/GitHub/VAMOS/results/archive_family_pilot_core/NSGAII_archive_family_WFG/raw_runs/NSGAII_archive_family_WFG/nsgaii_archive_off/WFG1/nsgaii/numpy/seed_3
wfg1,WFG1,22,2,nsgaii_archive_off,nsgaii,numpy,4,18000,10845.768784000029,3.6584611385294643,0.7637402404179098,,,off,standard,standard,0,0,inactive,,inactive,,0,0,0,0,/home/nico/Documents/GitHub/VAMOS/results/archive_family_pilot_core/NSGAII_archive_family_WFG/raw_runs/NSGAII_archive_family_WFG/nsgaii_archive_off/WFG1/nsgaii/numpy/seed_4
wfg1,WFG1,22,2,nsgaii_archive_off,nsgaii,numpy,5,18000,10800.52791199978,3.9480258824151875,0.661790215542201,,,off,standard,standard,0,0,inactive,,inactive,,0,0,0,0,/home/nico/Documents/GitHub/VAMOS/results/archive_family_pilot_core/NSGAII_archive_family_WFG/raw_runs/NSGAII_archive_family_WFG/nsgaii_archive_off/WFG1/nsgaii/numpy/seed_5
wfg1,WFG1,22,2,nsgaii_archive_off,nsgaii,numpy,6,18000,10688.037140000233,3.8078908320023968,0.7210037167546336,,,off,standard,standard,0,0,inactive,,inactive,,0,0,0,0,/home/nico/Documents/GitHub/VAMOS/results/archive_family_pilot_core/NSGAII_archive_family_WFG/raw_runs/NSGAII_archive_family_WFG/nsgaii_archive_off/WFG1/nsgaii/numpy/seed_6
wfg1,WFG1,22,2,nsgaii_archive_off,nsgaii,numpy,7,18000,10766.751504999775,3.955985053331721,0.6731527413809492,,,off,standard,standard,0,0,inactive,,inactive,,0,0,0,0,/home/nico/Documents/GitHub/VAMOS/results/archive_family_pilot_core/NSGAII_archive_family_WFG/raw_runs/NSGAII_archive_family_WFG/nsgaii_archive_off/WFG1/nsgaii/numpy/seed_7
wfg1,WFG1,22,2,nsgaii_archive_off,nsgaii,numpy,8,18000,10822.325248999732,3.623147767824879,0.7624244482114668,,,off,standard,standard,0,0,inactive,,inactive,,0,0,0,0,/home/nico/Documents/GitHub/VAMOS/results/archive_family_pilot_core/NSGAII_archive_family_WFG/raw_runs/NSGAII_archive_family_WFG/nsgaii_archive_off/WFG1/nsgaii/numpy/seed_8
wfg1,WFG1,22,2,nsgaii_archive_off,nsgaii,numpy,9,18000,10719.775849000143,3.665335052386877,0.7436380723910899,,,off,standard,standard,0,0,inactive,,inactive,,0,0,0,0,/home/nico/Documents/GitHub/VAMOS/results/archive_family_pilot_core/NSGAII_archive_family_WFG/raw_runs/NSGAII_archive_family_WFG/nsgaii_archive_off/WFG1/nsgaii/numpy/seed_9
