problem,problem_label,n_var,n_obj,algorithm,algorithm_base,engine,seed,evaluations,time_ms,hv,indicator_igd_plus,archive_subset_hv,archive_subset_igd_plus,archive_mode,archive_execution_mode,archive_survival_path,archive_size,archive_subset_size,hybrid_status,hybrid_fallback_reason,hybrid_split_front_mode,hybrid_split_front_reason,hybrid_generations,hybrid_archive_reference_generations,hybrid_local_only_generations,hybrid_no_split_generations,output_dir
zcat1,ZCAT1,30,2,nsgaii_archive_off,nsgaii,numpy,0,16000,9054.015638997953,3.1371304069014063,0.09208560157077221,,,off,standard,standard,0,0,inactive,,inactive,,0,0,0,0,/home/nico/Documents/GitHub/VAMOS/results/archive_family_pilot_core/NSGAII_archive_family_ZCAT/raw_runs/NSGAII_archive_family_ZCAT/nsgaii_archive_off/ZCAT1/nsgaii/numpy/seed_0
zcat1,ZCAT1,30,2,nsgaii_archive_off,nsgaii,numpy,1,16000,9242.929546999221,3.136788547788971,0.09183473375317246,,,off,standard,standard,0,0,inactive,,inactive,,0,0,0,0,/home/nico/Documents/GitHub/VAMOS/results/archive_family_pilot_core/NSGAII_archive_family_ZCAT/raw_runs/NSGAII_archive_family_ZCAT/nsgaii_archive_off/ZCAT1/nsgaii/numpy/seed_1
zcat1,ZCAT1,30,2,nsgaii_archive_off,nsgaii,numpy,2,16000,9094.750863001536,3.1367033838792144,0.0919153851091328,,,off,standard,standard,0,0,inactive,,inactive,,0,0,0,0,/home/nico/Documents/GitHub/VAMOS/results/archive_family_pilot_core/NSGAII_archive_family_ZCAT/raw_runs/NSGAII_archive_family_ZCAT/nsgaii_archive_off/ZCAT1/nsgaii/numpy/seed_2
zcat1,ZCAT1,30,2,nsgaii_archive_off,nsgaii,numpy,3,16000,9127.887767001084,3.13791530052985,0.09207659983718745,,,off,standard,standard,0,0,inactive,,inactive,,0,0,0,0,/home/nico/Documents/GitHub/VAMOS/results/archive_family_pilot_core/NSGAII_archive_family_ZCAT/raw_runs/NSGAII_archive_family_ZCAT/nsgaii_archive_off/ZCAT1/nsgaii/numpy/seed_3
zcat1,ZCAT1,30,2,nsgaii_archive_off,nsgaii,numpy,4,16000,9111.5233849996,3.1349770653499545,0.09178178135718468,,,off,standard,standard,0,0,inactive,,inactive,,0,0,0,0,/home/nico/Documents/GitHub/VAMOS/results/archive_family_pilot_core/NSGAII_archive_family_ZCAT/raw_runs/NSGAII_archive_family_ZCAT/nsgaii_archive_off/ZCAT1/nsgaii/numpy/seed_4
zcat1,ZCAT1,30,2,nsgaii_archive_off,nsgaii,numpy,5,16000,8928.229851000651,3.138900404144769,0.09219026721534208,,,off,standard,standard,0,0,inactive,,inactive,,0,0,0,0,/home/nico/Documents/GitHub/VAMOS/results/archive_family_pilot_core/NSGAII_archive_family_ZCAT/raw_runs/NSGAII_archive_family_ZCAT/nsgaii_archive_off/ZCAT1/nsgaii/numpy/seed_5
zcat1,ZCAT1,30,2,nsgaii_archive_off,nsgaii,numpy,6,16000,9089.599038001325,3.1401000371241827,0.09143028262741998,,,off,standard,standard,0,0,inactive,,inactive,,0,0,0,0,/home/nico/Documents/GitHub/VAMOS/results/archive_family_pilot_core/NSGAII_archive_family_ZCAT/raw_runs/NSGAII_archive_family_ZCAT/nsgaii_archive_off/ZCAT1/nsgaii/numpy/seed_6
zcat1,ZCAT1,30,2,nsgaii_archive_off,nsgaii,numpy,7,16000,9098.091183001088,3.1341505507608995,0.09268101033409483,,,off,standard,standard,0,0,inactive,,inactive,,0,0,0,0,/home/nico/Documents/GitHub/VAMOS/results/archive_family_pilot_core/NSGAII_archive_family_ZCAT/raw_runs/NSGAII_archive_family_ZCAT/nsgaii_archive_off/ZCAT1/nsgaii/numpy/seed_7
zcat1,ZCAT1,30,2,nsgaii_archive_off,nsgaii,numpy,8,16000,9167.272958999092,3.1390252928589386,0.09174917684943047,,,off,standard,standard,0,0,inactive,,inactive,,0,0,0,0,/home/nico/Documents/GitHub/VAMOS/results/archive_family_pilot_core/NSGAII_archive_family_ZCAT/raw_runs/NSGAII_archive_family_ZCAT/nsgaii_archive_off/ZCAT1/nsgaii/numpy/seed_8
zcat1,ZCAT1,30,2,nsgaii_archive_off,nsgaii,numpy,9,16000,9210.492862999672,3.1361818750408057,0.0925381573779647,,,off,standard,standard,0,0,inactive,,inactive,,0,0,0,0,/home/nico/Documents/GitHub/VAMOS/results/archive_family_pilot_core/NSGAII_archive_family_ZCAT/raw_runs/NSGAII_archive_family_ZCAT/nsgaii_archive_off/ZCAT1/nsgaii/numpy/seed_9
