suite,problem,algorithm,engine,seed,metric,value,n_var,n_obj
NSGAII_archive_family_ZCAT,zcat1,nsgaii_archive_off,numpy,0,hv,3.1371304069014063,30,2
NSGAII_archive_family_ZCAT,zcat1,nsgaii_archive_off,numpy,0,igd_plus,0.0920856015707722,30,2
NSGAII_archive_family_ZCAT,zcat1,nsgaii_archive_off,numpy,1,hv,3.136788547788971,30,2
NSGAII_archive_family_ZCAT,zcat1,nsgaii_archive_off,numpy,1,igd_plus,0.0918347337531724,30,2
NSGAII_archive_family_ZCAT,zcat1,nsgaii_archive_off,numpy,2,hv,3.1367033838792144,30,2
NSGAII_archive_family_ZCAT,zcat1,nsgaii_archive_off,numpy,2,igd_plus,0.0919153851091328,30,2
NSGAII_archive_family_ZCAT,zcat1,nsgaii_archive_off,numpy,3,hv,3.13791530052985,30,2
NSGAII_archive_family_ZCAT,zcat1,nsgaii_archive_off,numpy,3,igd_plus,0.0920765998371874,30,2
NSGAII_archive_family_ZCAT,zcat1,nsgaii_archive_off,numpy,4,hv,3.1349770653499545,30,2
NSGAII_archive_family_ZCAT,zcat1,nsgaii_archive_off,numpy,4,igd_plus,0.0917817813571846,30,2
NSGAII_archive_family_ZCAT,zcat1,nsgaii_archive_off,numpy,5,hv,3.138900404144769,30,2
NSGAII_archive_family_ZCAT,zcat1,nsgaii_archive_off,numpy,5,igd_plus,0.092190267215342,30,2
NSGAII_archive_family_ZCAT,zcat1,nsgaii_archive_off,numpy,6,hv,3.1401000371241827,30,2
NSGAII_archive_family_ZCAT,zcat1,nsgaii_archive_off,numpy,6,igd_plus,0.0914302826274199,30,2
NSGAII_archive_family_ZCAT,zcat1,nsgaii_archive_off,numpy,7,hv,3.1341505507608995,30,2
NSGAII_archive_family_ZCAT,zcat1,nsgaii_archive_off,numpy,7,igd_plus,0.0926810103340948,30,2
NSGAII_archive_family_ZCAT,zcat1,nsgaii_archive_off,numpy,8,hv,3.1390252928589386,30,2
NSGAII_archive_family_ZCAT,zcat1,nsgaii_archive_off,numpy,8,igd_plus,0.0917491768494304,30,2
NSGAII_archive_family_ZCAT,zcat1,nsgaii_archive_off,numpy,9,hv,3.1361818750408057,30,2
NSGAII_archive_family_ZCAT,zcat1,nsgaii_archive_off,numpy,9,igd_plus,0.0925381573779647,30,2
NSGAII_archive_family_ZCAT,zcat1,nsgaii_archive_passive,numpy,0,hv,3.1371304069014063,30,2
NSGAII_archive_family_ZCAT,zcat1,nsgaii_archive_passive,numpy,0,igd_plus,0.0920856015707722,30,2
NSGAII_archive_family_ZCAT,zcat1,nsgaii_archive_passive,numpy,0,archive_subset_hv,3.146058541255901,30,2
NSGAII_archive_family_ZCAT,zcat1,nsgaii_archive_passive,numpy,0,archive_subset_igd_plus,0.0909284669273969,30,2
NSGAII_archive_family_ZCAT,zcat1,nsgaii_archive_passive,numpy,1,hv,3.136788547788971,30,2
NSGAII_archive_family_ZCAT,zcat1,nsgaii_archive_passive,numpy,1,igd_plus,0.0918347337531724,30,2
NSGAII_archive_family_ZCAT,zcat1,nsgaii_archive_passive,numpy,1,archive_subset_hv,3.148046360698812,30,2
NSGAII_archive_family_ZCAT,zcat1,nsgaii_archive_passive,numpy,1,archive_subset_igd_plus,0.0904373866682306,30,2
NSGAII_archive_family_ZCAT,zcat1,nsgaii_archive_passive,numpy,2,hv,3.1367033838792144,30,2
NSGAII_archive_family_ZCAT,zcat1,nsgaii_archive_passive,numpy,2,igd_plus,0.0919153851091328,30,2
