problem,problem_label,n_var,n_obj,algorithm,algorithm_base,engine,seed,evaluations,time_ms,hv,indicator_igd_plus,archive_subset_hv,archive_subset_igd_plus,archive_mode,archive_execution_mode,archive_survival_path,archive_size,archive_subset_size,hybrid_status,hybrid_fallback_reason,hybrid_split_front_mode,hybrid_split_front_reason,hybrid_generations,hybrid_archive_reference_generations,hybrid_local_only_generations,hybrid_no_split_generations,output_dir
zdt1,ZDT1,30,2,nsgaii_archive_off,nsgaii,numpy,0,12000,6718.158623999983,0.9178472994368162,0.2738582980195414,,,off,standard,standard,0,0,inactive,,inactive,,0,0,0,0,/home/nico/Documents/GitHub/VAMOS/results/archive_family_pilot_core/NSGAII_archive_family_ZDT/raw_runs/NSGAII_archive_family_ZDT/nsgaii_archive_off/ZDT1/nsgaii/numpy/seed_0
zdt1,ZDT1,30,2,nsgaii_archive_off,nsgaii,numpy,1,12000,6748.202900000024,0.9169065791357148,0.2743295136386269,,,off,standard,standard,0,0,inactive,,inactive,,0,0,0,0,/home/nico/Documents/GitHub/VAMOS/results/archive_family_pilot_core/NSGAII_archive_family_ZDT/raw_runs/NSGAII_archive_family_ZDT/nsgaii_archive_off/ZDT1/nsgaii/numpy/seed_1
zdt1,ZDT1,30,2,nsgaii_archive_off,nsgaii,numpy,2,12000,6794.207125000014,0.9209391811118453,0.2719303331316518,,,off,standard,standard,0,0,inactive,,inactive,,0,0,0,0,/home/nico/Documents/GitHub/VAMOS/results/archive_family_pilot_core/NSGAII_archive_family_ZDT/raw_runs/NSGAII_archive_family_ZDT/nsgaii_archive_off/ZDT1/nsgaii/numpy/seed_2
zdt1,ZDT1,30,2,nsgaii_archive_off,nsgaii,numpy,3,12000,6789.143201999991,0.9147686909766322,0.2757653915811649,,,off,standard,standard,0,0,inactive,,inactive,,0,0,0,0,/home/nico/Documents/GitHub/VAMOS/results/archive_family_pilot_core/NSGAII_archive_family_ZDT/raw_runs/NSGAII_archive_family_ZDT/nsgaii_archive_off/ZDT1/nsgaii/numpy/seed_3
zdt1,ZDT1,30,2,nsgaii_archive_off,nsgaii,numpy,4,12000,6874.4600399999745,0.9192547272602067,0.2730761949457904,,,off,standard,standard,0,0,inactive,,inactive,,0,0,0,0,/home/nico/Documents/GitHub/VAMOS/results/archive_family_pilot_core/NSGAII_archive_family_ZDT/raw_runs/NSGAII_archive_family_ZDT/nsgaii_archive_off/ZDT1/nsgaii/numpy/seed_4
zdt1,ZDT1,30,2,nsgaii_archive_off,nsgaii,numpy,5,12000,6717.40374899997,0.9165828893709693,0.274604594928929,,,off,standard,standard,0,0,inactive,,inactive,,0,0,0,0,/home/nico/Documents/GitHub/VAMOS/results/archive_family_pilot_core/NSGAII_archive_family_ZDT/raw_runs/NSGAII_archive_family_ZDT/nsgaii_archive_off/ZDT1/nsgaii/numpy/seed_5
zdt1,ZDT1,30,2,nsgaii_archive_off,nsgaii,numpy,6,12000,6714.825274000021,0.9170541549308009,0.2746006786479099,,,off,standard,standard,0,0,inactive,,inactive,,0,0,0,0,/home/nico/Documents/GitHub/VAMOS/results/archive_family_pilot_core/NSGAII_archive_family_ZDT/raw_runs/NSGAII_archive_family_ZDT/nsgaii_archive_off/ZDT1/nsgaii/numpy/seed_6
zdt1,ZDT1,30,2,nsgaii_archive_off,nsgaii,numpy,7,12000,6659.881067000015,0.9175539722931724,0.2739417829361276,,,off,standard,standard,0,0,inactive,,inactive,,0,0,0,0,/home/nico/Documents/GitHub/VAMOS/results/archive_family_pilot_core/NSGAII_archive_family_ZDT/raw_runs/NSGAII_archive_family_ZDT/nsgaii_archive_off/ZDT1/nsgaii/numpy/seed_7
zdt1,ZDT1,30,2,nsgaii_archive_off,nsgaii,numpy,8,12000,6747.928966000018,0.9178643072425973,0.2734150866261719,,,off,standard,standard,0,0,inactive,,inactive,,0,0,0,0,/home/nico/Documents/GitHub/VAMOS/results/archive_family_pilot_core/NSGAII_archive_family_ZDT/raw_runs/NSGAII_archive_family_ZDT/nsgaii_archive_off/ZDT1/nsgaii/numpy/seed_8
zdt1,ZDT1,30,2,nsgaii_archive_off,nsgaii,numpy,9,12000,6754.291389000002,0.9178206746000332,0.27385103012924367,,,off,standard,standard,0,0,inactive,,inactive,,0,0,0,0,/home/nico/Documents/GitHub/VAMOS/results/archive_family_pilot_core/NSGAII_archive_family_ZDT/raw_runs/NSGAII_archive_family_ZDT/nsgaii_archive_off/ZDT1/nsgaii/numpy/seed_9
