algorithm,algorithm_base,archive_execution_mode,archive_mode,archive_present,archive_size,archive_subset_hv,archive_subset_hv_source,archive_subset_igd_plus,archive_subset_selector,archive_subset_size,archive_survival_path,backend_capabilities,backend_device,engine,evals_per_sec,evaluations,hv,hv_reference,hv_source,hybrid_archive_reference_generations,hybrid_fallback_reason,hybrid_generations,hybrid_local_only_generations,hybrid_no_split_generations,hybrid_split_front_mode,hybrid_split_front_reason,hybrid_status,indicator_igd_plus,n_obj,n_var,output_dir,problem,problem_label,seed,spread,time_ms
nsgaii_archive_off,nsgaii,standard,off,False,0,,none,,,0,standard,cpu,cpu,numpy,1786.203731053795,12000,0.9178472994368162,1.100000 1.152258,NumPyKernel,0,,0,0,0,inactive,,inactive,0.2738582980195414,2,30,/home/nico/Documents/GitHub/VAMOS/results/archive_family_pilot_core/NSGAII_archive_family_ZDT/raw_runs/NSGAII_archive_family_ZDT/nsgaii_archive_off/ZDT1/nsgaii/numpy/seed_0,zdt1,ZDT1,0,0.9963424851379886,6718.158623999983
nsgaii_archive_off,nsgaii,standard,off,False,0,,none,,,0,standard,cpu,cpu,numpy,1778.2512141121242,12000,0.9169065791357148,1.100000 1.152258,NumPyKernel,0,,0,0,0,inactive,,inactive,0.2743295136386269,2,30,/home/nico/Documents/GitHub/VAMOS/results/archive_family_pilot_core/NSGAII_archive_family_ZDT/raw_runs/NSGAII_archive_family_ZDT/nsgaii_archive_off/ZDT1/nsgaii/numpy/seed_1,zdt1,ZDT1,1,0.9991199105021177,6748.202900000024
nsgaii_archive_off,nsgaii,standard,off,False,0,,none,,,0,standard,cpu,cpu,numpy,1766.2105053943255,12000,0.9209391811118453,1.100000 1.152258,NumPyKernel,0,,0,0,0,inactive,,inactive,0.2719303331316518,2,30,/home/nico/Documents/GitHub/VAMOS/results/archive_family_pilot_core/NSGAII_archive_family_ZDT/raw_runs/NSGAII_archive_family_ZDT/nsgaii_archive_off/ZDT1/nsgaii/numpy/seed_2,zdt1,ZDT1,2,0.999320299814978,6794.207125000014
nsgaii_archive_off,nsgaii,standard,off,False,0,,none,,,0,standard,cpu,cpu,numpy,1767.5278960775138,12000,0.9147686909766322,1.100000 1.152258,NumPyKernel,0,,0,0,0,inactive,,inactive,0.2757653915811649,2,30,/home/nico/Documents/GitHub/VAMOS/results/archive_family_pilot_core/NSGAII_archive_family_ZDT/raw_runs/NSGAII_archive_family_ZDT/nsgaii_archive_off/ZDT1/nsgaii/numpy/seed_3,zdt1,ZDT1,3,0.9999362316681895,6789.143201999991
nsgaii_archive_off,nsgaii,standard,off,False,0,,none,,,0,standard,cpu,cpu,numpy,1745.5916435874785,12000,0.9192547272602067,1.100000 1.152258,NumPyKernel,0,,0,0,0,inactive,,inactive,0.2730761949457904,2,30,/home/nico/Documents/GitHub/VAMOS/results/archive_family_pilot_core/NSGAII_archive_family_ZDT/raw_runs/NSGAII_archive_family_ZDT/nsgaii_archive_off/ZDT1/nsgaii/numpy/seed_4,zdt1,ZDT1,4,0.9986445289001905,6874.4600399999745
nsgaii_archive_off,nsgaii,standard,off,False,0,,none,,,0,standard,cpu,cpu,numpy,1786.4044574939326,12000,0.9165828893709693,1.100000 1.152258,NumPyKernel,0,,0,0,0,inactive,,inactive,0.274604594928929,2,30,/home/nico/Documents/GitHub/VAMOS/results/archive_family_pilot_core/NSGAII_archive_family_ZDT/raw_runs/NSGAII_archive_family_ZDT/nsgaii_archive_off/ZDT1/nsgaii/numpy/seed_5,zdt1,ZDT1,5,0.9989244736448478,6717.40374899997
nsgaii_archive_off,nsgaii,standard,off,False,0,,none,,,0,standard,cpu,cpu,numpy,1787.0904320421134,12000,0.9170541549308009,1.100000 1.152258,NumPyKernel,0,,0,0,0,inactive,,inactive,0.2746006786479099,2,30,/home/nico/Documents/GitHub/VAMOS/results/archive_family_pilot_core/NSGAII_archive_family_ZDT/raw_runs/NSGAII_archive_family_ZDT/nsgaii_archive_off/ZDT1/nsgaii/numpy/seed_6,zdt1,ZDT1,6,0.9986329157593762,6714.825274000021
nsgaii_archive_off,nsgaii,standard,off,False,0,,none,,,0,standard,cpu,cpu,numpy,1801.8339786066892,12000,0.9175539722931724,1.100000 1.152258,NumPyKernel,0,,0,0,0,inactive,,inactive,0.2739417829361276,2,30,/home/nico/Documents/GitHub/VAMOS/results/archive_family_pilot_core/NSGAII_archive_family_ZDT/raw_runs/NSGAII_archive_family_ZDT/nsgaii_archive_off/ZDT1/nsgaii/numpy/seed_7,zdt1,ZDT1,7,0.99835572559357,6659.881067000015
nsgaii_archive_off,nsgaii,standard,off,False,0,,none,,,0,standard,cpu,cpu,numpy,1778.3234027007345,12000,0.9178643072425973,1.100000 1.152258,NumPyKernel,0,,0,0,0,inactive,,inactive,0.2734150866261719,2,30,/home/nico/Documents/GitHub/VAMOS/results/archive_family_pilot_core/NSGAII_archive_family_ZDT/raw_runs/NSGAII_archive_family_ZDT/nsgaii_archive_off/ZDT1/nsgaii/numpy/seed_8,zdt1,ZDT1,8,0.999900047518514,6747.928966000018
nsgaii_archive_off,nsgaii,standard,off,False,0,,none,,,0,standard,cpu,cpu,numpy,1776.6482535152581,12000,0.9178206746000332,1.100000 1.152258,NumPyKernel,0,,0,0,0,inactive,,inactive,0.27385103012924367,2,30,/home/nico/Documents/GitHub/VAMOS/results/archive_family_pilot_core/NSGAII_archive_family_ZDT/raw_runs/NSGAII_archive_family_ZDT/nsgaii_archive_off/ZDT1/nsgaii/numpy/seed_9,zdt1,ZDT1,9,0.9979795301892841,6754.291389000002
