family,n_obj,runs,hybrid_active_runs,hybrid_runtime_fallback_runs,hybrid_local_only_runs,mean_hybrid_generations,median_hybrid_generations,mean_archive_reference_generations,median_archive_reference_generations,mean_local_only_generations,median_local_only_generations,mean_no_split_generations,median_no_split_generations,mean_reference_fraction,median_reference_fraction,fallback_reason_counts_json,split_front_reason_counts_json
DTLZ,2,30,30,0,0,215.66666666666666,224.0,215.66666666666666,224.0,0.0,0.0,0.0,0.0,1.0,1.0,{},{}
DTLZ,3,30,30,0,0,265.6666666666667,274.0,265.6666666666667,274.0,0.0,0.0,0.0,0.0,1.0,1.0,{},{}
DTLZ,5,30,30,0,0,357.3333333333333,374.0,357.3333333333333,374.0,0.0,0.0,0.0,0.0,1.0,1.0,{},{}
WFG,2,30,30,0,0,232.33333333333334,224.0,232.33333333333334,224.0,0.0,0.0,0.0,0.0,1.0,1.0,{},{}
WFG,3,30,30,0,0,282.3333333333333,274.0,282.3333333333333,274.0,0.0,0.0,0.0,0.0,1.0,1.0,{},{}
WFG,5,30,30,0,0,382.3333333333333,374.0,382.3333333333333,374.0,0.0,0.0,0.0,0.0,1.0,1.0,{},{}
ZCAT,2,30,30,0,0,207.33333333333334,199.0,207.33333333333334,199.0,0.0,0.0,0.0,0.0,1.0,1.0,{},{}
ZCAT,3,30,30,0,0,257.3333333333333,249.0,257.3333333333333,249.0,0.0,0.0,0.0,0.0,1.0,1.0,{},{}
ZCAT,5,30,30,0,0,357.3333333333333,349.0,357.3333333333333,349.0,0.0,0.0,0.0,0.0,1.0,1.0,{},{}
ZDT,2,50,50,0,7,169.0,149.0,168.74,149.0,0.26,0.0,0.0,0.0,0.9984236619338301,1.0,{},{}
