family,n_obj,algorithm,runs,mean,std,median,q25,q75,iqr,scope,metric,direction
DTLZ,2,nsgaii_archive_hybrid,30,10984.729881300034,593.3817480560755,10810.00961250004,10425.141104000091,11650.600743750034,1225.4596397499427,overhead,time_ms,min
DTLZ,2,nsgaii_archive_off,30,10177.352210500021,659.8209722427293,10202.197485999932,9430.244739749865,10869.476206250056,1439.2314665001904,overhead,time_ms,min
DTLZ,2,nsgaii_archive_passive,30,10558.105283366664,661.5866455578818,10629.505082000036,9803.519995000044,11208.356954499777,1404.836959499733,overhead,time_ms,min
DTLZ,3,nsgaii_archive_hybrid,30,16979.852833700093,1605.5818425640703,17724.18506349982,14925.49950075022,18255.794330000295,3330.294829250075,overhead,time_ms,min
DTLZ,3,nsgaii_archive_off,30,14137.163358133253,1150.1300941613445,13856.538781999687,12947.820031499874,15571.344714000134,2623.5246825002596,overhead,time_ms,min
DTLZ,3,nsgaii_archive_passive,30,16006.640660166704,1211.3975288706695,16457.366488500156,14606.516948250148,17049.420115999852,2442.903167749704,overhead,time_ms,min
DTLZ,5,nsgaii_archive_hybrid,30,31306.92668260005,6006.606399319837,27500.900034499864,26872.41607400051,38897.62714800054,12025.211074000028,overhead,time_ms,min
DTLZ,5,nsgaii_archive_off,30,23660.54676966666,2683.8950254713272,23390.951202499764,20716.20972699998,26921.626400499918,6205.416673499938,overhead,time_ms,min
DTLZ,5,nsgaii_archive_passive,30,29807.919819666677,4859.767133924297,27265.346235500147,26031.847038249907,35622.116995249824,9590.269956999917,overhead,time_ms,min
WFG,2,nsgaii_archive_hybrid,30,12418.86845153337,1438.1420796280556,11676.035077999586,11273.417321750456,13885.12522825022,2611.7079064997633,overhead,time_ms,min
WFG,2,nsgaii_archive_off,30,11584.063878933344,1058.7236881128874,10993.661486999827,10824.047353999731,12999.628029000178,2175.5806750004467,overhead,time_ms,min
WFG,2,nsgaii_archive_passive,30,12051.462141333377,1254.0309332810084,11312.918023999828,11176.639612500367,13495.859879250247,2319.2202667498805,overhead,time_ms,min
WFG,3,nsgaii_archive_hybrid,30,21249.466696099986,3965.7709904043195,20963.421331500285,16954.452258499943,25628.84274225098,8674.390483751038,overhead,time_ms,min
WFG,3,nsgaii_archive_off,30,16622.13401176653,2851.0058706673535,15360.691995999787,14096.507757999916,20347.97917575088,6251.471417750963,overhead,time_ms,min
WFG,3,nsgaii_archive_passive,30,19473.630311800178,5361.925544264933,17180.206094500136,14965.513894749847,22369.214339500108,7403.70044475026,overhead,time_ms,min
WFG,5,nsgaii_archive_hybrid,30,115215.45383846654,35743.42668175459,116444.6991745008,77374.78559424926,138411.0672485008,61036.281654251536,overhead,time_ms,min
WFG,5,nsgaii_archive_off,30,44292.97026443353,13675.546993844859,43241.90179099969,28482.45152799973,61198.99879274999,32716.54726475026,overhead,time_ms,min
WFG,5,nsgaii_archive_passive,30,94222.03831520012,20541.613254669348,85603.40907150111,77003.35315925031,109710.06432025024,32706.711160999927,overhead,time_ms,min
ZCAT,2,nsgaii_archive_hybrid,30,10925.6608230998,1025.2928688092418,10321.36789749893,10167.74024049846,12228.20398299973,2060.4637425012697,overhead,time_ms,min
ZCAT,2,nsgaii_archive_off,30,10022.282392933266,1009.6192541405671,9592.448754499856,9178.077934999237,11321.5191972522,2143.4412622529635,overhead,time_ms,min
ZCAT,2,nsgaii_archive_passive,30,10417.382718099785,932.8208507654819,10001.49547699948,9635.24760774908,11589.937149502475,1954.689541753396,overhead,time_ms,min
ZCAT,3,nsgaii_archive_hybrid,30,17364.051440700256,1598.7508653271834,16968.20773750005,16035.787883251942,19301.75170299845,3265.9638197465065,overhead,time_ms,min
ZCAT,3,nsgaii_archive_off,30,14867.692109566511,1878.2584802169592,14113.866370498727,13135.608031001539,17350.62802424909,4215.019993247552,overhead,time_ms,min
ZCAT,3,nsgaii_archive_passive,30,16137.943906133782,1511.8679805127929,15643.75232149905,14966.823536001357,18063.462256500316,3096.6387204989587,overhead,time_ms,min
ZCAT,5,nsgaii_archive_hybrid,30,32685.63717609989,4111.920133408199,31392.258286499782,29029.011143500615,36585.356093501105,7556.34495000049,overhead,time_ms,min
ZCAT,5,nsgaii_archive_off,30,25779.14056180004,2796.043120550221,24520.66535299855,23181.59924075098,29471.925617497614,6290.326376746634,overhead,time_ms,min
ZCAT,5,nsgaii_archive_passive,30,29955.06230686648,3921.9666877271698,28371.668960500756,26558.324573249593,34575.41644399953,8017.091870749937,overhead,time_ms,min
ZDT,2,nsgaii_archive_hybrid,50,8468.426307860003,1462.8361654882835,7551.957687500021,7208.95906350006,10194.044778500085,2985.0857150000247,overhead,time_ms,min
ZDT,2,nsgaii_archive_off,50,8125.636088600003,1487.5316779048612,7114.21920500004,6877.941725499994,9908.578910749982,3030.637185249988,overhead,time_ms,min
ZDT,2,nsgaii_archive_passive,50,8345.948945760007,1489.622514501456,7334.357178999994,7156.015612500028,10106.468310250079,2950.452697750051,overhead,time_ms,min
DTLZ,2,nsgaii_archive_hybrid,30,1034.6333333333334,347.16829699265685,1052.0,827.0,1349.75,522.75,overhead,archive_size,context
DTLZ,2,nsgaii_archive_off,30,0.0,0.0,0.0,0.0,0.0,0.0,overhead,archive_size,context
DTLZ,2,nsgaii_archive_passive,30,1167.2666666666667,309.459253998095,1153.0,988.5,1475.5,487.0,overhead,archive_size,context
DTLZ,3,nsgaii_archive_hybrid,30,1980.7,1086.841775433566,1564.5,1312.5,3290.5,1978.0,overhead,archive_size,context
DTLZ,3,nsgaii_archive_off,30,0.0,0.0,0.0,0.0,0.0,0.0,overhead,archive_size,context
DTLZ,3,nsgaii_archive_passive,30,2848.2,1645.4237563409115,2210.5,1871.25,4839.25,2968.0,overhead,archive_size,context
DTLZ,5,nsgaii_archive_hybrid,30,1901.6666666666667,999.3238518716244,1292.5,1184.0,3050.5,1866.5,overhead,archive_size,context
DTLZ,5,nsgaii_archive_off,30,0.0,0.0,0.0,0.0,0.0,0.0,overhead,archive_size,context
DTLZ,5,nsgaii_archive_passive,30,2596.1666666666665,1353.6047424749129,2318.5,1173.75,4022.5,2848.75,overhead,archive_size,context
WFG,2,nsgaii_archive_hybrid,30,594.1,518.2825317899694,543.5,156.25,637.75,481.5,overhead,archive_size,context
WFG,2,nsgaii_archive_off,30,0.0,0.0,0.0,0.0,0.0,0.0,overhead,archive_size,context
WFG,2,nsgaii_archive_passive,30,755.5,882.500551919335,627.5,169.5,764.0,594.5,overhead,archive_size,context
WFG,3,nsgaii_archive_hybrid,30,2516.633333333333,746.7863325187344,2544.5,1994.75,3213.0,1218.25,overhead,archive_size,context
WFG,3,nsgaii_archive_off,30,0.0,0.0,0.0,0.0,0.0,0.0,overhead,archive_size,context
WFG,3,nsgaii_archive_passive,30,4246.033333333334,2524.2946912961147,3705.0,2257.5,4052.75,1795.25,overhead,archive_size,context
WFG,5,nsgaii_archive_hybrid,30,10918.7,6764.9936470648345,14274.5,2609.75,16647.25,14037.5,overhead,archive_size,context
WFG,5,nsgaii_archive_off,30,0.0,0.0,0.0,0.0,0.0,0.0,overhead,archive_size,context
WFG,5,nsgaii_archive_passive,30,11562.233333333334,3942.3531628862906,12833.5,7297.0,14410.0,7113.0,overhead,archive_size,context
ZCAT,2,nsgaii_archive_hybrid,30,837.6666666666666,75.67641336790405,830.0,775.25,859.75,84.5,overhead,archive_size,context
ZCAT,2,nsgaii_archive_off,30,0.0,0.0,0.0,0.0,0.0,0.0,overhead,archive_size,context
ZCAT,2,nsgaii_archive_passive,30,951.8666666666667,142.29612962321613,973.5,809.0,1067.0,258.0,overhead,archive_size,context
ZCAT,3,nsgaii_archive_hybrid,30,1360.4,319.1004165808452,1278.5,1224.75,1357.0,132.25,overhead,archive_size,context
ZCAT,3,nsgaii_archive_off,30,0.0,0.0,0.0,0.0,0.0,0.0,overhead,archive_size,context
ZCAT,3,nsgaii_archive_passive,30,2083.3333333333335,643.756986347538,2134.0,1455.75,2591.5,1135.75,overhead,archive_size,context
ZCAT,5,nsgaii_archive_hybrid,30,1716.3333333333333,313.8354865907903,1660.5,1509.75,1808.0,298.25,overhead,archive_size,context
ZCAT,5,nsgaii_archive_off,30,0.0,0.0,0.0,0.0,0.0,0.0,overhead,archive_size,context
ZCAT,5,nsgaii_archive_passive,30,2411.4666666666667,588.4950844041234,2240.5,1995.5,2796.25,800.75,overhead,archive_size,context
ZDT,2,nsgaii_archive_hybrid,50,343.54,103.88911081984855,341.5,263.25,391.75,128.5,overhead,archive_size,context
ZDT,2,nsgaii_archive_off,50,0.0,0.0,0.0,0.0,0.0,0.0,overhead,archive_size,context
ZDT,2,nsgaii_archive_passive,50,329.28,102.70167615825113,336.5,253.5,376.75,123.25,overhead,archive_size,context
DTLZ,2,nsgaii_archive_hybrid,30,80.0,0.0,80.0,80.0,80.0,0.0,overhead,archive_subset_size,context
DTLZ,2,nsgaii_archive_off,30,0.0,0.0,0.0,0.0,0.0,0.0,overhead,archive_subset_size,context
DTLZ,2,nsgaii_archive_passive,30,80.0,0.0,80.0,80.0,80.0,0.0,overhead,archive_subset_size,context
