family,n_obj,passive_vs_off_final_signal,hybrid_vs_passive_final_signal,hybrid_vs_off_final_signal,hybrid_vs_passive_subset_signal,mean_reference_fraction,mean_archive_reference_generations,mean_local_only_generations,classification
DTLZ,2,0.0,-0.0004840475259798061,-0.0004840475259798061,-0.00012168903867831471,1.0,215.66666666666666,0.0,mixed/needs more budget
DTLZ,3,0.0,-0.0029680485100680503,-0.0029680485100680503,-0.0011703374254291548,1.0,265.6666666666667,0.0,mixed/needs more budget
DTLZ,5,0.0,-0.07920015944817989,-0.07920015944817989,-0.08199342479275878,1.0,357.3333333333333,0.0,hybrid not yet promising
WFG,2,0.0,-0.019386041057110087,-0.019386041057110087,-0.006449762651424607,1.0,232.33333333333334,0.0,mixed/needs more budget
WFG,3,0.0,-0.15722949197770136,-0.15722949197770136,-0.01301257727266025,1.0,282.3333333333333,0.0,hybrid not yet promising
WFG,5,0.0,-0.29057444232641233,-0.29057444232641233,-0.0545591093301938,1.0,382.3333333333333,0.0,hybrid not yet promising
ZCAT,2,0.0,-0.014669299176302247,-0.014669299176302247,-0.0014913489433766084,1.0,207.33333333333334,0.0,mixed/needs more budget
ZCAT,3,0.0,-0.05556612918014802,-0.05556612918014802,-0.004181016209732141,1.0,257.3333333333333,0.0,hybrid not yet promising
ZCAT,5,0.0,-0.535547746824379,-0.535547746824379,-0.2318370451793703,1.0,357.3333333333333,0.0,hybrid not yet promising
ZDT,2,0.0,0.0009266572949054904,0.0009266572949054904,0.00174147262614755,0.9984236619338301,168.74,0.26,mixed/needs more budget
