family,n_obj,algorithm,runs,mean,std,median,q25,q75,iqr,scope,metric,direction
DTLZ,2,nsgaii_archive_hybrid,30,3.6310220114473895,1.5512117185284648,4.35960096675596,1.5092136840257957,5.024807773928948,3.5155940899031517,final_population,hv,max
DTLZ,2,nsgaii_archive_off,30,3.6331964780443102,1.549964018228729,4.361696983181917,1.512623492417104,5.024629918561895,3.512006426144791,final_population,hv,max
DTLZ,2,nsgaii_archive_passive,30,3.6331964780443102,1.549964018228729,4.361696983181917,1.512623492417104,5.024629918561895,3.512006426144791,final_population,hv,max
DTLZ,3,nsgaii_archive_hybrid,30,103168.63979766396,8319.01338198611,108951.35463890938,91625.03185953845,108953.81332412687,17328.78146458842,final_population,hv,max
DTLZ,3,nsgaii_archive_off,30,103176.94354494607,8307.603838351977,108951.57981683005,91659.52815337757,108953.82092800237,17294.292774624802,final_population,hv,max
DTLZ,3,nsgaii_archive_passive,30,103176.94354494607,8307.603838351977,108951.57981683005,91659.52815337757,108953.82092800237,17294.292774624802,final_population,hv,max
DTLZ,5,nsgaii_archive_hybrid,30,47556992417032.87,147244451632.6278,47645449149494.016,47368636604304.0,47685854676291.2,317218071987.2031,final_population,hv,max
DTLZ,5,nsgaii_archive_off,30,47580377988704.39,153264157542.46024,47686432366457.03,47373287655795.49,47688764013502.6,315476357707.1094,final_population,hv,max
DTLZ,5,nsgaii_archive_passive,30,47580377988704.39,153264157542.46024,47686432366457.03,47373287655795.49,47688764013502.6,315476357707.1094,final_population,hv,max
WFG,2,nsgaii_archive_hybrid,30,5.777676548282792,1.4584944757555642,6.621693039096824,3.9689140928553135,6.966380509304125,2.9974664164488116,final_population,hv,max
WFG,2,nsgaii_archive_off,30,5.835561864457831,1.506611755313962,6.787904179203123,3.9500156751443214,7.066159338620487,3.1161436634761657,final_population,hv,max
WFG,2,nsgaii_archive_passive,30,5.835561864457831,1.506611755313962,6.787904179203123,3.9500156751443214,7.066159338620487,3.1161436634761657,final_population,hv,max
WFG,3,nsgaii_archive_hybrid,30,50.591262391958736,9.037138516823427,50.50934831231979,42.74143706908921,59.36113151804764,16.619694448958434,final_population,hv,max
WFG,3,nsgaii_archive_off,30,54.46159748712444,10.170302990420533,58.98473713512702,42.55708226782659,62.842150772813945,20.285068504987358,final_population,hv,max
WFG,3,nsgaii_archive_passive,30,54.46159748712444,10.170302990420533,58.98473713512702,42.55708226782659,62.842150772813945,20.285068504987358,final_population,hv,max
WFG,5,nsgaii_archive_hybrid,30,7240.115161106683,2478.2353630968328,6443.145579200699,5722.086391957321,7022.557723819839,1300.4713318625181,final_population,hv,max
WFG,5,nsgaii_archive_off,30,9353.651046374194,2327.0256535310796,10108.470264749212,6289.298877768651,11465.382221996402,5176.083344227751,final_population,hv,max
WFG,5,nsgaii_archive_passive,30,9353.651046374194,2327.0256535310796,10108.470264749212,6289.298877768651,11465.382221996402,5176.083344227751,final_population,hv,max
ZCAT,2,nsgaii_archive_hybrid,30,2.5454220243899384,0.8219803102854825,3.095241058011151,1.4045365832704042,3.137035667384108,1.7324990841137038,final_population,hv,max
ZCAT,2,nsgaii_archive_off,30,2.56779474320237,0.8343703608338593,3.1369594773451888,1.4084235128799514,3.157156029973129,1.7487325170931776,final_population,hv,max
ZCAT,2,nsgaii_archive_passive,30,2.56779474320237,0.8343703608338593,3.1369594773451888,1.4084235128799514,3.157156029973129,1.7487325170931776,final_population,hv,max
ZCAT,3,nsgaii_archive_hybrid,30,885.418817598196,99.2153092549338,826.9884603661981,789.3985332334612,1004.5618524257698,215.16331919230856,final_population,hv,max
ZCAT,3,nsgaii_archive_off,30,887.9045352536854,97.66443947799813,836.8984635140305,795.5828291759519,1011.7702613639458,216.18743218799386,final_population,hv,max
ZCAT,3,nsgaii_archive_passive,30,887.9045352536854,97.66443947799813,836.8984635140305,795.5828291759519,1011.7702613639458,216.18743218799386,final_population,hv,max
